table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_isic_rev_4_industry_code,field_longer_term_trends_2002_05,field_longer_term_trends_2005_10,field_longer_term_trends_2010_15,field_recent_years_2015_16,field_recent_years_2016_17,field_recent_years_2017_18,field_recent_years_2018_19,field_recent_years_2019_20
6200,r001,GDP,GDP,,,,1,,6.1,2.9,3.9,2.7,4.2,5.4,4.1,-2.2
6200,r002,GDP -> All KTI industries,GDP,All KTI industries,,,2,,4.5,4.3,4.9,4.1,5.0,7.3,5.7,2.2
6200,r003,GDP -> All KTI industries -> Manufacturing,GDP,All KTI industries,Manufacturing,,3,,3.8,3.0,3.3,1.8,3.5,4.7,2.6,-2.2
6200,r004,GDP -> All KTI industries -> Manufacturing -> Chemicals and chemical products,GDP,All KTI industries,Manufacturing,Chemicals and chemical products,4,20,2.6,7.6,1.5,7.0,1.1,4.7,-0.8,-4.3
6200,r005,GDP -> All KTI industries -> Manufacturing -> Pharmaceuticals,GDP,All KTI industries,Manufacturing,Pharmaceuticals,4,21,2.1,4.8,2.4,7.3,2.3,2.1,10.2,7.0
6200,r006,"GDP -> All KTI industries -> Manufacturing -> Computer, electronic, and optical products",GDP,All KTI industries,Manufacturing,"Computer, electronic, and optical products",4,26,6.9,2.6,2.2,0.3,4.4,8.9,1.0,3.1
6200,r007,GDP -> All KTI industries -> Manufacturing -> Electrical equipment,GDP,All KTI industries,Manufacturing,Electrical equipment,4,27,-0.4,3.3,4.6,-8.2,4.0,7.1,-0.1,-2.2
6200,r008,GDP -> All KTI industries -> Manufacturing -> Machinery and equipment nec,GDP,All KTI industries,Manufacturing,Machinery and equipment nec,4,28,5.0,2.1,3.6,-5.7,6.7,5.2,3.5,-6.1
6200,r009,"GDP -> All KTI industries -> Manufacturing -> Motor vehicles, trailers, and semi-trailers",GDP,All KTI industries,Manufacturing,"Motor vehicles, trailers, and semi-trailers",4,29,0.2,-8.1,10.5,6.2,2.0,-0.6,0.8,-2.3
6200,r010,GDP -> All KTI industries -> Manufacturing -> Air and spacecraft and related machinery,GDP,All KTI industries,Manufacturing,Air and spacecraft and related machinery,4,303,7.2,6.9,4.6,-2.3,6.3,4.4,5.5,-24.0
6200,r011,"GDP -> All KTI industries -> Manufacturing -> Railroad, military vehicles, and transport nec",GDP,All KTI industries,Manufacturing,"Railroad, military vehicles, and transport nec",4,"302, 304, and 309",8.2,3.7,2.3,6.6,-16.6,-1.2,-4.1,3.4
6200,r012,GDP -> All KTI industries -> Manufacturing -> Medical and dental instruments,GDP,All KTI industries,Manufacturing,Medical and dental instruments,4,325,4.2,7.6,-0.7,6.8,4.8,4.4,2.2,10.1
6200,r013,GDP -> All KTI industries -> Services,GDP,All KTI industries,Services,,3,,6.3,7.1,7.6,7.6,7.3,11.1,9.9,7.7
6200,r014,GDP -> All KTI industries -> Services -> IT and other information services,GDP,All KTI industries,Services,IT and other information services,4,62 - 63,6.5,8.0,8.4,10.0,7.0,11.4,9.9,4.4
6200,r015,GDP -> All KTI industries -> Services -> Software publishing,GDP,All KTI industries,Services,Software publishing,4,582,11.3,7.8,7.3,7.4,10.7,10.7,10.9,14.1
6200,r016,GDP -> All KTI industries -> Services -> Scientific research and development,GDP,All KTI industries,Services,Scientific research and development,4,72,1.4,3.6,5.3,-1.7,2.8,10.1,8.4,12.1
