table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_performed_by_the_company,field_performed_by_others
2699,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['521,611', '  ']","['468,235', '  ']","['53,377', '  ']"
2699,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['347,224', '  ']","['298,082', '  ']","['49,142', '  ']"
2699,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['5,569', '  ']","['5,273', '  ']","['296', '  ']"
2699,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['1,858', '  ']","['1,520', '  ']","['338', '  ']"
2699,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['1,220', '  ']","['1,202', '  ']","['18', '  ']"
2699,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['214', '  ']","['202', '  ']","['13', '  ']"
2699,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['1,032', '  ']","['1,012', '  ']","['20', '  ']"
2699,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['245', '  ']","['242', '  ']","['3', '  ']"
2699,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['1,734', '  ']","['1,438', '  ']","['296', '  ']"
2699,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['129,242', '  ']","['90,043', '  ']","['39,198', '  ']"
