table_id,row_id,_b_broad_field_b_full_path,_b_broad_field_b_level_1,_b_broad_field_b_level_2,_b_broad_field_b_level_3,_b_broad_field_b_level_4,_b_broad_field_b_hierarchy_depth,field_total,field_federal_number,field_federal_percent,field_institutional_number,field_institutional_percent,field_nonfederal_domestic_number,field_nonfederal_domestic_percent,field_foreign_number,field_foreign_percent,field_self_support_number,field_self_support_percent
3499,r001,All graduate students,All graduate students,,,,1,502442,73605,14.6,205890,41.0,19171,3.8,4699,0.9,199077,39.6
3499,r002,All graduate students -> Science,All graduate students,Science,,,2,331673,46450,14.0,148487,44.8,10570,3.2,2298,0.7,123868,37.3
3499,r003,All graduate students -> Science -> Agricultural sciences,All graduate students,Science,Agricultural sciences,,3,6749,1280,19.0,3424,50.7,795,11.8,87,1.3,1163,17.2
3499,r004,All graduate students -> Science -> Biological and biomedical sciences,All graduate students,Science,Biological and biomedical sciences,,3,76233,18553,24.3,34360,45.1,3258,4.3,496,0.7,19566,25.7
3499,r005,All graduate students -> Science -> Computer and information sciences,All graduate students,Science,Computer and information sciences,,3,62120,5124,8.2,16076,25.9,1420,2.3,469,0.8,39031,62.8
3499,r006,"All graduate students -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All graduate students,Science,"Geosciences, atmospheric sciences, and ocean sciences",,3,9521,2504,26.3,5122,53.8,481,5.1,96,1.0,1318,13.8
3499,r007,All graduate students -> Science -> Mathematics and statistics,All graduate students,Science,Mathematics and statistics,,3,25681,1463,5.7,13152,51.2,338,1.3,161,0.6,10567,41.1
3499,r008,All graduate students -> Science -> Multidisciplinary and interdisciplinary studies,All graduate students,Science,Multidisciplinary and interdisciplinary studies,,3,7033,497,7.1,2708,38.5,138,2.0,40,0.6,3650,51.9
3499,r009,All graduate students -> Science -> Natural resources and conservation,All graduate students,Science,Natural resources and conservation,,3,8101,1215,15.0,3516,43.4,429,5.3,71,0.9,2870,35.4
3499,r010,All graduate students -> Science -> Physical sciences,All graduate students,Science,Physical sciences,,3,38162,10530,27.6,22916,60.0,1560,4.1,327,0.9,2829,7.4
3499,r011,All graduate students -> Science -> Psychology,All graduate students,Science,Psychology,,3,41093,2469,6.0,13950,33.9,748,1.8,143,0.3,23783,57.9
3499,r012,All graduate students -> Science -> Social sciences,All graduate students,Science,Social sciences,,3,56980,2815,4.9,33263,58.4,1403,2.5,408,0.7,19091,33.5
3499,r013,All graduate students -> Engineering,All graduate students,Engineering,,,2,121117,24012,19.8,43902,36.2,7407,6.1,1996,1.6,43800,36.2
3499,r014,All graduate students -> Health,All graduate students,Health,,,2,49652,3143,6.3,13501,27.2,1194,2.4,405,0.8,31409,63.3
3499,r015,All graduate students -> Health -> Clinical medicine<sup>a</sup>,All graduate students,Health,Clinical medicine<sup>a</sup>,,3,18924,1265,6.7,4737,25.0,532,2.8,111,0.6,12279,64.9
3499,r016,All graduate students -> Health -> Other health,All graduate students,Health,Other health,,3,30728,1878,6.1,8764,28.5,662,2.2,294,1.0,19130,62.3
3499,r017,All graduate students -> Master's students,All graduate students,Master's students,,,2,254532,11491,4.5,60153,23.6,4914,1.9,1517,0.6,176457,69.3
3499,r018,All graduate students -> Master's students -> Science,All graduate students,Master's students,Science,,3,158704,6468,4.1,39507,24.9,2534,1.6,844,0.5,109351,68.9
3499,r019,All graduate students -> Master's students -> Science -> Agricultural sciences,All graduate students,Master's students,Science,Agricultural sciences,4,3504,537,15.3,1650,47.1,401,11.4,43,1.2,873,24.9
3499,r020,All graduate students -> Master's students -> Science -> Biological and biomedical sciences,All graduate students,Master's students,Science,Biological and biomedical sciences,4,25757,1263,4.9,6480,25.2,423,1.6,120,0.5,17471,67.8
3499,r021,All graduate students -> Master's students -> Science -> Computer and information sciences,All graduate students,Master's students,Science,Computer and information sciences,4,47535,1061,2.2,8299,17.5,459,1.0,231,0.5,37485,78.9
3499,r022,"All graduate students -> Master's students -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All graduate students,Master's students,Science,"Geosciences, atmospheric sciences, and ocean sciences",4,3675,635,17.3,1929,52.5,139,3.8,32,0.9,940,25.6
3499,r023,All graduate students -> Master's students -> Science -> Mathematics and statistics,All graduate students,Master's students,Science,Mathematics and statistics,4,13359,157,1.2,3241,24.3,95,0.7,59,0.4,9807,73.4
