table_id,row_id,agency,2015,2016,2017,2018
3597,r001,Department of Defense,,,,
3597,r002,   RDT&E,61513.5,69306.1,70866.1,83725.0
3597,r003,      Total research,6691.5,7152.0,7178.0,7652.7
3597,r004,         Basic research,2133.4,2238.7,2110.1,2389.9
3597,r005,         Applied research,4558.1,4913.3,5068.0,5262.8
3597,r006,      Total experimental developmenta,NA,37596.6,37694.6,45320.5
3597,r007,         Advanced technology,5173.3,5467.2,5707.6,6367.4
3597,r008,         Major systems,49648.8,32129.3,31987.0,38953.1
3597,r009,      Total operational system developmentb,NA,24557.5,25993.5,30751.7
3597,r010,   Defense Advanced Research Projects Agency,,,,
3597,r011,      RDT&E,2815.6,2933.4,2894.5,3018.2
3597,r012,         Total research,1485.0,1535.9,1509.4,1680.0
3597,r013,            Basic research,359.8,378.1,391.2,458.4
3597,r014,            Applied research,1125.2,1157.9,1118.1,1221.6
3597,r015,         Total experimental developmenta,NA,1397.5,1385.2,1338.2
3597,r016,            Advanced technology,1187.8,1234.4,1194.1,1160.9
3597,r017,            Major systems,142.9,163.1,191.1,177.3
3597,r018,         Total operational system developmentb,NA,0.0,0.0,0.0
3597,r019,   Department of the Air Force,,,,
3597,r020,      RDT&E,22320.1,24953.5,26236.6,32225.1
3597,r021,         Total research,1609.2,1762.5,1713.3,1904.8
3597,r022,            Basic research,501.4,522.3,469.3,564.1
3597,r023,            Applied research,1107.8,1240.2,1244.0,1340.7
3597,r024,         Total experimental developmenta,NA,5559.1,6386.2,9297.9
3597,r025,            Advanced technology,634.8,666.8,738.7,818.4
3597,r026,            Major systems,20076.2,4892.3,5647.4,8479.5
3597,r027,         Total operational system developmentb,NA,17632.0,18137.1,21022.3
3597,r028,   Department of the Army,,,,
3597,r029,      RDT&E,6764.3,7490.5,8856.0,10653.2
3597,r030,         Total research,1390.5,1522.2,1683.6,1689.1
3597,r031,            Basic research,448.9,461.8,450.4,471.9
3597,r032,            Applied research,941.6,1060.4,1233.2,1217.2
3597,r033,         Total experimental developmenta,NA,4850.0,5847.2,6892.2
3597,r034,            Advanced technology,1077.9,1012.1,1224.9,1400.2
3597,r035,            Major systems,4295.8,3837.9,4622.3,5491.9
3597,r036,         Total operational system developmentb,NA,1118.3,1325.2,2071.9
3597,r037,   Department of the Navy,,,,
3597,r038,      RDT&E,15489.6,17947.7,17428.2,18008.4
3597,r039,         Total research,1465.1,1560.5,1539.8,1549.4
3597,r040,            Basic research,620.4,636.9,569.2,596.1
3597,r041,            Applied research,844.7,923.6,970.6,953.3
3597,r042,         Total experimental developmenta,NA,15083.9,13696.2,13896.8
3597,r043,            Advanced technology,612.8,693.6,862.4,809.6
3597,r044,            Major systems,13411.7,14390.3,12833.8,13087.2
3597,r045,         Total operational system developmentb,NA,1303.4,2192.2,2562.2
3597,r046,   Other defense agencies,,,,
3597,r047,      RDT&E,14123.9,15980.9,15450.8,19820.1
3597,r048,         Total research,741.8,771.0,732.1,829.4
3597,r049,            Basic research,202.9,239.8,230.0,299.3
3597,r050,            Applied research,538.9,531.2,502.1,530.1
3597,r051,         Total experimental developmenta,NA,10706.1,10379.8,13895.5
3597,r052,            Advanced technology,1660.0,1860.4,1687.4,2178.2
3597,r053,            Major systems,11722.1,8845.7,8692.4,11717.2
3597,r054,         Total operational system developmentb,NA,4503.8,4339.0,5095.2
