table_id,row_id,occupation_full_path,occupation_level_1,occupation_level_2,occupation_level_3,occupation_level_4,occupation_hierarchy_depth,field_all_full_time_employed_total_median_salary,field_all_full_time_employed_total_se,field_all_full_time_employed_male_median_salary,field_all_full_time_employed_male_se,field_all_full_time_employed_female_median_salary,field_all_full_time_employed_female_se,field_hispanic_or_latinoa_total_median_salary,field_hispanic_or_latinoa_total_se,field_hispanic_or_latinoa_male_median_salary,field_hispanic_or_latinoa_male_se,field_hispanic_or_latinoa_female_median_salary,field_hispanic_or_latinoa_female_se,field_not_hispanic_or_latinob_american_indian_or_alaska_native_total_median_salary,field_not_hispanic_or_latinob_american_indian_or_alaska_native_total_se,field_not_hispanic_or_latinob_american_indian_or_alaska_native_male_median_salary,field_not_hispanic_or_latinob_american_indian_or_alaska_native_male_se,field_not_hispanic_or_latinob_american_indian_or_alaska_native_female_median_salary,field_not_hispanic_or_latinob_american_indian_or_alaska_native_female_se,field_not_hispanic_or_latinob_asian_total_median_salary,field_not_hispanic_or_latinob_asian_total_se,field_not_hispanic_or_latinob_asian_male_median_salary,field_not_hispanic_or_latinob_asian_male_se,field_not_hispanic_or_latinob_asian_female_median_salary,field_not_hispanic_or_latinob_asian_female_se,field_not_hispanic_or_latinob_black_or_african_american_total_median_salary,field_not_hispanic_or_latinob_black_or_african_american_total_se,field_not_hispanic_or_latinob_black_or_african_american_male_median_salary,field_not_hispanic_or_latinob_black_or_african_american_male_se,field_not_hispanic_or_latinob_black_or_african_american_female_median_salary,field_not_hispanic_or_latinob_black_or_african_american_female_se,field_not_hispanic_or_latinob_white_total_median_salary,field_not_hispanic_or_latinob_white_total_se,field_not_hispanic_or_latinob_white_male_median_salary,field_not_hispanic_or_latinob_white_male_se,field_not_hispanic_or_latinob_white_female_median_salary,field_not_hispanic_or_latinob_white_female_se,field_not_hispanic_or_latinob_other_racec_total_median_salary,field_not_hispanic_or_latinob_other_racec_total_se,field_not_hispanic_or_latinob_other_racec_male_median_salary,field_not_hispanic_or_latinob_other_racec_male_se,field_not_hispanic_or_latinob_other_racec_female_median_salary,field_not_hispanic_or_latinob_other_racec_female_se
3736,r001,All occupations,All occupations,,,,1,119000,1000,127000,1500,100000,500,102000,2000,115000,4000,90000,2000,99000,4500,113000,12000,89000,3500,125000,1500,132000,3000,110000,500,100000,2000,103000,3000,94000,2000,117000,1500,126000,1500,100000,500,109000,3500,114000,6000,95000,5000
3736,r002,All occupations -> Science occupations&#160;,All occupations,Science occupations&#160;,,,2,106000,1500,116000,1500,96000,1000,97000,3000,108000,4000,88000,3000,91000,8000,97000,18000,89000,5000,117000,3000,124000,4000,101000,2500,92000,2500,95000,3500,89000,1000,105000,500,115000,1000,95000,500,102000,5000,106000,4000,92000,4000
3736,r003,"All occupations -> Science occupations&#160; -> Biological, agricultural, and other life scientist&#160;",All occupations,Science occupations&#160;,"Biological, agricultural, and other life scientist&#160;",,3,100000,500,108000,2500,93000,2000,90000,3000,104000,5500,78000,4000,94000,31000,,,,,100000,1000,102000,6500,95000,3500,100000,2000,103000,3000,97000,3500,102000,2000,110000,1000,93000,2500,95000,8500,96000,9500,92000,12500
3736,r004,"All occupations -> Science occupations&#160; -> Biological, agricultural, and other life scientist&#160; -> Agricultural, food scientist",All occupations,Science occupations&#160;,"Biological, agricultural, and other life scientist&#160;","Agricultural, food scientist",4,109000,2500,118000,3500,97000,3500,106000,7500,120000,12000,93000,3500,,,,,,,96000,3000,96000,4000,96000,4000,100000,7000,101000,6000,88000,7500,116000,3500,120000,3000,100000,3500,114000,19000,,,79000,15000
3736,r005,"All occupations -> Science occupations&#160; -> Biological, agricultural, and other life scientist&#160; -> Biochemists, biophysicist",All occupations,Science occupations&#160;,"Biological, agricultural, and other life scientist&#160;","Biochemists, biophysicist",4,100000,4000,104000,6500,95000,9000,73000,20000,115000,17500,66000,4000,,,,,,,90000,7000,88000,9500,90000,15000,70000,33500,,,S,S,109000,5000,109000,7000,104000,12000,88000,19500,87000,18500,,
3736,r006,"All occupations -> Science occupations&#160; -> Biological, agricultural, and other life scientist&#160; -> Biological scientist",All occupations,Science occupations&#160;,"Biological, agricultural, and other life scientist&#160;",Biological scientist,4,90000,2000,95000,3000,80000,3500,70000,7500,78000,8000,64000,5500,,,,,,,86000,5000,89000,4000,76000,7500,101000,4000,101000,8500,99000,9500,93000,3000,99000,5000,83000,3500,85000,4000,93000,9500,81000,7500
3736,r007,"All occupations -> Science occupations&#160; -> Biological, agricultural, and other life scientist&#160; -> Forestry, conservation scientist",All occupations,Science occupations&#160;,"Biological, agricultural, and other life scientist&#160;","Forestry, conservation scientist",4,98000,5500,100000,5500,81000,4500,89000,10000,88000,14000,0.05,0.05,,,,,,,60000,19000,59000,3500,,,0.05,0.05,,,,,99000,2000,108000,7500,80000,4500,,,,,,
3736,r008,"All occupations -> Science occupations&#160; -> Biological, agricultural, and other life scientist&#160; -> Medical scientist",All occupations,Science occupations&#160;,"Biological, agricultural, and other life scientist&#160;",Medical scientist,4,119000,1000,126000,4000,110000,1500,95000,5000,109000,11000,94000,6500,,,,,,,110000,4500,119000,5000,94000,5500,110000,6000,116000,15500,101000,8500,124000,4500,134000,5500,119000,2500,96000,17500,86000,20000,102000,26000
3736,r009,"All occupations -> Science occupations&#160; -> Biological, agricultural, and other life scientist&#160; -> Postsecondary teachers, agricultural, other natural sciences",All occupations,Science occupations&#160;,"Biological, agricultural, and other life scientist&#160;","Postsecondary teachers, agricultural, other natural sciences",4,90000,2000,92000,3000,86000,4500,82000,6000,93000,12500,70000,18000,,,,,,,81000,3500,80000,3000,82000,24000,100000,7500,101000,40000,100000,6500,92000,2500,93000,3500,89000,5500,84000,7000,S,S,,
3736,r010,"All occupations -> Science occupations&#160; -> Biological, agricultural, and other life scientist&#160; -> Postsecondary teachers, biological sciences",All occupations,Science occupations&#160;,"Biological, agricultural, and other life scientist&#160;","Postsecondary teachers, biological sciences",4,89000,2000,99000,2500,80000,2000,89000,3500,98000,8000,76000,4500,0.05,0.05,,,,,109000,5000,109000,7000,102000,9500,77000,7500,82000,15000,73000,6500,86000,2500,98000,4000,77000,3500,91000,14000,84000,11500,109000,15000
