table_id,row_id,_b_field_and_institution_b_full_path,_b_field_and_institution_b_level_1,_b_field_and_institution_b_level_2,_b_field_and_institution_b_level_3,_b_field_and_institution_b_hierarchy_depth,field_rank,field_totala,field_male,field_female
7571,r001,Science and engineering,Science and engineering,,,1,-,41356,23408,17939
7571,r002,Science and engineering -> From top 20 institutions,Science and engineering,From top 20 institutions,,2,-,11238,6796,4440
7571,r003,Science and engineering -> From top 20 institutions -> Stanford U.,Science and engineering,From top 20 institutions,Stanford U.,3,1,718,458,258
7571,r004,"Science and engineering -> From top 20 institutions -> U. Michigan, Ann Arbor",Science and engineering,From top 20 institutions,"U. Michigan, Ann Arbor",3,2,693,394,299
7571,r005,"Science and engineering -> From top 20 institutions -> Purdue U., West Lafayette",Science and engineering,From top 20 institutions,"Purdue U., West Lafayette",3,3,679,436,243
7571,r006,"Science and engineering -> From top 20 institutions -> Texas A&M U., College Station and Health Science Center",Science and engineering,From top 20 institutions,"Texas A&M U., College Station and Health Science Center",3,4,668,432,236
7571,r007,"Science and engineering -> From top 20 institutions -> U. California, Berkeley",Science and engineering,From top 20 institutions,"U. California, Berkeley",3,5,664,423,241
7571,r008,Science and engineering -> From top 20 institutions -> U. Florida,Science and engineering,From top 20 institutions,U. Florida,3,6,595,330,265
7571,r009,"Science and engineering -> From top 20 institutions -> U. Illinois, Urbana-Champaign",Science and engineering,From top 20 institutions,"U. Illinois, Urbana-Champaign",3,7,566,351,215
7571,r010,"Science and engineering -> From top 20 institutions -> U. Washington, Seattle",Science and engineering,From top 20 institutions,"U. Washington, Seattle",3,8,558,327,231
7571,r011,Science and engineering -> From top 20 institutions -> U. Wisconsin-Madison,Science and engineering,From top 20 institutions,U. Wisconsin-Madison,3,8,558,343,215
7571,r012,"Science and engineering -> From top 20 institutions -> Ohio State U., Columbus",Science and engineering,From top 20 institutions,"Ohio State U., Columbus",3,10,547,317,230
7571,r013,Science and engineering -> From top 20 institutions -> Georgia Institute of Technology,Science and engineering,From top 20 institutions,Georgia Institute of Technology,3,11,536,384,152
