table_id,row_id,employment_status_160_160_160_160_160_160_160_160_160_160_160_160_160_160_160_160_full_path,employment_status_160_160_160_160_160_160_160_160_160_160_160_160_160_160_160_160_level_1,employment_status_160_160_160_160_160_160_160_160_160_160_160_160_160_160_160_160_level_2,employment_status_160_160_160_160_160_160_160_160_160_160_160_160_160_160_160_160_hierarchy_depth,field_75_years_and_younger,field_since_birth,field_age_years_1_9,field_age_years_10_19,field_age_years_20_29,field_age_years_30_39,field_age_years_40_49,field_age_years_50_75
1293,r001,All scientists and engineers,All scientists and engineers,,1,4267000,312000,659000,544000,417000,431000,702000,1202000
1293,r002,All scientists and engineers -> Employed in S&E occupations<sup>a</sup>,All scientists and engineers,Employed in S&E occupations<sup>a</sup>,2,1388000,117000,193000,211000,158000,141000,265000,304000
1293,r003,All scientists and engineers -> Employed in non-S&E occupations,All scientists and engineers,Employed in non-S&E occupations,2,1431000,98000,228000,218000,152000,170000,265000,301000
1293,r004,"All scientists and engineers -> Not employed, seeking employment",All scientists and engineers,"Not employed, seeking employment",2,148000,7000,23000,15000,22000,34000,20000,27000
1293,r005,"All scientists and engineers -> Not employed, not seeking employment<sup>b</sup>",All scientists and engineers,"Not employed, not seeking employment<sup>b</sup>",2,1299000,89000,216000,101000,84000,86000,153000,570000
