table_id,row_id,_b_ffrdc_b_full_path,_b_ffrdc_b_level_1,_b_ffrdc_b_level_2,_b_ffrdc_b_level_3,_b_ffrdc_b_level_4,_b_ffrdc_b_hierarchy_depth,field_total_r_d,field_funding_agency_dhs,field_funding_agency_doc,field_funding_agency_dod,field_funding_agency_doe,field_funding_agency_hhs_,field_funding_agency_nasa,field_funding_agency_nsf,field_funding_agency_othera
10815,r048,All agencies sponsoring FFRDCs -> Other agencies -> National Aeronautics and Space Administration,All agencies sponsoring FFRDCs,Other agencies,National Aeronautics and Space Administration,,3,2281720,0,0,6062,0,0,2275658,0,0
10815,r049,All agencies sponsoring FFRDCs -> Other agencies -> National Aeronautics and Space Administration -> Jet Propulsion Laboratory,All agencies sponsoring FFRDCs,Other agencies,National Aeronautics and Space Administration,Jet Propulsion Laboratory,4,2281720,0,0,6062,0,0,2275658,0,0
10815,r050,All agencies sponsoring FFRDCs -> Other agencies -> National Science Foundation,All agencies sponsoring FFRDCs,Other agencies,National Science Foundation,,3,334246,767,6787,10849,0,0,530,315313,0
10815,r051,All agencies sponsoring FFRDCs -> Other agencies -> National Science Foundation -> Green Bank Observatory,All agencies sponsoring FFRDCs,Other agencies,National Science Foundation,Green Bank Observatory,4,15530,0,0,0,0,0,0,15530,0
10815,r052,All agencies sponsoring FFRDCs -> Other agencies -> National Science Foundation -> NSF's National Optical-Infrared Astronomy Research Laboratory,All agencies sponsoring FFRDCs,Other agencies,National Science Foundation,NSF's National Optical-Infrared Astronomy Research Laboratory,4,56388,0,0,0,0,0,0,56388,0
10815,r053,All agencies sponsoring FFRDCs -> Other agencies -> National Science Foundation -> National Center for Atmospheric Research,All agencies sponsoring FFRDCs,Other agencies,National Science Foundation,National Center for Atmospheric Research,4,116625,0,6787,679,0,0,0,109159,0
10815,r054,All agencies sponsoring FFRDCs -> Other agencies -> National Science Foundation -> National Radio Astronomy Observatory,All agencies sponsoring FFRDCs,Other agencies,National Science Foundation,National Radio Astronomy Observatory,4,102712,0,0,0,0,0,0,102712,0
10815,r055,All agencies sponsoring FFRDCs -> Other agencies -> National Science Foundation -> National Solar Observatory,All agencies sponsoring FFRDCs,Other agencies,National Science Foundation,National Solar Observatory,4,26715,0,0,170,0,0,0,26545,0
10815,r056,All agencies sponsoring FFRDCs -> Other agencies -> National Science Foundation -> Science and Technology Policy Institute,All agencies sponsoring FFRDCs,Other agencies,National Science Foundation,Science and Technology Policy Institute,4,16277,767,0,10000,0,0,530,4980,0
10815,r057,All agencies sponsoring FFRDCs -> Other agencies -> Nuclear Regulatory Commission,All agencies sponsoring FFRDCs,Other agencies,Nuclear Regulatory Commission,,3,22513,0,0,20992,0,0,0,0,1522
10815,r058,All agencies sponsoring FFRDCs -> Other agencies -> Nuclear Regulatory Commission -> Center for Nuclear Waste Regulatory Analyses,All agencies sponsoring FFRDCs,Other agencies,Nuclear Regulatory Commission,Center for Nuclear Waste Regulatory Analyses,4,22513,0,0,20992,0,0,0,0,1522
