table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_r_d_personnel_headcount_total_,field_r_d_personnel_headcount_researchersa,field_r_d_personnel_headcount_technicians,field_r_d_personnel_headcount_support_staff,field_r_d_personnel_full_time_equivalent_total_,field_r_d_personnel_full_time_equivalent_researchersa,field_r_d_personnel_full_time_equivalent_technicians,field_r_d_personnel_full_time_equivalent_support_staff
9949,r001,United States<sup>b</sup>,United States<sup>b</sup>,,1,9444,4962,3128,1354,6056.1,3402.8,1765.9,887.4
9949,r002,United States<sup>b</sup> -> Alabama,United States<sup>b</sup>,Alabama,2,103,60,28,15,77.2,58.0,9.4,9.8
9949,r003,United States<sup>b</sup> -> Alaska,United States<sup>b</sup>,Alaska,2,94,58,21,15,77.7,51.5,17.5,8.7
9949,r004,United States<sup>b</sup> -> Arizona,United States<sup>b</sup>,Arizona,2,40,21,14,5,34.3,17.5,12.0,4.8
9949,r005,United States<sup>b</sup> -> Arkansas,United States<sup>b</sup>,Arkansas,2,10,6,1,3,4.1,3.0,0.3,0.8
9949,r006,United States<sup>b</sup> -> California,United States<sup>b</sup>,California,2,630,458,41,131,561.3,412.3,31.0,118.0
9949,r007,United States<sup>b</sup> -> Colorado,United States<sup>b</sup>,Colorado,2,107,64,37,6,49.1,41.3,6.3,1.5
9949,r008,United States<sup>b</sup> -> Connecticut,United States<sup>b</sup>,Connecticut,2,261,173,34,54,154.4,108.6,30.0,15.8
9949,r009,United States<sup>b</sup> -> Delaware,United States<sup>b</sup>,Delaware,2,16,10,3,3,16.0,10.0,3.0,3.0
9949,r010,United States<sup>b</sup> -> District of Columbia,United States<sup>b</sup>,District of Columbia,2,29,7,10,12,14.7,6.2,4.5,4.0
9949,r011,United States<sup>b</sup> -> Florida,United States<sup>b</sup>,Florida,2,874,667,73,134,626.2,494.3,35.3,96.6
9949,r012,United States<sup>b</sup> -> Georgia,United States<sup>b</sup>,Georgia,2,11,7,1,3,8.6,5.7,1.0,1.9
9949,r013,United States<sup>b</sup> -> Hawaii,United States<sup>b</sup>,Hawaii,2,12,5,1,6,4.9,1.5,0.2,3.2
9949,r014,United States<sup>b</sup> -> Idaho,United States<sup>b</sup>,Idaho,2,87,28,54,5,69.7,20.2,45.6,3.9
9949,r015,United States<sup>b</sup> -> Illinois,United States<sup>b</sup>,Illinois,2,8,4,2,2,5.6,3.3,1.5,0.8
9949,r016,United States<sup>b</sup> -> Indiana,United States<sup>b</sup>,Indiana,2,46,22,17,7,16.9,11.5,4.0,1.4
9949,r017,United States<sup>b</sup> -> Iowa,United States<sup>b</sup>,Iowa,2,43,28,14,1,26.9,15.9,10.3,0.7
9949,r018,United States<sup>b</sup> -> Kansas,United States<sup>b</sup>,Kansas,2,25,16,4,5,19.1,11.1,4.0,4.0
