table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_2001,field_2002,field_2003,field_2004,field_2005,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011
6444,r001,All agencies,All agencies,,,,,1,21958.1,23668.3,24751.4,26120.7,27140.3,26584.6,26865.8,27154.0,32879.4,31795.3,29313.6
6444,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,,,,,,,,
6444,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,,3,903.1,930.1,961.6,919.9,953.7,945.8,937.5,883.4,930.2,982.2,963.3
6444,r004,All agencies -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies,Departments,Department of Agriculture,Agricultural Research Service,,4,546.9,582.9,584.1,538.0,542.8,556.1,559.6,550.1,570.6,589.1,566.5
6444,r005,All agencies -> Departments -> Department of Agriculture -> Economic Research Service,All agencies,Departments,Department of Agriculture,Economic Research Service,,4,6.6,6.7,6.8,7.1,7.4,7.5,8.6,4.4,8.0,1.9,7.6
6444,r006,All agencies -> Departments -> Department of Agriculture -> Food Safety and Inspection Service,All agencies,Departments,Department of Agriculture,Food Safety and Inspection Service,,4,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6444,r007,All agencies -> Departments -> Department of Agriculture -> Foreign Agricultural Service,All agencies,Departments,Department of Agriculture,Foreign Agricultural Service,,4,0.8,0.8,0.9,0.4,0.4,0.2,0.2,0.1,0.1,0.1,0.2
6444,r008,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,,4,97.2,103.7,119.7,121.4,121.4,125.9,87.9,82.7,105.4,99.2,89.9
6444,r009,"All agencies -> Departments -> Department of Agriculture -> Grain Inspection, Packers, and Stockyards Administration",All agencies,Departments,Department of Agriculture,"Grain Inspection, Packers, and Stockyards Administration",,4,0.0,0.0,0.0,0.0,0.0,0.0,6.7,6.6,6.5,6.3,6.7
6444,r010,All agencies -> Departments -> Department of Agriculture -> National Agricultural Statistics Service,All agencies,Departments,Department of Agriculture,National Agricultural Statistics Service,,4,1.4,1.5,1.8,1.8,1.8,1.9,2.0,2.6,3.0,3.2,3.3
6444,r011,All agencies -> Departments -> Department of Agriculture -> National Institute of Food and Agriculture,All agencies,Departments,Department of Agriculture,National Institute of Food and Agriculture,,4,249.9,234.4,248.2,251.2,279.9,254.2,272.5,237.0,236.6,282.4,289.1
6444,r012,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,,3,64.9,72.5,65.9,47.9,59.0,72.8,102.8,110.9,138.3,202.3,165.5
6444,r013,All agencies -> Departments -> Department of Commerce -> Economic Development Administration,All agencies,Departments,Department of Commerce,Economic Development Administration,,4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.9,1.6,5.5,0.4
6444,r014,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,,4,53.5,56.1,65.5,47.0,59.0,72.8,102.8,110.0,136.7,196.7,165.1
6444,r015,All agencies -> Departments -> Department of Commerce -> National Oceanic and Atmospheric Administration,All agencies,Departments,Department of Commerce,National Oceanic and Atmospheric Administration,,4,8.2,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6444,r016,All agencies -> Departments -> Department of Commerce -> U.S. Census Bureau,All agencies,Departments,Department of Commerce,U.S. Census Bureau,,4,3.3,2.8,0.3,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6444,r017,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,,,3,2009.3,1812.5,1396.1,1416.2,1399.5,1304.2,1527.2,1616.4,1730.3,1853.5,1885.4
6444,r018,All agencies -> Departments -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies,Departments,Department of Defense,Defense Advanced Research Projects Agency,,4,na,na,na,na,na,na,na,na,na,na,254.2
6444,r019,All agencies -> Departments -> Department of Defense -> Defense agencies and activities,All agencies,Departments,Department of Defense,Defense agencies and activities,,4,870.9,899.2,512.8,193.1,157.4,160.5,235.9,311.3,343.0,414.7,na
6444,r020,All agencies -> Departments -> Department of Defense -> Department of the Air Force,All agencies,Departments,Department of Defense,Department of the Air Force,,4,536.2,299.0,238.2,319.2,369.6,350.6,422.3,399.9,432.1,475.7,470.7
