table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_performed_by_the_company_total,field_performed_by_the_company_paid_for_by_the_company,field_performed_by_the_company_paid_for_by_others,field_performed_by_others_total,field_performed_by_others_paid_for_by_the_company,field_performed_by_others_paid_for_by_others
759,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['355,821', '&nbsp;']","['296,677', '&nbsp;']","['59,144', '&nbsp;']","['48,772', '&nbsp;']","['38,683', '&nbsp;']","['10,089', '&nbsp;']"
759,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['236,132', '&nbsp;']","['195,792', '&nbsp;']","['40,340', '&nbsp;']","['42,651', '&nbsp;']","['34,576', '&nbsp;']","['8,075', '&nbsp;']"
759,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['4,838', '&nbsp;']","['4,644', '&nbsp;']","['194', '&nbsp;']","['156', '&nbsp;']","['147', '&nbsp;']","['9', '&nbsp;']"
759,r004,All industries -> Manufacturing industries -> Beverages and tobacco products,All industries,Manufacturing industries,Beverages and tobacco products,,,3,312,"['1,002', '&nbsp;']","['885', '&nbsp;']","['117', '&nbsp;']","['217', '&nbsp;']","['217', '&nbsp;']","['*', 'i']"
759,r005,"All industries -> Manufacturing industries -> Textiles, apparel, and leather products",All industries,Manufacturing industries,"Textiles, apparel, and leather products",,,3,313–16,"['748', '&nbsp;']","['715', '&nbsp;']","['32', '&nbsp;']","['26', '&nbsp;']","['24', '&nbsp;']","['3', '&nbsp;']"
759,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['195', '&nbsp;']","['188', '&nbsp;']","['8', 'i']","['11', '&nbsp;']","['10', '&nbsp;']","['1', 'i']"
759,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['766', '&nbsp;']","['763', '&nbsp;']","['3', 'i']","['14', '&nbsp;']","['13', '&nbsp;']","['1', 'i']"
759,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['196', 'i']","['189', 'i']","['7', 'i']","['9', 'i']","['6', 'i']","['3', 'i']"
759,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['214', '&nbsp;']","['200', '&nbsp;']","['14', '&nbsp;']","['32', '&nbsp;']","['32', '&nbsp;']","['*', '&nbsp;']"
759,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['68,196', '&nbsp;']","['58,769', '&nbsp;']","['9,427', '&nbsp;']","['31,173', '&nbsp;']","['26,962', '&nbsp;']","['4,211', '&nbsp;']"
759,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['3,042', '&nbsp;']","['2,574', '&nbsp;']","['467', '&nbsp;']","['169', '&nbsp;']","['156', '&nbsp;']","['13', '&nbsp;']"
759,r012,"All industries -> Manufacturing industries -> Chemicals -> Resins, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resins, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['1,201', '&nbsp;']","['1,172', '&nbsp;']","['29', 'i']","['63', '&nbsp;']","['61', '&nbsp;']","['2', 'i']"
759,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticides, fertilizers, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticides, fertilizers, and other agricultural chemicals",,4,3253,"['D', '&nbsp;']","['2,157', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
759,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['58,675', '&nbsp;']","['50,242', '&nbsp;']","['8,432', '&nbsp;']","['30,634', '&nbsp;']","['26,473', '&nbsp;']","['4,161', '&nbsp;']"
759,r015,"All industries -> Manufacturing industries -> Chemicals -> Soaps, cleaning compounds, and toilet preparations",All industries,Manufacturing industries,Chemicals,"Soaps, cleaning compounds, and toilet preparations",,4,3256,"['1,398', '&nbsp;']","['1,283', '&nbsp;']","['115', '&nbsp;']","['157', '&nbsp;']","['130', '&nbsp;']","['27', '&nbsp;']"
