table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_foreign_companies_subsidiaries,field_foreign_companies_company_s_parent,field_foreign_companies_unaffiliated_companies,field_all_other
1414,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['28,912', '&nbsp;']","['11,120', '&nbsp;']","['14,766', '&nbsp;']","['2,926', '&nbsp;']","['100', '&nbsp;']"
1414,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['23,990', '&nbsp;']","['9,708', '&nbsp;']","['12,264', '&nbsp;']","['1,930', '&nbsp;']","['87', '&nbsp;']"
1414,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['320', '&nbsp;']","['114', '&nbsp;']","['205', '&nbsp;']","['*', 'i']","['0', '&nbsp;']"
1414,r004,All industries -> Manufacturing industries -> Beverages and tobacco products,All industries,Manufacturing industries,Beverages and tobacco products,,,3,312,"['D', '&nbsp;']","['37', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']"
1414,r005,"All industries -> Manufacturing industries -> Textiles, apparel, and leather products",All industries,Manufacturing industries,"Textiles, apparel, and leather products",,,3,313–16,"['2', '&nbsp;']","['1', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']"
1414,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['D', '&nbsp;']","['0', '&nbsp;']","['7', 'i']","['D', '&nbsp;']","['0', '&nbsp;']"
1414,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['*', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['*', 'i']","['0', '&nbsp;']"
1414,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['D', '&nbsp;']","['0', '&nbsp;']","['*', 'i']","['D', '&nbsp;']","['*', 'i']"
1414,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['11', '&nbsp;']","['0', '&nbsp;']","['10', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']"
1414,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['9,898', '&nbsp;']","['2,247', '&nbsp;']","['6,184', '&nbsp;']","['1,421', '&nbsp;']","['45', '&nbsp;']"
1414,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['D', '&nbsp;']","['4', '&nbsp;']","['145', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']"
1414,r012,"All industries -> Manufacturing industries -> Chemicals -> Resins, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resins, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['D', '&nbsp;']","['12', '&nbsp;']","['D', '&nbsp;']","['*', 'i']","['0', '&nbsp;']"
1414,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticides, fertilizers, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticides, fertilizers, and other agricultural chemicals",,4,3253,"['D', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']"
1414,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['9,240', '&nbsp;']","['2,218', '&nbsp;']","['5,613', '&nbsp;']","['1,363', '&nbsp;']","['45', '&nbsp;']"
