table_id,row_id,sex_occupation_and_job_satisfaction_full_path,sex_occupation_and_job_satisfaction_level_1,sex_occupation_and_job_satisfaction_level_2,sex_occupation_and_job_satisfaction_level_3,sex_occupation_and_job_satisfaction_level_4,sex_occupation_and_job_satisfaction_level_5,sex_occupation_and_job_satisfaction_hierarchy_depth,field_total,field_primary_work_activity_computer_applications,field_primary_work_activity_management_and_administrationa,field_primary_work_activity_research_and_developmentb,field_primary_work_activity_teaching,field_primary_work_activity_otherc
6848,r001,All sexes,All sexes,,,,,1,48223000,2477000,21389000,4883000,7118000,12356000
6848,r002,All sexes -> Very satisfied,All sexes,Very satisfied,,,,2,21878000,1038000,9460000,2225000,3421000,5734000
6848,r003,All sexes -> Somewhat satisfied,All sexes,Somewhat satisfied,,,,2,20857000,1179000,9274000,2189000,3002000,5213000
6848,r004,All sexes -> Somewhat dissatisfied,All sexes,Somewhat dissatisfied,,,,2,4294000,223000,2059000,375000,603000,1034000
6848,r005,All sexes -> Very dissatisfied,All sexes,Very dissatisfied,,,,2,1195000,37000,597000,94000,92000,375000
6848,r006,All sexes -> S&E occupations,All sexes,S&E occupations,,,,2,6769000,1777000,1426000,2241000,435000,890000
6848,r007,All sexes -> S&E occupations -> Very satisfied,All sexes,S&E occupations,Very satisfied,,,3,3002000,761000,605000,1045000,192000,399000
6848,r008,All sexes -> S&E occupations -> Somewhat satisfied,All sexes,S&E occupations,Somewhat satisfied,,,3,3137000,855000,678000,1007000,211000,386000
6848,r009,All sexes -> S&E occupations -> Somewhat dissatisfied,All sexes,S&E occupations,Somewhat dissatisfied,,,3,526000,146000,114000,160000,28000,78000
6848,r010,All sexes -> S&E occupations -> Very dissatisfied,All sexes,S&E occupations,Very dissatisfied,,,3,104000,14000,30000,29000,4000,26000
6848,r011,"All sexes -> S&E occupations -> Biological, agricultural, and other life scientists",All sexes,S&E occupations,"Biological, agricultural, and other life scientists",,,3,610000,9000,81000,394000,52000,76000
6848,r012,"All sexes -> S&E occupations -> Biological, agricultural, and other life scientists -> Very satisfied",All sexes,S&E occupations,"Biological, agricultural, and other life scientists",Very satisfied,,4,288000,2000,37000,189000,25000,35000
6848,r013,"All sexes -> S&E occupations -> Biological, agricultural, and other life scientists -> Somewhat satisfied",All sexes,S&E occupations,"Biological, agricultural, and other life scientists",Somewhat satisfied,,4,260000,4000,32000,171000,21000,33000
6848,r014,"All sexes -> S&E occupations -> Biological, agricultural, and other life scientists -> Somewhat dissatisfied",All sexes,S&E occupations,"Biological, agricultural, and other life scientists",Somewhat dissatisfied,,4,51000,,8000,28000,5000,8000
6848,r015,"All sexes -> S&E occupations -> Biological, agricultural, and other life scientists -> Very dissatisfied",All sexes,S&E occupations,"Biological, agricultural, and other life scientists",Very dissatisfied,,4,11000,,4000,6000,,S
6848,r016,All sexes -> S&E occupations -> Computer and mathematical scientists,All sexes,S&E occupations,Computer and mathematical scientists,,,3,3419000,1668000,629000,677000,143000,303000
6848,r017,All sexes -> S&E occupations -> Computer and mathematical scientists -> Very satisfied,All sexes,S&E occupations,Computer and mathematical scientists,Very satisfied,,4,1427000,715000,247000,300000,57000,109000
6848,r018,All sexes -> S&E occupations -> Computer and mathematical scientists -> Somewhat satisfied,All sexes,S&E occupations,Computer and mathematical scientists,Somewhat satisfied,,4,1640000,811000,309000,305000,76000,139000
6848,r019,All sexes -> S&E occupations -> Computer and mathematical scientists -> Somewhat dissatisfied,All sexes,S&E occupations,Computer and mathematical scientists,Somewhat dissatisfied,,4,296000,129000,57000,62000,9000,40000
6848,r020,All sexes -> S&E occupations -> Computer and mathematical scientists -> Very dissatisfied,All sexes,S&E occupations,Computer and mathematical scientists,Very dissatisfied,,4,56000,14000,15000,10000,,16000
6848,r021,All sexes -> S&E occupations -> Physical and related scientists,All sexes,S&E occupations,Physical and related scientists,,,3,366000,4000,52000,191000,60000,59000
6848,r022,All sexes -> S&E occupations -> Physical and related scientists -> Very satisfied,All sexes,S&E occupations,Physical and related scientists,Very satisfied,,4,163000,2000,23000,97000,21000,20000
6848,r023,All sexes -> S&E occupations -> Physical and related scientists -> Somewhat satisfied,All sexes,S&E occupations,Physical and related scientists,Somewhat satisfied,,4,170000,1000,22000,82000,36000,28000
6848,r024,All sexes -> S&E occupations -> Physical and related scientists -> Somewhat dissatisfied,All sexes,S&E occupations,Physical and related scientists,Somewhat dissatisfied,,4,22000,,4000,9000,2000,6000
6848,r025,All sexes -> S&E occupations -> Physical and related scientists -> Very dissatisfied,All sexes,S&E occupations,Physical and related scientists,Very dissatisfied,,4,11000,,2000,3000,,5000
6848,r026,All sexes -> S&E occupations -> Social and related scientists,All sexes,S&E occupations,Social and related scientists,,,3,646000,4000,117000,174000,134000,217000
6848,r027,All sexes -> S&E occupations -> Social and related scientists -> Very satisfied,All sexes,S&E occupations,Social and related scientists,Very satisfied,,4,347000,S,65000,86000,71000,123000
6848,r028,All sexes -> S&E occupations -> Social and related scientists -> Somewhat satisfied,All sexes,S&E occupations,Social and related scientists,Somewhat satisfied,,4,255000,1000,41000,77000,54000,81000
6848,r029,All sexes -> S&E occupations -> Social and related scientists -> Somewhat dissatisfied,All sexes,S&E occupations,Social and related scientists,Somewhat dissatisfied,,4,39000,,10000,9000,7000,12000
6848,r030,All sexes -> S&E occupations -> Social and related scientists -> Very dissatisfied,All sexes,S&E occupations,Social and related scientists,Very dissatisfied,,4,5000,,,S,1000,1000
6848,r031,All sexes -> S&E occupations -> Engineers,All sexes,S&E occupations,Engineers,,,3,1728000,93000,549000,804000,46000,236000
6848,r032,All sexes -> S&E occupations -> Engineers -> Very satisfied,All sexes,S&E occupations,Engineers,Very satisfied,,4,776000,40000,233000,372000,18000,113000
6848,r033,All sexes -> S&E occupations -> Engineers -> Somewhat satisfied,All sexes,S&E occupations,Engineers,Somewhat satisfied,,4,813000,37000,273000,372000,24000,106000
6848,r034,All sexes -> S&E occupations -> Engineers -> Somewhat dissatisfied,All sexes,S&E occupations,Engineers,Somewhat dissatisfied,,4,118000,15000,34000,52000,4000,13000
6848,r035,All sexes -> S&E occupations -> Engineers -> Very dissatisfied,All sexes,S&E occupations,Engineers,Very dissatisfied,,4,21000,,9000,8000,,4000
6848,r036,All sexes -> S&E-related occupations,All sexes,S&E-related occupations,,,,2,8271000,268000,1541000,686000,1201000,4575000
6848,r037,All sexes -> S&E-related occupations -> Very satisfied,All sexes,S&E-related occupations,Very satisfied,,,3,4095000,133000,733000,348000,578000,2303000
6848,r038,All sexes -> S&E-related occupations -> Somewhat satisfied,All sexes,S&E-related occupations,Somewhat satisfied,,,3,3471000,111000,647000,295000,521000,1896000
6848,r039,All sexes -> S&E-related occupations -> Somewhat dissatisfied,All sexes,S&E-related occupations,Somewhat dissatisfied,,,3,576000,16000,120000,40000,95000,304000
6848,r040,All sexes -> S&E-related occupations -> Very dissatisfied,All sexes,S&E-related occupations,Very dissatisfied,,,3,129000,7000,40000,3000,7000,71000
6848,r041,All sexes -> Non-S&E occupations,All sexes,Non-S&E occupations,,,,2,33183000,432000,18422000,1956000,5482000,6891000
6848,r042,All sexes -> Non-S&E occupations -> Very satisfied,All sexes,Non-S&E occupations,Very satisfied,,,3,14781000,144000,8122000,832000,2652000,3032000
6848,r043,All sexes -> Non-S&E occupations -> Somewhat satisfied,All sexes,Non-S&E occupations,Somewhat satisfied,,,3,14249000,212000,7949000,888000,2270000,2930000
6848,r044,All sexes -> Non-S&E occupations -> Somewhat dissatisfied,All sexes,Non-S&E occupations,Somewhat dissatisfied,,,3,3192000,61000,1825000,175000,480000,651000
6848,r045,All sexes -> Non-S&E occupations -> Very dissatisfied,All sexes,Non-S&E occupations,Very dissatisfied,,,3,961000,15000,527000,62000,80000,277000
6848,r046,All sexes -> Female,All sexes,Female,,,,2,24900000,613000,10536000,1868000,5200000,6684000
6848,r047,All sexes -> Female -> Very satisfied,All sexes,Female,Very satisfied,,,3,10944000,206000,4313000,766000,2516000,3142000
6848,r048,All sexes -> Female -> Somewhat satisfied,All sexes,Female,Somewhat satisfied,,,3,11052000,324000,4836000,906000,2137000,2849000
6848,r049,All sexes -> Female -> Somewhat dissatisfied,All sexes,Female,Somewhat dissatisfied,,,3,2321000,72000,1095000,152000,475000,527000
6848,r050,All sexes -> Female -> Very dissatisfied,All sexes,Female,Very dissatisfied,,,3,585000,11000,292000,44000,72000,166000
6848,r051,All sexes -> Female -> S&E occupations,All sexes,Female,S&E occupations,,,3,1966000,358000,465000,626000,189000,328000
6848,r052,All sexes -> Female -> S&E occupations -> Very satisfied,All sexes,Female,S&E occupations,Very satisfied,,4,835000,146000,174000,280000,84000,151000
6848,r053,All sexes -> Female -> S&E occupations -> Somewhat satisfied,All sexes,Female,S&E occupations,Somewhat satisfied,,4,930000,183000,225000,286000,92000,144000
6848,r054,All sexes -> Female -> S&E occupations -> Somewhat dissatisfied,All sexes,Female,S&E occupations,Somewhat dissatisfied,,4,171000,25000,57000,50000,13000,27000
6848,r055,All sexes -> Female -> S&E occupations -> Very dissatisfied,All sexes,Female,S&E occupations,Very dissatisfied,,4,31000,4000,9000,11000,,6000
6848,r056,"All sexes -> Female -> S&E occupations -> Biological, agricultural, and other life scientists",All sexes,Female,S&E occupations,"Biological, agricultural, and other life scientists",,4,292000,2000,41000,176000,31000,42000
6848,r057,"All sexes -> Female -> S&E occupations -> Biological, agricultural, and other life scientists -> Very satisfied",All sexes,Female,S&E occupations,"Biological, agricultural, and other life scientists",Very satisfied,5,139000,,18000,85000,15000,20000
6848,r058,"All sexes -> Female -> S&E occupations -> Biological, agricultural, and other life scientists -> Somewhat satisfied",All sexes,Female,S&E occupations,"Biological, agricultural, and other life scientists",Somewhat satisfied,5,122000,S,16000,76000,12000,18000
6848,r059,"All sexes -> Female -> S&E occupations -> Biological, agricultural, and other life scientists -> Somewhat dissatisfied",All sexes,Female,S&E occupations,"Biological, agricultural, and other life scientists",Somewhat dissatisfied,5,26000,,6000,14000,4000,3000
6848,r060,"All sexes -> Female -> S&E occupations -> Biological, agricultural, and other life scientists -> Very dissatisfied",All sexes,Female,S&E occupations,"Biological, agricultural, and other life scientists",Very dissatisfied,5,4000,,S,2000,,
6848,r061,All sexes -> Female -> S&E occupations -> Computer and mathematical scientists,All sexes,Female,S&E occupations,Computer and mathematical scientists,,4,919000,340000,250000,189000,66000,75000
6848,r062,All sexes -> Female -> S&E occupations -> Computer and mathematical scientists -> Very satisfied,All sexes,Female,S&E occupations,Computer and mathematical scientists,Very satisfied,5,358000,138000,84000,85000,21000,30000
6848,r063,All sexes -> Female -> S&E occupations -> Computer and mathematical scientists -> Somewhat satisfied,All sexes,Female,S&E occupations,Computer and mathematical scientists,Somewhat satisfied,5,450000,175000,126000,77000,41000,31000
6848,r064,All sexes -> Female -> S&E occupations -> Computer and mathematical scientists -> Somewhat dissatisfied,All sexes,Female,S&E occupations,Computer and mathematical scientists,Somewhat dissatisfied,5,96000,23000,35000,23000,S,11000
6848,r065,All sexes -> Female -> S&E occupations -> Computer and mathematical scientists -> Very dissatisfied,All sexes,Female,S&E occupations,Computer and mathematical scientists,Very dissatisfied,5,14000,4000,5000,4000,,
6848,r066,All sexes -> Female -> S&E occupations -> Physical and related scientists,All sexes,Female,S&E occupations,Physical and related scientists,,4,107000,1000,22000,53000,10000,23000
6848,r067,All sexes -> Female -> S&E occupations -> Physical and related scientists -> Very satisfied,All sexes,Female,S&E occupations,Physical and related scientists,Very satisfied,5,48000,,11000,26000,4000,7000
6848,r068,All sexes -> Female -> S&E occupations -> Physical and related scientists -> Somewhat satisfied,All sexes,Female,S&E occupations,Physical and related scientists,Somewhat satisfied,5,46000,0.05,8000,21000,5000,11000
6848,r069,All sexes -> Female -> S&E occupations -> Physical and related scientists -> Somewhat dissatisfied,All sexes,Female,S&E occupations,Physical and related scientists,Somewhat dissatisfied,5,8000,,2000,3000,1000,2000
