table_id,row_id,_b_industry_and_naics_code_b_full_path,_b_industry_and_naics_code_b_level_1,_b_industry_and_naics_code_b_level_2,_b_industry_and_naics_code_b_hierarchy_depth,field_domestic_employmenta,field_r_d_employment_total,field_r_d_employment_male,field_r_d_employment_female,field_r_d_employment_researchersb_total,field_r_d_employment_researchersb_with_phd,field_r_d_employment_technicians_and_equivalent_staff,field_r_d_employment_other_supporting_staffc,field_r_d_employment_full_time_equivalentd_total,field_r_d_employment_full_time_equivalentd_researchersb
11766,r001,"All industries, 21&#8211;33, 42&#8211;81","All industries, 21&#8211;33, 42&#8211;81",,1,24092,2110,1501,609,1441,"['143', '  ']",473,196,1941,1316
11766,r002,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33",2,10251,1008,723,285,690,"['86', '  ']",205,113,925,634
11766,r003,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81",2,13840,1102,778,324,752,"['56', 'i ']",267,82,1016,682
