table_id,row_id,_b_field_of_doctorate_b_full_path,_b_field_of_doctorate_b_level_1,_b_field_of_doctorate_b_level_2,_b_field_of_doctorate_b_level_3,_b_field_of_doctorate_b_level_4,_b_field_of_doctorate_b_hierarchy_depth,field_all_u_s_citizens_and_permanent_residents_number_,field_total,field_u_s_citizen_or_permanent_resident_hispanic_or_latino,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_american_indian_or_alaska_native,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_asian,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_black_or_african_american,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_white,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_more_than_one_race,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_other_race_or_race_not_reported,field_u_s_citizen_or_permanent_resident_ethnicity_not_reported
11673,r029,All fields -> Science and engineering -> Engineering -> Materials and mining engineering,All fields,Science and engineering,Engineering,Materials and mining engineering,4,417,100.0,8.9,0.0,13.9,5.0,65.7,4.3,0.7,1.4
11673,r030,All fields -> Science and engineering -> Engineering -> Mechanical engineering,All fields,Science and engineering,Engineering,Mechanical engineering,4,634,100.0,10.7,0.2,12.9,4.6,65.0,3.8,1.6,1.3
11673,r031,"All fields -> Science and engineering -> Engineering -> Engineering, other",All fields,Science and engineering,Engineering,"Engineering, other",4,323,100.0,8.0,0.3,13.0,7.1,63.8,2.8,2.2,2.8
11673,r032,"All fields -> Science and engineering -> Geosciences, atmospheric, and ocean sciences",All fields,Science and engineering,"Geosciences, atmospheric, and ocean sciences",,3,773,100.0,7.5,0.5,7.4,1.9,77.2,3.8,0.6,1.0
11673,r033,"All fields -> Science and engineering -> Geosciences, atmospheric, and ocean sciences -> Geological and earth sciences",All fields,Science and engineering,"Geosciences, atmospheric, and ocean sciences",Geological and earth sciences,4,412,100.0,8.5,0.5,8.0,2.4,76.9,2.4,0.5,0.7
11673,r034,"All fields -> Science and engineering -> Geosciences, atmospheric, and ocean sciences -> Ocean, marine, and atmospheric sciences",All fields,Science and engineering,"Geosciences, atmospheric, and ocean sciences","Ocean, marine, and atmospheric sciences",4,361,100.0,6.4,0.6,6.6,1.4,77.6,5.3,0.8,1.4
11673,r035,All fields -> Science and engineering -> Health sciences,All fields,Science and engineering,Health sciences,,3,1953,100.0,8.3,0.5,10.2,12.3,61.4,3.1,1.3,3.0
11673,r036,All fields -> Science and engineering -> Health sciences -> Nursing and nursing science,All fields,Science and engineering,Health sciences,Nursing and nursing science,4,517,100.0,4.3,0.8,7.2,14.7,67.3,2.3,0.8,2.7
11673,r037,All fields -> Science and engineering -> Health sciences -> Pharmacy and pharmaceutical sciences,All fields,Science and engineering,Health sciences,Pharmacy and pharmaceutical sciences,4,204,100.0,11.3,0.0,13.7,5.4,63.7,3.4,1.0,1.5
11673,r038,All fields -> Science and engineering -> Health sciences -> Public health,All fields,Science and engineering,Health sciences,Public health,4,578,100.0,10.4,0.5,13.0,18.3,50.0,4.0,2.1,1.7
11673,r039,"All fields -> Science and engineering -> Health sciences -> Health sciences, other",All fields,Science and engineering,Health sciences,"Health sciences, other",4,654,100.0,8.7,0.3,9.0,7.2,66.1,2.8,1.1,4.9
11673,r040,All fields -> Science and engineering -> Mathematics and statistics,All fields,Science and engineering,Mathematics and statistics,,3,929,100.0,6.9,0.0,14.5,2.4,69.8,4.4,1.2,0.9
11673,r041,All fields -> Science and engineering -> Mathematics and statistics -> Applied mathematics,All fields,Science and engineering,Mathematics and statistics,Applied mathematics,4,240,100.0,8.8,0.0,16.3,3.8,65.4,4.6,0.4,0.8
11673,r042,All fields -> Science and engineering -> Mathematics and statistics -> Mathematics,All fields,Science and engineering,Mathematics and statistics,Mathematics,4,495,100.0,6.3,0.0,10.3,1.2,75.4,4.4,1.6,0.8
11673,r043,All fields -> Science and engineering -> Mathematics and statistics -> Statistics,All fields,Science and engineering,Mathematics and statistics,Statistics,4,194,100.0,6.2,0.0,23.2,3.6,60.8,4.1,1.0,1.0
11673,r044,All fields -> Science and engineering -> Multidisciplinary/ interdisciplinary sciences,All fields,Science and engineering,Multidisciplinary/ interdisciplinary sciences,,3,826,100.0,9.1,0.2,13.3,7.5,63.7,2.9,1.0,2.3
11673,r045,All fields -> Science and engineering -> Multidisciplinary/ interdisciplinary sciences -> Interdisciplinary computer sciences,All fields,Science and engineering,Multidisciplinary/ interdisciplinary sciences,Interdisciplinary computer sciences,4,230,100.0,7.4,0.0,21.3,4.8,60.9,3.9,0.9,0.9
11673,r046,"All fields -> Science and engineering -> Multidisciplinary/ interdisciplinary sciences -> Multidisciplinary/ interdisciplinary sciences, other",All fields,Science and engineering,Multidisciplinary/ interdisciplinary sciences,"Multidisciplinary/ interdisciplinary sciences, other",4,596,100.0,9.7,0.3,10.2,8.6,64.8,2.5,1.0,2.9
11673,r047,All fields -> Science and engineering -> Physical sciences,All fields,Science and engineering,Physical sciences,,3,3142,100.0,9.4,0.2,10.9,3.2,69.5,3.5,1.5,1.8
11673,r048,All fields -> Science and engineering -> Physical sciences -> Astronomy and astrophysics,All fields,Science and engineering,Physical sciences,Astronomy and astrophysics,4,215,100.0,10.7,0.0,8.8,1.9,71.2,5.1,0.9,1.4
11673,r049,All fields -> Science and engineering -> Physical sciences -> Chemistry,All fields,Science and engineering,Physical sciences,Chemistry,4,1711,100.0,10.2,0.4,10.0,3.6,68.8,3.3,1.7,2.1
11673,r050,All fields -> Science and engineering -> Physical sciences -> Materials sciences,All fields,Science and engineering,Physical sciences,Materials sciences,4,192,100.0,6.8,0.0,13.0,3.6,70.3,4.2,2.1,0.0
11673,r051,All fields -> Science and engineering -> Physical sciences -> Physics,All fields,Science and engineering,Physical sciences,Physics,4,1024,100.0,8.4,0.0,12.5,2.5,70.1,3.5,1.3,1.7
11673,r052,All fields -> Science and engineering -> Psychology,All fields,Science and engineering,Psychology,,3,3178,100.0,12.0,0.4,7.5,9.4,63.1,4.4,1.2,2.1
11673,r053,All fields -> Science and engineering -> Psychology -> Clinical psychology,All fields,Science and engineering,Psychology,Clinical psychology,4,1078,100.0,11.9,0.6,8.3,6.4,65.2,4.6,0.9,2.0
