table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_all_companies_companies_number_,field_all_companies_amount,field_1_4_employees_companies_number_,field_1_4_employees_amount,field_5_9_employees_companies_number_,field_5_9_employees_amount
7889,r001,All selected industries,All selected industries,,,,1,"31–33, 42, 51, 5413, 5415, 5417","['15,868', '&nbsp;']","['7,522,839', '&nbsp;']","['10,225', '&nbsp;']","['3,623,592', '&nbsp;']","['5,644', '&nbsp;']","['3,899,247', '&nbsp;']"
7889,r002,All selected industries -> Manufacturing industries,All selected industries,Manufacturing industries,,,2,31–33,"['1,974', '&nbsp;']","['822,687', '&nbsp;']","['1,004', '&nbsp;']","['359,533', '&nbsp;']","['969', '&nbsp;']","['463,154', '&nbsp;']"
7889,r003,"All selected industries -> Manufacturing industries -> Food, beverage, and tobacco products",All selected industries,Manufacturing industries,"Food, beverage, and tobacco products",,3,311–12,"['62', '&nbsp;']","['20,378', 'r']","['52', '&nbsp;']","['16,061', 'r']","['11', '&nbsp;']","['4,317', 'r']"
7889,r004,"All selected industries -> Manufacturing industries -> Textile, apparel, and leather products",All selected industries,Manufacturing industries,"Textile, apparel, and leather products",,3,313–16,"['3', 'r']","['472', 'r']","['3', 'r']","['472', 'r']","['0', '&nbsp;']","['0', '&nbsp;']"
7889,r005,All selected industries -> Manufacturing industries -> Wood products,All selected industries,Manufacturing industries,Wood products,,3,321,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7889,r006,All selected industries -> Manufacturing industries -> Paper,All selected industries,Manufacturing industries,Paper,,3,322,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7889,r007,All selected industries -> Manufacturing industries -> Printing and related support activities,All selected industries,Manufacturing industries,Printing and related support activities,,3,323,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7889,r008,All selected industries -> Manufacturing industries -> Petroleum and coal products,All selected industries,Manufacturing industries,Petroleum and coal products,,3,324,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7889,r009,All selected industries -> Manufacturing industries -> Chemicals,All selected industries,Manufacturing industries,Chemicals,,3,325,"['590', '&nbsp;']","['201,214', '&nbsp;']","['260', '&nbsp;']","['96,869', '&nbsp;']","['332', '&nbsp;']","['104,345', '&nbsp;']"
7889,r010,All selected industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All selected industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,4,3254,"['153', '&nbsp;']","['104,539', '&nbsp;']","['97', '&nbsp;']","['64,689', '&nbsp;']","['56', '&nbsp;']","['39,850', '&nbsp;']"
7889,r011,"All selected industries -> Manufacturing industries -> Chemicals -> Chemicals, excluding pharmaceuticals",All selected industries,Manufacturing industries,Chemicals,"Chemicals, excluding pharmaceuticals",4,other 325,"['438', '&nbsp;']","['96,675', '&nbsp;']","['162', '&nbsp;']","['32,181', '&nbsp;']","['275', '&nbsp;']","['64,495', '&nbsp;']"
7889,r012,All selected industries -> Manufacturing industries -> Plastics and rubber products,All selected industries,Manufacturing industries,Plastics and rubber products,,3,326,"['69', '&nbsp;']","['23,004', '&nbsp;']","['31', '&nbsp;']","['18,051', '&nbsp;']","['39', 'r']","['4,953', '&nbsp;']"
7889,r013,All selected industries -> Manufacturing industries -> Nonmetallic mineral products,All selected industries,Manufacturing industries,Nonmetallic mineral products,,3,327,"['0', '&nbsp;']","['133', '&nbsp;']","['0', '&nbsp;']","['133', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
