table_id,row_id,_b_state_and_outlying_area_b_full_path,_b_state_and_outlying_area_b_level_1,_b_state_and_outlying_area_b_level_2,_b_state_and_outlying_area_b_hierarchy_depth,field_all_agencies,field_doc,field_dod,field_doe,field_doi,field_ed,field_epa,field_hhs,field_nasa,field_nsf,field_usda,field_othera
11228,r001,All states and outlying areas,All states and outlying areas,,1,44628417,513921,4528476,1477289,60960,195882,33058,26694087,2057512,6920665,1905757,240809
11228,r002,All states and outlying areas -> Alabama,All states and outlying areas,Alabama,2,624060,4694,42146,11992,660,847,0,370447,30911,76914,72962,12485
11228,r003,All states and outlying areas -> Alaska,All states and outlying areas,Alaska,2,112394,3742,9803,1130,2605,0,0,14226,21803,46206,7904,4975
11228,r004,All states and outlying areas -> Arizona,All states and outlying areas,Arizona,2,645465,5324,88042,15234,254,2373,0,275061,70254,166836,16309,5778
11228,r005,All states and outlying areas -> Arkansas,All states and outlying areas,Arkansas,2,166656,0,16352,3491,0,0,0,78565,879,33945,32716,707
11228,r006,All states and outlying areas -> California,All states and outlying areas,California,2,6097377,29551,601477,172321,11435,10371,7248,4037734,278683,846147,89589,12821
11228,r007,All states and outlying areas -> Colorado,All states and outlying areas,Colorado,2,1203788,91209,68229,45836,5507,969,992,419499,197339,342825,26959,4424
11228,r008,All states and outlying areas -> Connecticut,All states and outlying areas,Connecticut,2,850709,2985,43373,11250,381,7229,0,682676,3791,81201,16498,1325
11228,r009,All states and outlying areas -> Delaware,All states and outlying areas,Delaware,2,178295,17151,27774,12410,722,2043,0,50902,3416,42933,20820,124
11228,r010,All states and outlying areas -> District of Columbia,All states and outlying areas,District of Columbia,2,599707,5710,35603,3585,29,3278,0,158873,279070,103413,4603,5544
11228,r011,All states and outlying areas -> Florida,All states and outlying areas,Florida,2,1216533,20063,114480,25155,6123,11927,0,657511,33960,252389,76653,18272
11228,r012,All states and outlying areas -> Georgia,All states and outlying areas,Georgia,2,1355535,11405,220398,37730,664,2955,3100,825108,22287,165879,62006,4003
11228,r013,All states and outlying areas -> Hawaii,All states and outlying areas,Hawaii,2,156569,962,22239,3486,0,0,0,50377,23526,45440,10140,400
