table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_companies_number_,field_product_or_business_process_innovation_percent_yes,field_product_or_business_process_innovation_percent_no,field_product_innovation_percent_yes,field_product_innovation_percent_no,field_business_process_innovation_percent_yes,field_business_process_innovation_percent_no
8028,r001,All states,All states,,1,"['    4,857,473 ', '&#160;']","['25.3', '&#160;']","['74.7', '&#160;']","['10.9', '&#160;']","['89.1', '&#160;']","['21.7', '&#160;']","['78.3', '&#160;']"
8028,r002,All states -> Alabama,All states,Alabama,2,"['    54,897 ', '&#160;']","['21.8', '&#160;']","['78.2', '&#160;']","['9.0', '&#160;']","['91.0', '&#160;']","['18.4', '&#160;']","['81.6', '&#160;']"
8028,r003,All states -> Alaska,All states,Alaska,2,"['    12,324 ', '&#160;']","['20.1', '&#160;']","['79.9', '&#160;']","['7.5', '&#160;']","['92.5', '&#160;']","['16.1', '&#160;']","['83.9', '&#160;']"
8028,r004,All states -> Arizona,All states,Arizona,2,"['    86,622 ', '&#160;']","['25.7', '&#160;']","['74.3', '&#160;']","['11.5', '&#160;']","['88.5', '&#160;']","['22.4', '&#160;']","['77.6', '&#160;']"
8028,r005,All states -> Arkansas,All states,Arkansas,2,"['    39,285 ', '&#160;']","['19.5', '&#160;']","['80.5', '&#160;']","['7.8', '&#160;']","['92.2', '&#160;']","['16.4', '&#160;']","['83.6', '&#160;']"
8028,r006,All states -> California,All states,California,2,"['    605,020 ', '&#160;']","['28.2', '&#160;']","['71.8', '&#160;']","['12.5', '&#160;']","['87.5', '&#160;']","['24.1', '&#160;']","['75.9', '&#160;']"
8028,r007,All states -> Colorado,All states,Colorado,2,"['    117,970 ', '&#160;']","['26.9', '&#160;']","['73.1', '&#160;']","['11.7', '&#160;']","['88.3', '&#160;']","['23.2', '&#160;']","['76.8', '&#160;']"
8028,r008,All states -> Connecticut,All states,Connecticut,2,"['    53,835 ', '&#160;']","['22.2', '&#160;']","['77.8', '&#160;']","['8.6', '&#160;']","['91.4', '&#160;']","['19.5', '&#160;']","['80.5', '&#160;']"
8028,r009,All states -> Delaware,All states,Delaware,2,"['    14,833 ', '&#160;']","['28.5', '&#160;']","['71.5', '&#160;']","['12.2', '&#160;']","['87.8', '&#160;']","['24.9', '&#160;']","['75.1', '&#160;']"
8028,r010,All states -> District of Columbia,All states,District of Columbia,2,"['    8,652 ', '&#160;']","['27.4', '&#160;']","['72.6', '&#160;']","['12.5', '&#160;']","['87.5', '&#160;']","['23.2', '&#160;']","['76.8', '&#160;']"
8028,r011,All states -> Florida,All states,Florida,2,"['    354,038 ', '&#160;']","['26.6', '&#160;']","['73.4', '&#160;']","['12.0', '&#160;']","['88.0', '&#160;']","['22.6', '&#160;']","['77.4', '&#160;']"
8028,r012,All states -> Georgia,All states,Georgia,2,"['    137,931 ', '&#160;']","['26.1', '&#160;']","['73.9', '&#160;']","['11.2', '&#160;']","['88.8', '&#160;']","['22.2', '&#160;']","['77.8', '&#160;']"
