table_id,row_id,_b_country_b_full_path,_b_country_b_level_1,_b_country_b_level_2,_b_country_b_level_3,_b_country_b_hierarchy_depth,field_rank,field_doctorate_recipients
4662,r001,All temporary visa holders (154 countries)<sup>a</sup>,All temporary visa holders (154 countries)<sup>a</sup>,,,1,-,18166
4662,r002,All temporary visa holders (154 countries)<sup>a</sup> -> Top 40 countries of origin,All temporary visa holders (154 countries)<sup>a</sup>,Top 40 countries of origin,,2,-,16858
4662,r003,All temporary visa holders (154 countries)<sup>a</sup> -> Top 40 countries of origin -> China<sup>b</sup>,All temporary visa holders (154 countries)<sup>a</sup>,Top 40 countries of origin,China<sup>b</sup>,3,1,6337
4662,r004,All temporary visa holders (154 countries)<sup>a</sup> -> Top 40 countries of origin -> India ,All temporary visa holders (154 countries)<sup>a</sup>,Top 40 countries of origin,India ,3,2,2256
4662,r005,All temporary visa holders (154 countries)<sup>a</sup> -> Top 40 countries of origin -> South Korea ,All temporary visa holders (154 countries)<sup>a</sup>,Top 40 countries of origin,South Korea ,3,3,1054
4662,r006,All temporary visa holders (154 countries)<sup>a</sup> -> Top 40 countries of origin -> Iran ,All temporary visa holders (154 countries)<sup>a</sup>,Top 40 countries of origin,Iran ,3,4,962
4662,r007,All temporary visa holders (154 countries)<sup>a</sup> -> Top 40 countries of origin -> Saudi Arabia ,All temporary visa holders (154 countries)<sup>a</sup>,Top 40 countries of origin,Saudi Arabia ,3,5,615
4662,r008,All temporary visa holders (154 countries)<sup>a</sup> -> Top 40 countries of origin -> Taiwan ,All temporary visa holders (154 countries)<sup>a</sup>,Top 40 countries of origin,Taiwan ,3,6,468
4662,r009,All temporary visa holders (154 countries)<sup>a</sup> -> Top 40 countries of origin -> Canada ,All temporary visa holders (154 countries)<sup>a</sup>,Top 40 countries of origin,Canada ,3,7,398
4662,r010,All temporary visa holders (154 countries)<sup>a</sup> -> Top 40 countries of origin -> Bangladesh ,All temporary visa holders (154 countries)<sup>a</sup>,Top 40 countries of origin,Bangladesh ,3,8,392
4662,r011,All temporary visa holders (154 countries)<sup>a</sup> -> Top 40 countries of origin -> Turkey ,All temporary visa holders (154 countries)<sup>a</sup>,Top 40 countries of origin,Turkey ,3,9,369
4662,r012,All temporary visa holders (154 countries)<sup>a</sup> -> Top 40 countries of origin -> Brazil,All temporary visa holders (154 countries)<sup>a</sup>,Top 40 countries of origin,Brazil,3,10,318
4662,r013,All temporary visa holders (154 countries)<sup>a</sup> -> Top 40 countries of origin -> Mexico ,All temporary visa holders (154 countries)<sup>a</sup>,Top 40 countries of origin,Mexico ,3,11,236
4662,r014,All temporary visa holders (154 countries)<sup>a</sup> -> Top 40 countries of origin -> Nepal ,All temporary visa holders (154 countries)<sup>a</sup>,Top 40 countries of origin,Nepal ,3,12,226
4662,r015,All temporary visa holders (154 countries)<sup>a</sup> -> Top 40 countries of origin -> Iraq,All temporary visa holders (154 countries)<sup>a</sup>,Top 40 countries of origin,Iraq,3,13,192
4662,r016,All temporary visa holders (154 countries)<sup>a</sup> -> Top 40 countries of origin -> Colombia ,All temporary visa holders (154 countries)<sup>a</sup>,Top 40 countries of origin,Colombia ,3,14,191
4662,r017,All temporary visa holders (154 countries)<sup>a</sup> -> Top 40 countries of origin -> Sri Lanka,All temporary visa holders (154 countries)<sup>a</sup>,Top 40 countries of origin,Sri Lanka,3,15,174
4662,r018,All temporary visa holders (154 countries)<sup>a</sup> -> Top 40 countries of origin -> Italy ,All temporary visa holders (154 countries)<sup>a</sup>,Top 40 countries of origin,Italy ,3,16,170
4662,r019,All temporary visa holders (154 countries)<sup>a</sup> -> Top 40 countries of origin -> Vietnam ,All temporary visa holders (154 countries)<sup>a</sup>,Top 40 countries of origin,Vietnam ,3,17,169
4662,r020,All temporary visa holders (154 countries)<sup>a</sup> -> Top 40 countries of origin -> Nigeria ,All temporary visa holders (154 countries)<sup>a</sup>,Top 40 countries of origin,Nigeria ,3,18,161
4662,r021,All temporary visa holders (154 countries)<sup>a</sup> -> Top 40 countries of origin -> Pakistan,All temporary visa holders (154 countries)<sup>a</sup>,Top 40 countries of origin,Pakistan,3,19,157
4662,r022,All temporary visa holders (154 countries)<sup>a</sup> -> Top 40 countries of origin -> Germany,All temporary visa holders (154 countries)<sup>a</sup>,Top 40 countries of origin,Germany,3,20,150
4662,r023,All temporary visa holders (154 countries)<sup>a</sup> -> Top 40 countries of origin -> Egypt ,All temporary visa holders (154 countries)<sup>a</sup>,Top 40 countries of origin,Egypt ,3,21,127
4662,r024,All temporary visa holders (154 countries)<sup>a</sup> -> Top 40 countries of origin -> Thailand ,All temporary visa holders (154 countries)<sup>a</sup>,Top 40 countries of origin,Thailand ,3,22,126
4662,r025,All temporary visa holders (154 countries)<sup>a</sup> -> Top 40 countries of origin -> Spain ,All temporary visa holders (154 countries)<sup>a</sup>,Top 40 countries of origin,Spain ,3,23,122
4662,r026,All temporary visa holders (154 countries)<sup>a</sup> -> Top 40 countries of origin -> Russian Federation (former USSR) ,All temporary visa holders (154 countries)<sup>a</sup>,Top 40 countries of origin,Russian Federation (former USSR) ,3,24,120
4662,r027,All temporary visa holders (154 countries)<sup>a</sup> -> Top 40 countries of origin -> United Kingdom,All temporary visa holders (154 countries)<sup>a</sup>,Top 40 countries of origin,United Kingdom,3,25,119
4662,r028,All temporary visa holders (154 countries)<sup>a</sup> -> Top 40 countries of origin -> France ,All temporary visa holders (154 countries)<sup>a</sup>,Top 40 countries of origin,France ,3,26,118
