table_id,row_id,research_degree_full_path,research_degree_level_1,research_degree_level_2,research_degree_hierarchy_depth,field_degree_title,field_2015_number,field_2015_percent,field_2016_number,field_2016_percent,field_2017_number,field_2017_percent,field_2018_number,field_2018_percent,field_2019_number,field_2019_percent
2867,r001,All research doctorates ,All research doctorates ,,1,,54886,100.0,54809,100.0,54554,100.0,55103,100.0,55703,100.0
2867,r002,All research doctorates  -> PhD ,All research doctorates ,PhD ,2,Doctor of Philosophy ,53802,98.0,53778,98.1,53474,98.0,54154,98.3,54800,98.4
2867,r003,All research doctorates  -> EdD ,All research doctorates ,EdD ,2,Doctor of Education ,615,1.1,616,1.1,589,1.1,571,1.0,473,0.8
2867,r004,"All research doctorates  -> DSc, ScD",All research doctorates ,"DSc, ScD",2,Doctor of Science ,105,0.2,103,0.2,108,0.2,92,0.2,92,0.2
2867,r005,"All research doctorates  -> DEng, DESc, DES",All research doctorates ,"DEng, DESc, DES",2,Doctor of Engineering or Engineering Science,36,0.1,33,0.1,28,0.1,21,0.05,43,0.1
2867,r006,All research doctorates  -> DA ,All research doctorates ,DA ,2,Doctor of Arts ,4,0.05,7,0.05,4,0.05,5,0.05,1,0.05
2867,r007,All research doctorates  -> DBA ,All research doctorates ,DBA ,2,Doctor of Business Administration ,35,0.1,32,0.1,32,0.1,24,0.05,17,0.05
2867,r008,All research doctorates  -> DMA ,All research doctorates ,DMA ,2,Doctor of Musical Arts ,178,0.3,141,0.3,139,0.3,116,0.2,116,0.2
2867,r009,All research doctorates  -> DDes ,All research doctorates ,DDes ,2,Doctor of Design ,1,0.05,5,0.05,7,0.05,9,0.05,8,0.05
2867,r010,All research doctorates  -> DPH ,All research doctorates ,DPH ,2,Doctor of Public Health ,27,0.05,20,0.05,53,0.1,41,0.1,37,0.1
2867,r011,All research doctorates  -> DHL ,All research doctorates ,DHL ,2,Doctor of Hebrew Letters ,0,0.0,1,0.05,0,0.0,0,0.0,1,0.05
2867,r012,All research doctorates  -> DME ,All research doctorates ,DME ,2,Doctor of Music Education ,2,0.05,0,0.0,3,0.05,0,0.0,1,0.05
2867,r013,All research doctorates  -> DML ,All research doctorates ,DML ,2,Doctor of Modern Languages ,3,0.05,5,0.05,6,0.05,4,0.05,6,0.05
2867,r014,All research doctorates  -> DNSc ,All research doctorates ,DNSc ,2,Doctor of Nursing Science ,2,0.05,2,0.05,10,0.05,0,0.0,2,0.05
2867,r015,All research doctorates  -> ThD ,All research doctorates ,ThD ,2,Doctor of Theology ,16,0.05,14,0.05,23,0.05,11,0.05,11,0.05
2867,r016,All research doctorates  -> DFA ,All research doctorates ,DFA ,2,Doctor of Fine Arts ,0,0.0,2,0.05,4,0.05,3,0.05,2,0.05
2867,r017,"All research doctorates  -> JSD, SJD",All research doctorates ,"JSD, SJD",2,Doctor of Juridical Science ,54,0.1,45,0.1,67,0.1,50,0.1,91,0.2
2867,r018,All research doctorates  -> STD ,All research doctorates ,STD ,2,Doctor of Sacred Theology ,5,0.05,2,0.05,1,0.05,0,0.0,1,0.05
2867,r019,All research doctorates  -> JCD ,All research doctorates ,JCD ,2,Doctor of Canon Law ,1,0.05,2,0.05,6,0.05,2,0.05,1,0.05
2867,r020,All research doctorates  -> All other research doctorates<sup>a</sup>,All research doctorates ,All other research doctorates<sup>a</sup>,2,,0,0.0,1,0.05,0,0.0,0,0.0,0,0.0
