table_id,row_id,_b_state_outlying_area_and_institution_b_full_path,_b_state_outlying_area_and_institution_b_level_1,_b_state_outlying_area_and_institution_b_level_2,_b_state_outlying_area_and_institution_b_level_3,_b_state_outlying_area_and_institution_b_hierarchy_depth,field_all_agencies,field_doe,field_dot,field_hhs,field_nsf
11225,r001,All states and outlying areas,All states and outlying areas,,,1,512849,66,831,157980,353971
11225,r002,All states and outlying areas -> Alabama,All states and outlying areas,Alabama,,2,12913,0,54,12262,597
11225,r003,All states and outlying areas -> Alabama -> Tuskegee U.,All states and outlying areas,Alabama,Tuskegee U.,3,8163,0,54,7932,177
11225,r004,"All states and outlying areas -> Alabama -> U. Alabama, The, Birmingham",All states and outlying areas,Alabama,"U. Alabama, The, Birmingham",3,4750,0,0,4330,420
11225,r005,All states and outlying areas -> Alaska,All states and outlying areas,Alaska,,2,210,0,0,0,210
11225,r006,"All states and outlying areas -> Alaska -> U. Alaska, Fairbanks",All states and outlying areas,Alaska,"U. Alaska, Fairbanks",3,210,0,0,0,210
11225,r007,All states and outlying areas -> Arizona,All states and outlying areas,Arizona,,2,12453,0,0,0,12453
11225,r008,All states and outlying areas -> Arizona -> Arizona State U.,All states and outlying areas,Arizona,Arizona State U.,3,7611,0,0,0,7611
11225,r009,All states and outlying areas -> Arizona -> U. Arizona,All states and outlying areas,Arizona,U. Arizona,3,4842,0,0,0,4842
11225,r010,All states and outlying areas -> Arkansas,All states and outlying areas,Arkansas,,2,18436,0,0,7975,10461
11225,r011,"All states and outlying areas -> Arkansas -> Arkansas State U., Jonesboro",All states and outlying areas,Arkansas,"Arkansas State U., Jonesboro",3,586,0,0,0,586
11225,r012,All states and outlying areas -> Arkansas -> U. Arkansas for Medical Sciences,All states and outlying areas,Arkansas,U. Arkansas for Medical Sciences,3,7975,0,0,7975,0
11225,r013,"All states and outlying areas -> Arkansas -> U. Arkansas, Fayetteville",All states and outlying areas,Arkansas,"U. Arkansas, Fayetteville",3,9875,0,0,0,9875
11225,r014,All states and outlying areas -> California,All states and outlying areas,California,,2,21815,0,97,3870,17849
11225,r015,All states and outlying areas -> California -> California Institute of Technology,All states and outlying areas,California,California Institute of Technology,3,1312,0,0,0,1312
11225,r016,"All states and outlying areas -> California -> California State U., Bakersfield",All states and outlying areas,California,"California State U., Bakersfield",3,520,0,0,0,520
11225,r017,"All states and outlying areas -> California -> California State U., Chico",All states and outlying areas,California,"California State U., Chico",3,582,0,0,0,582
11225,r018,"All states and outlying areas -> California -> California State U., Fresno",All states and outlying areas,California,"California State U., Fresno",3,97,0,97,0,0
11225,r019,"All states and outlying areas -> California -> California State U., Sacramento",All states and outlying areas,California,"California State U., Sacramento",3,203,0,0,0,203
11225,r020,All states and outlying areas -> California -> Santa Clara U.,All states and outlying areas,California,Santa Clara U.,3,332,0,0,0,332
11225,r021,"All states and outlying areas -> California -> Scripps Research Institute, The",All states and outlying areas,California,"Scripps Research Institute, The",3,3870,0,0,3870,0
11225,r022,"All states and outlying areas -> California -> U. California, Berkeley",All states and outlying areas,California,"U. California, Berkeley",3,1642,0,0,0,1642
