table_id,row_id,field_citizenship_ethnicity_and_race_full_path,field_citizenship_ethnicity_and_race_level_1,field_citizenship_ethnicity_and_race_level_2,field_citizenship_ethnicity_and_race_level_3,field_citizenship_ethnicity_and_race_level_4,field_citizenship_ethnicity_and_race_level_5,field_citizenship_ethnicity_and_race_level_6,field_citizenship_ethnicity_and_race_level_7,field_citizenship_ethnicity_and_race_level_8,field_citizenship_ethnicity_and_race_hierarchy_depth,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016
1161,r001,All degrees,All degrees,,,,,,,,1,239418,239892,248971,263478,277170,293301,303802,303230,304556,308283,322313
1161,r002,All degrees -> U.S. citizen and permanent resident,All degrees,U.S. citizen and permanent resident,,,,,,,2,198115,200992,207325,217598,230698,244503,254109,250928,248227,243739,245101
1161,r003,All degrees -> U.S. citizen and permanent resident -> Hispanic or Latino<sup>a</sup>,All degrees,U.S. citizen and permanent resident,Hispanic or Latino<sup>a</sup>,,,,,,3,11730,12406,12741,13988,15239,16644,18045,18937,20197,20943,22444
1161,r004,All degrees -> U.S. citizen and permanent resident -> Non-Hispanic or Latino,All degrees,U.S. citizen and permanent resident,Non-Hispanic or Latino,,,,,,3,186385,188586,194584,203610,215459,227859,236064,231991,228030,222796,222657
1161,r005,All degrees -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> American Indian or Alaska Native,All degrees,U.S. citizen and permanent resident,Non-Hispanic or Latino,American Indian or Alaska Native,,,,,4,1103,1107,1120,1167,1228,1242,1148,1149,1098,1110,1120
1161,r006,All degrees -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Asian,All degrees,U.S. citizen and permanent resident,Non-Hispanic or Latino,Asian,,,,,4,na,na,na,na,na,17132,17840,17702,17341,17207,17760
1161,r007,All degrees -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Asian or Pacific Islander<sup>b</sup>,All degrees,U.S. citizen and permanent resident,Non-Hispanic or Latino,Asian or Pacific Islander<sup>b</sup>,,,,,4,13933,14421,15040,16115,16929,na,na,na,na,na,na
1161,r008,All degrees -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Black or African American,All degrees,U.S. citizen and permanent resident,Non-Hispanic or Latino,Black or African American,,,,,4,14958,15685,16034,17222,19155,20810,22177,23662,23954,23838,24612
1161,r009,All degrees -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All degrees,U.S. citizen and permanent resident,Non-Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,,,,4,na,na,na,na,na,499,572,664,682,598,582
1161,r010,All degrees -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> White,All degrees,U.S. citizen and permanent resident,Non-Hispanic or Latino,White,,,,,4,133554,132933,135927,140823,147710,156536,162150,159196,156602,152703,151605
1161,r011,All degrees -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> More than one race<sup>c</sup>,All degrees,U.S. citizen and permanent resident,Non-Hispanic or Latino,More than one race<sup>c</sup>,,,,,4,na,na,na,na,na,2296,3120,4050,4420,4937,5604
1161,r012,All degrees -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Other or unknown race and ethnicity,All degrees,U.S. citizen and permanent resident,Non-Hispanic or Latino,Other or unknown race and ethnicity,,,,,4,22837,24440,26463,28283,30437,29344,29057,25568,23933,22403,21374
1161,r013,All degrees -> Temporary resident,All degrees,Temporary resident,,,,,,,2,41303,38900,41646,45880,46472,48798,49693,52302,56329,64544,77212
1161,r014,All degrees -> All S&E,All degrees,All S&E,,,,,,,2,66249,65353,68810,73489,76266,82451,87859,90046,92457,99282,110442
1161,r015,All degrees -> All S&E -> U.S. citizen and permanent resident,All degrees,All S&E,U.S. citizen and permanent resident,,,,,,3,45775,46531,47513,49515,52181,56561,61089,62213,62242,61500,62000
1161,r016,All degrees -> All S&E -> U.S. citizen and permanent resident -> Hispanic or Latino<sup>a</sup>,All degrees,All S&E,U.S. citizen and permanent resident,Hispanic or Latino<sup>a</sup>,,,,,4,2595,2721,2852,3030,3353,3946,4382,4770,5081,5384,5713
1161,r017,All degrees -> All S&E -> U.S. citizen and permanent resident -> Non-Hispanic or Latino,All degrees,All S&E,U.S. citizen and permanent resident,Non-Hispanic or Latino,,,,,4,43180,43810,44661,46485,48828,52615,56707,57443,57161,56116,56287
1161,r018,All degrees -> All S&E -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> American Indian or Alaska Native,All degrees,All S&E,U.S. citizen and permanent resident,Non-Hispanic or Latino,American Indian or Alaska Native,,,,5,246,252,235,247,262,278,263,243,245,237,248
1161,r019,All degrees -> All S&E -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Asian,All degrees,All S&E,U.S. citizen and permanent resident,Non-Hispanic or Latino,Asian,,,,5,na,na,na,na,na,5814,5964,6224,6018,6146,6458
1161,r020,All degrees -> All S&E -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Asian or Pacific Islander<sup>b</sup>,All degrees,All S&E,U.S. citizen and permanent resident,Non-Hispanic or Latino,Asian or Pacific Islander<sup>b</sup>,,,,5,4894,5054,5104,5523,5607,na,na,na,na,na,na
1161,r021,All degrees -> All S&E -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Black or African American,All degrees,All S&E,U.S. citizen and permanent resident,Non-Hispanic or Latino,Black or African American,,,,5,2873,3007,3072,3173,3588,3863,4204,4607,4803,4824,4904
1161,r022,All degrees -> All S&E -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All degrees,All S&E,U.S. citizen and permanent resident,Non-Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,,,5,na,na,na,na,na,114,111,123,133,131,108
1161,r023,All degrees -> All S&E -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> White,All degrees,All S&E,U.S. citizen and permanent resident,Non-Hispanic or Latino,White,,,,5,30395,30656,30906,31666,32887,35935,39180,39221,39047,38501,38081
1161,r024,All degrees -> All S&E -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> More than one race<sup>c</sup>,All degrees,All S&E,U.S. citizen and permanent resident,Non-Hispanic or Latino,More than one race<sup>c</sup>,,,,5,na,na,na,na,na,653,919,1210,1362,1464,1706
1161,r025,All degrees -> All S&E -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Other or unknown race and ethnicity,All degrees,All S&E,U.S. citizen and permanent resident,Non-Hispanic or Latino,Other or unknown race and ethnicity,,,,5,4772,4841,5344,5876,6484,5958,6066,5815,5553,4813,4782
1161,r026,All degrees -> All S&E -> Temporary resident,All degrees,All S&E,Temporary resident,,,,,,3,20474,18822,21297,23974,24085,25890,26770,27833,30215,37782,48442
1161,r027,All degrees -> All S&E -> Science,All degrees,All S&E,Science,,,,,,3,41465,41396,43270,45218,47054,50508,54583,56955,58083,62357,69065
1161,r028,All degrees -> All S&E -> Science -> U.S. citizen and permanent resident,All degrees,All S&E,Science,U.S. citizen and permanent resident,,,,,4,31156,31504,32255,33238,35127,37928,41025,42416,42457,42538,43150
1161,r029,All degrees -> All S&E -> Science -> U.S. citizen and permanent resident -> Hispanic or Latino<sup>a</sup>,All degrees,All S&E,Science,U.S. citizen and permanent resident,Hispanic or Latino<sup>a</sup>,,,,5,1782,1827,1957,2073,2272,2668,2917,3233,3447,3649,4072
1161,r030,All degrees -> All S&E -> Science -> U.S. citizen and permanent resident -> Non-Hispanic or Latino,All degrees,All S&E,Science,U.S. citizen and permanent resident,Non-Hispanic or Latino,,,,5,29374,29677,30298,31165,32855,35260,38108,39183,39010,38889,39078
1161,r031,All degrees -> All S&E -> Science -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> American Indian or Alaska Native,All degrees,All S&E,Science,U.S. citizen and permanent resident,Non-Hispanic or Latino,American Indian or Alaska Native,,,6,179,199,173,177,201,215,200,187,201,196,189
1161,r032,All degrees -> All S&E -> Science -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Asian,All degrees,All S&E,Science,U.S. citizen and permanent resident,Non-Hispanic or Latino,Asian,,,6,na,na,na,na,na,3031,3188,3426,3449,3700,3932
1161,r033,All degrees -> All S&E -> Science -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Asian or Pacific Islander<sup>b</sup>,All degrees,All S&E,Science,U.S. citizen and permanent resident,Non-Hispanic or Latino,Asian or Pacific Islander<sup>b</sup>,,,6,2654,2695,2635,2663,2876,na,na,na,na,na,na
1161,r034,All degrees -> All S&E -> Science -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Black or African American,All degrees,All S&E,Science,U.S. citizen and permanent resident,Non-Hispanic or Latino,Black or African American,,,6,2269,2383,2390,2506,2824,3047,3336,3701,3913,3871,3992
1161,r035,All degrees -> All S&E -> Science -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All degrees,All S&E,Science,U.S. citizen and permanent resident,Non-Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,,6,na,na,na,na,na,98,82,97,105,104,88
1161,r036,All degrees -> All S&E -> Science -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> White,All degrees,All S&E,Science,U.S. citizen and permanent resident,Non-Hispanic or Latino,White,,,6,20769,20959,21205,21639,22377,24154,26190,26787,26581,26513,26254
1161,r037,All degrees -> All S&E -> Science -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> More than one race<sup>c</sup>,All degrees,All S&E,Science,U.S. citizen and permanent resident,Non-Hispanic or Latino,More than one race<sup>c</sup>,,,6,na,na,na,na,na,418,652,835,941,1043,1181
1161,r038,All degrees -> All S&E -> Science -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Other or unknown race and ethnicity,All degrees,All S&E,Science,U.S. citizen and permanent resident,Non-Hispanic or Latino,Other or unknown race and ethnicity,,,6,3503,3441,3895,4180,4577,4297,4460,4150,3820,3462,3442
1161,r039,All degrees -> All S&E -> Science -> Temporary resident,All degrees,All S&E,Science,Temporary resident,,,,,4,10309,9892,11015,11980,11927,12580,13558,14539,15626,19819,25915
1161,r040,All degrees -> All S&E -> Science -> Agricultural sciences,All degrees,All S&E,Science,Agricultural sciences,,,,,4,1947,1859,1872,2031,2237,2399,2690,2584,2622,2564,2603
1161,r041,All degrees -> All S&E -> Science -> Agricultural sciences -> U.S. citizen and permanent resident,All degrees,All S&E,Science,Agricultural sciences,U.S. citizen and permanent resident,,,,5,1639,1587,1595,1752,1970,2077,2375,2249,2273,2215,2229
1161,r042,All degrees -> All S&E -> Science -> Agricultural sciences -> U.S. citizen and permanent resident -> Hispanic or Latino<sup>a</sup>,All degrees,All S&E,Science,Agricultural sciences,U.S. citizen and permanent resident,Hispanic or Latino<sup>a</sup>,,,6,76,73,68,83,105,117,125,115,115,122,161
1161,r043,All degrees -> All S&E -> Science -> Agricultural sciences -> U.S. citizen and permanent resident -> Non-Hispanic or Latino,All degrees,All S&E,Science,Agricultural sciences,U.S. citizen and permanent resident,Non-Hispanic or Latino,,,6,1563,1514,1527,1669,1865,1960,2250,2134,2158,2093,2068
1161,r044,All degrees -> All S&E -> Science -> Agricultural sciences -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> American Indian or Alaska Native,All degrees,All S&E,Science,Agricultural sciences,U.S. citizen and permanent resident,Non-Hispanic or Latino,American Indian or Alaska Native,,7,18,11,11,10,18,13,17,10,12,14,15
1161,r045,All degrees -> All S&E -> Science -> Agricultural sciences -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Asian ,All degrees,All S&E,Science,Agricultural sciences,U.S. citizen and permanent resident,Non-Hispanic or Latino,Asian ,,7,na,na,na,na,na,77,81,64,76,63,56
1161,r046,All degrees -> All S&E -> Science -> Agricultural sciences -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Asian or Pacific Islander<sup>b</sup>,All degrees,All S&E,Science,Agricultural sciences,U.S. citizen and permanent resident,Non-Hispanic or Latino,Asian or Pacific Islander<sup>b</sup>,,7,33,51,42,50,65,na,na,na,na,na,na
1161,r047,All degrees -> All S&E -> Science -> Agricultural sciences -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Black or African American,All degrees,All S&E,Science,Agricultural sciences,U.S. citizen and permanent resident,Non-Hispanic or Latino,Black or African American,,7,35,36,36,50,55,77,67,73,79,87,80
1161,r048,All degrees -> All S&E -> Science -> Agricultural sciences -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All degrees,All S&E,Science,Agricultural sciences,U.S. citizen and permanent resident,Non-Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,7,na,na,na,na,na,2,5,6,3,4,0
1161,r049,All degrees -> All S&E -> Science -> Agricultural sciences -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> White,All degrees,All S&E,Science,Agricultural sciences,U.S. citizen and permanent resident,Non-Hispanic or Latino,White,,7,1368,1294,1342,1462,1548,1643,1868,1800,1789,1742,1745
1161,r050,All degrees -> All S&E -> Science -> Agricultural sciences -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> More than one race<sup>c</sup>,All degrees,All S&E,Science,Agricultural sciences,U.S. citizen and permanent resident,Non-Hispanic or Latino,More than one race<sup>c</sup>,,7,na,na,na,na,na,19,36,40,55,55,42
1161,r051,All degrees -> All S&E -> Science -> Agricultural sciences -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Other or unknown race and ethnicity,All degrees,All S&E,Science,Agricultural sciences,U.S. citizen and permanent resident,Non-Hispanic or Latino,Other or unknown race and ethnicity,,7,109,122,96,97,179,129,176,141,144,128,130
1161,r052,All degrees -> All S&E -> Science -> Agricultural sciences -> Temporary resident,All degrees,All S&E,Science,Agricultural sciences,Temporary resident,,,,5,308,272,277,279,267,322,315,335,349,349,374
1161,r053,All degrees -> All S&E -> Science -> Biological sciences,All degrees,All S&E,Science,Biological sciences,,,,,4,3612,3541,3954,4146,4485,4782,5235,5625,5913,6044,6510
1161,r054,All degrees -> All S&E -> Science -> Biological sciences -> U.S. citizen and permanent resident,All degrees,All S&E,Science,Biological sciences,U.S. citizen and permanent resident,,,,5,3130,3024,3381,3446,3741,3990,4341,4777,5040,5179,5606
1161,r055,All degrees -> All S&E -> Science -> Biological sciences -> U.S. citizen and permanent resident -> Hispanic or Latino<sup>a</sup>,All degrees,All S&E,Science,Biological sciences,U.S. citizen and permanent resident,Hispanic or Latino<sup>a</sup>,,,6,168,140,177,187,200,226,263,312,369,374,510
1161,r056,All degrees -> All S&E -> Science -> Biological sciences -> U.S. citizen and permanent resident -> Non-Hispanic or Latino,All degrees,All S&E,Science,Biological sciences,U.S. citizen and permanent resident,Non-Hispanic or Latino,,,6,2962,2884,3204,3259,3541,3764,4078,4465,4671,4805,5096
1161,r057,All degrees -> All S&E -> Science -> Biological sciences -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> American Indian or Alaska Native,All degrees,All S&E,Science,Biological sciences,U.S. citizen and permanent resident,Non-Hispanic or Latino,American Indian or Alaska Native,,7,16,18,28,16,24,18,16,18,21,21,12
1161,r058,All degrees -> All S&E -> Science -> Biological sciences -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Asian ,All degrees,All S&E,Science,Biological sciences,U.S. citizen and permanent resident,Non-Hispanic or Latino,Asian ,,7,na,na,na,na,na,569,621,694,717,796,791
1161,r059,All degrees -> All S&E -> Science -> Biological sciences -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Asian or Pacific Islander<sup>b</sup>,All degrees,All S&E,Science,Biological sciences,U.S. citizen and permanent resident,Non-Hispanic or Latino,Asian or Pacific Islander<sup>b</sup>,,7,342,342,416,460,562,na,na,na,na,na,na
1161,r060,All degrees -> All S&E -> Science -> Biological sciences -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Black or African American,All degrees,All S&E,Science,Biological sciences,U.S. citizen and permanent resident,Non-Hispanic or Latino,Black or African American,,7,127,122,154,143,160,210,211,225,265,275,307
1161,r061,All degrees -> All S&E -> Science -> Biological sciences -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All degrees,All S&E,Science,Biological sciences,U.S. citizen and permanent resident,Non-Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,7,na,na,na,na,na,10,9,11,10,12,7
1161,r062,All degrees -> All S&E -> Science -> Biological sciences -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> White,All degrees,All S&E,Science,Biological sciences,U.S. citizen and permanent resident,Non-Hispanic or Latino,White,,7,2231,2133,2240,2249,2381,2516,2809,3077,3182,3195,3432
1161,r063,All degrees -> All S&E -> Science -> Biological sciences -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> More than one race<sup>c</sup>,All degrees,All S&E,Science,Biological sciences,U.S. citizen and permanent resident,Non-Hispanic or Latino,More than one race<sup>c</sup>,,7,na,na,na,na,na,54,66,115,133,146,166
1161,r064,All degrees -> All S&E -> Science -> Biological sciences -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Other or unknown race and ethnicity,All degrees,All S&E,Science,Biological sciences,U.S. citizen and permanent resident,Non-Hispanic or Latino,Other or unknown race and ethnicity,,7,246,269,366,391,414,387,346,325,343,360,381
1161,r065,All degrees -> All S&E -> Science -> Biological sciences -> Temporary resident,All degrees,All S&E,Science,Biological sciences,Temporary resident,,,,5,482,517,573,700,744,792,894,848,873,865,904
1161,r066,All degrees -> All S&E -> Science -> Computer sciences,All degrees,All S&E,Science,Computer sciences,,,,,4,12520,12038,12555,13119,13058,14011,15172,16570,17547,21945,27839
1161,r067,All degrees -> All S&E -> Science -> Computer sciences -> U.S. citizen and permanent resident,All degrees,All S&E,Science,Computer sciences,U.S. citizen and permanent resident,,,,5,7727,7517,7212,7195,7413,7858,8585,9422,9741,10168,10646
1161,r068,All degrees -> All S&E -> Science -> Computer sciences -> U.S. citizen and permanent resident -> Hispanic or Latino<sup>a</sup>,All degrees,All S&E,Science,Computer sciences,U.S. citizen and permanent resident,Hispanic or Latino<sup>a</sup>,,,6,358,368,355,353,492,481,585,626,685,783,826
1161,r069,All degrees -> All S&E -> Science -> Computer sciences -> U.S. citizen and permanent resident -> Non-Hispanic or Latino,All degrees,All S&E,Science,Computer sciences,U.S. citizen and permanent resident,Non-Hispanic or Latino,,,6,7369,7149,6857,6842,6921,7377,8000,8796,9056,9385,9820
1161,r070,All degrees -> All S&E -> Science -> Computer sciences -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> American Indian or Alaska Native,All degrees,All S&E,Science,Computer sciences,U.S. citizen and permanent resident,Non-Hispanic or Latino,American Indian or Alaska Native,,7,42,34,35,24,35,37,34,31,34,40,37
1161,r071,All degrees -> All S&E -> Science -> Computer sciences -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Asian ,All degrees,All S&E,Science,Computer sciences,U.S. citizen and permanent resident,Non-Hispanic or Latino,Asian ,,7,na,na,na,na,na,1071,1068,1223,1259,1427,1750
1161,r072,All degrees -> All S&E -> Science -> Computer sciences -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Asian or Pacific Islander<sup>b</sup>,All degrees,All S&E,Science,Computer sciences,U.S. citizen and permanent resident,Non-Hispanic or Latino,Asian or Pacific Islander<sup>b</sup>,,7,1216,1212,1090,1010,1001,na,na,na,na,na,na
1161,r073,All degrees -> All S&E -> Science -> Computer sciences -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Black or African American,All degrees,All S&E,Science,Computer sciences,U.S. citizen and permanent resident,Non-Hispanic or Latino,Black or African American,,7,499,553,565,564,648,730,840,1087,1137,1215,1262
1161,r074,All degrees -> All S&E -> Science -> Computer sciences -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All degrees,All S&E,Science,Computer sciences,U.S. citizen and permanent resident,Non-Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,7,na,na,na,na,na,21,10,20,24,25,25
1161,r075,All degrees -> All S&E -> Science -> Computer sciences -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> White,All degrees,All S&E,Science,Computer sciences,U.S. citizen and permanent resident,Non-Hispanic or Latino,White,,7,4495,4322,4062,4022,4053,4301,4750,5155,5238,5488,5546
1161,r076,All degrees -> All S&E -> Science -> Computer sciences -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> More than one race<sup>c</sup>,All degrees,All S&E,Science,Computer sciences,U.S. citizen and permanent resident,Non-Hispanic or Latino,More than one race<sup>c</sup>,,7,na,na,na,na,na,70,133,154,207,236,274
1161,r077,All degrees -> All S&E -> Science -> Computer sciences -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Other or unknown race and ethnicity,All degrees,All S&E,Science,Computer sciences,U.S. citizen and permanent resident,Non-Hispanic or Latino,Other or unknown race and ethnicity,,7,1117,1028,1105,1222,1184,1147,1165,1126,1157,954,926
1161,r078,All degrees -> All S&E -> Science -> Computer sciences -> Temporary resident,All degrees,All S&E,Science,Computer sciences,Temporary resident,,,,5,4793,4521,5343,5924,5645,6153,6587,7148,7806,11777,17193
1161,r079,"All degrees -> All S&E -> Science -> Earth, atmospheric, and ocean sciences",All degrees,All S&E,Science,"Earth, atmospheric, and ocean sciences",,,,,4,923,891,847,848,888,994,1174,1178,1281,1257,1210
1161,r080,"All degrees -> All S&E -> Science -> Earth, atmospheric, and ocean sciences -> U.S. citizen and permanent resident",All degrees,All S&E,Science,"Earth, atmospheric, and ocean sciences",U.S. citizen and permanent resident,,,,5,767,756,735,701,747,874,982,1000,1067,1049,989
1161,r081,"All degrees -> All S&E -> Science -> Earth, atmospheric, and ocean sciences -> U.S. citizen and permanent resident -> Hispanic or Latino<sup>a</sup>",All degrees,All S&E,Science,"Earth, atmospheric, and ocean sciences",U.S. citizen and permanent resident,Hispanic or Latino<sup>a</sup>,,,6,24,18,26,19,20,42,46,43,54,47,56
