table_id,row_id,field_of_study_full_path,field_of_study_level_1,field_of_study_level_2,field_of_study_level_3,field_of_study_hierarchy_depth,field_all_u_s_citizen_and_permanent_resident_doctorate_recipients_number_,field_total,field_u_s_citizen_or_permanent_resident_hispanic_or_latino,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_american_indian_or_alaska_native,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_asian,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_black_or_african_american,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_white,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_more_than_one_race,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_other_race_or_race_not_reported,field_u_s_citizen_or_permanent_resident_ethnicity_not_reported
1757,r001,All fields,All fields,,,1,35404,100.0,7.3,0.3,9.3,6.9,70.5,3.1,1.0,1.5
1757,r002,All fields -> Life sciences,All fields,Life sciences,,2,9041,100.0,7.3,0.2,11.0,6.5,69.4,3.2,1.2,1.2
1757,r003,All fields -> Life sciences -> Agricultural sciences and natural resources,All fields,Life sciences,Agricultural sciences and natural resources,3,793,100.0,6.3,0.1,5.5,5.7,76.7,3.0,0.9,1.8
1757,r004,All fields -> Life sciences -> Biological and biomedical sciences,All fields,Life sciences,Biological and biomedical sciences,3,6406,100.0,7.8,0.2,12.1,4.8,69.6,3.3,1.2,1.0
1757,r005,All fields -> Life sciences -> Health sciences,All fields,Life sciences,Health sciences,3,1842,100.0,6.2,0.5,9.5,12.8,65.6,2.8,1.1,1.6
1757,r006,All fields -> Physical sciences and earth sciences,All fields,Physical sciences and earth sciences,,2,3771,100.0,5.9,0.2,9.4,2.7,77.1,2.7,0.7,1.3
1757,r007,All fields -> Physical sciences and earth sciences -> Chemistry,All fields,Physical sciences and earth sciences,Chemistry,3,1711,100.0,6.2,0.2,10.3,4.5,74.1,2.5,0.7,1.5
1757,r008,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",3,760,100.0,6.4,0.4,5.5,1.4,81.2,3.6,0.5,0.9
1757,r009,All fields -> Physical sciences and earth sciences -> Physics and astronomy,All fields,Physical sciences and earth sciences,Physics and astronomy,3,1300,100.0,5.1,0.2,10.6,1.2,78.5,2.5,0.8,1.2
1757,r010,All fields -> Mathematics and computer sciences,All fields,Mathematics and computer sciences,,2,1739,100.0,5.4,0.2,13.3,3.7,70.9,3.3,1.3,1.9
