table_id,row_id,_b_field_of_study_b_full_path,_b_field_of_study_b_level_1,_b_field_of_study_b_level_2,_b_field_of_study_b_level_3,_b_field_of_study_b_level_4,_b_field_of_study_b_hierarchy_depth,field_totala_male,field_totala_female,field_employment_total,field_employment_male,field_employment_female,field_postdoctoral_study_total,field_postdoctoral_study_male,field_postdoctoral_study_female
4685,r001,All fields,All fields,,,,1,70000,60000,85000,100000,75000,51000,52000,50004
4685,r002,All fields -> Science and engineering,All fields,Science and engineering,,,2,71000,60000,97000,105000,85000,51000,52000,50004
4685,r003,All fields -> Science and engineering -> Life sciences,All fields,Science and engineering,Life sciences,,3,55000,55000,85000,89000,83000,50004,50004,50004
4685,r004,All fields -> Science and engineering -> Life sciences -> Agricultural sciences and natural resources,All fields,Science and engineering,Life sciences,Agricultural sciences and natural resources,4,60000,55000,75990,80000,71000,50000,50000,50000
4685,r005,All fields -> Science and engineering -> Life sciences -> Biological and biomedical sciences,All fields,Science and engineering,Life sciences,Biological and biomedical sciences,4,52704,52704,86000,90000,83500,50004,50004,50004
4685,r006,All fields -> Science and engineering -> Life sciences -> Health sciences,All fields,Science and engineering,Life sciences,Health sciences,4,68000,70000,88000,90000,87000,51000,50004,51500
4685,r007,All fields -> Science and engineering -> Physical sciences and earth sciences,All fields,Science and engineering,Physical sciences and earth sciences,,3,63000,62000,100000,105000,85000,54000,54000,53000
4685,r008,All fields -> Science and engineering -> Physical sciences and earth sciences -> Chemistry,All fields,Science and engineering,Physical sciences and earth sciences,Chemistry,4,55000,62000,92000,98000,90000,50004,50003,50004
4685,r009,"All fields -> Science and engineering -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences",All fields,Science and engineering,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",4,62000,60000,80000,97000,70000,56000,57000,55000
4685,r010,All fields -> Science and engineering -> Physical sciences and earth sciences -> Physics and astronomy,All fields,Science and engineering,Physical sciences and earth sciences,Physics and astronomy,4,70000,68000,115000,115000,111690,60000,60000,60000
4685,r011,All fields -> Science and engineering -> Mathematics and computer sciences,All fields,Science and engineering,Mathematics and computer sciences,,3,105000,95000,125000,130000,120000,61200,61900,60000
4685,r012,All fields -> Science and engineering -> Psychology and social sciences ,All fields,Science and engineering,Psychology and social sciences ,,3,63900,55000,72000,80000,70000,50000,50004,50000
4685,r013,All fields -> Science and engineering -> Psychology and social sciences  -> Psychology,All fields,Science and engineering,Psychology and social sciences ,Psychology,4,52000,51000,68000,72000,67000,50000,50000,50000
4685,r014,All fields -> Science and engineering -> Psychology and social sciences  -> Economics,All fields,Science and engineering,Psychology and social sciences ,Economics,4,108000,110000,120000,120000,120000,67500,68750,67500
4685,r015,All fields -> Science and engineering -> Psychology and social sciences  -> Social sciences<sup>b</sup>,All fields,Science and engineering,Psychology and social sciences ,Social sciences<sup>b</sup>,4,62000,60000,67250,70000,65000,53460,55000,53000
4685,r016,All fields -> Science and engineering -> Engineering,All fields,Science and engineering,Engineering,,3,90000,85000,110000,112000,105000,52701,53000,52000
4685,r017,All fields -> Non-science and engineering,All fields,Non-science and engineering,,,2,65000,64000,68000,70000,67000,50002,50000,50760
4685,r018,All fields -> Non-science and engineering -> Education,All fields,Non-science and engineering,Education,,3,71000,65000,70000,75000,70000,50760,50004,50760
4685,r019,All fields -> Non-science and engineering -> Humanities and arts,All fields,Non-science and engineering,Humanities and arts,,3,52000,53750,55000,54500,55000,50000,50000,50000
4685,r020,All fields -> Non-science and engineering -> Business management and administration,All fields,Non-science and engineering,Business management and administration,,3,130000,130000,130000,130000,131000,68500,67500,68500
4685,r021,All fields -> Non-science and engineering -> Other non-S&E fields<sup>c</sup>,All fields,Non-science and engineering,Other non-S&E fields<sup>c</sup>,,3,67000,66275,70000,72000,70000,52000,55000,52000
