table_id,row_id,time_period,broad_field_level_1,broad_field_level_2,broad_field_hierarchy_depth,value
7821,r015_5,,Minor field,Label,2,Biological sciences
7821,r015_6,,Detailed field,Code,2,226310
7821,r015_7,,Detailed field,Label,2,Biochemistry and biophysics
7821,r016_6,,Detailed field,Code,2,226320
7821,r016_7,,Detailed field,Label,2,"Biology, general"
7821,r017_6,,Detailed field,Code,2,226330
7821,r017_7,,Detailed field,Label,2,Botany
7821,r018_6,,Detailed field,Code,2,226340
7821,r018_7,,Detailed field,Label,2,Cell and molecular biology
7821,r019_6,,Detailed field,Code,2,226350
7821,r019_7,,Detailed field,Label,2,Ecology
7821,r020_6,,Detailed field,Code,2,226360
7821,r020_7,,Detailed field,Label,2,"Genetics, animal and plant"
7821,r021_6,,Detailed field,Code,2,226370
7821,r021_7,,Detailed field,Label,2,Microbiological sciences and immunology
7821,r022_6,,Detailed field,Code,2,226380
7821,r022_7,,Detailed field,Label,2,Nutritional sciences
7821,r023_6,,Detailed field,Code,2,226390
7821,r023_7,,Detailed field,Label,2,"Pharmacology, human and animal"
7821,r024_6,,Detailed field,Code,2,226400
7821,r024_7,,Detailed field,Label,2,"Physiology and pathology, human and animal"
7821,r025_6,,Detailed field,Code,2,226410
7821,r025_7,,Detailed field,Label,2,"Zoology, general"
7821,r026_6,,Detailed field,Code,2,226420
7821,r026_7,,Detailed field,Label,2,Other biological sciences
7821,r027_4,,Minor field,Code,2,23
7821,r027_5,,Minor field,Label,2,Environmental life sciences
7821,r027_6,,Detailed field,Code,2,236800
7821,r027_7,,Detailed field,Label,2,Environmental science or studies
7821,r028_6,,Detailed field,Code,2,236810
7821,r028_7,,Detailed field,Label,2,Forestry sciences
7821,r029_2,,Major field,Code,2,3
7821,r029_3,,Major field,Label,2,Physical and related sciences
7821,r029_4,,Minor field,Code,2,31
7821,r029_5,,Minor field,Label,2,"Chemistry, except biochemistry"
7821,r029_6,,Detailed field,Code,2,318730
7821,r029_7,,Detailed field,Label,2,"Chemistry, except biochemistry"
7821,r030_4,,Minor field,Code,2,32
7821,r030_5,,Minor field,Label,2,"Earth, atmospheric, and ocean sciences"
7821,r030_6,,Detailed field,Code,2,328720
7821,r030_7,,Detailed field,Label,2,Atmospheric sciences and meteorology
7821,r031_6,,Detailed field,Code,2,328740
7821,r031_7,,Detailed field,Label,2,Earth sciences
7821,r032_6,,Detailed field,Code,2,328750
7821,r032_7,,Detailed field,Label,2,Geology
7821,r033_6,,Detailed field,Code,2,328760
7821,r033_7,,Detailed field,Label,2,"Geological sciences, other (including oceanography)a"
7821,r034_4,,Minor field,Code,2,33
7821,r034_5,,Minor field,Label,2,Physics and astronomy
7821,r034_6,,Detailed field,Code,2,338710
7821,r034_7,,Detailed field,Label,2,Astronomy and astrophysics
7821,r035_6,,Detailed field,Code,2,338780
7821,r035_7,,Detailed field,Label,2,Physics
7821,r036_4,,Minor field,Code,2,34
7821,r036_5,,Minor field,Label,2,Other physical sciences
7821,r036_6,,Detailed field,Code,2,348790
7821,r036_7,,Detailed field,Label,2,Other physical sciences
7821,r037_2,,Major field,Code,2,4
7821,r037_3,,Major field,Label,2,Social and related sciences
7821,r037_4,,Minor field,Code,2,41
7821,r037_5,,Minor field,Label,2,Economics
7821,r037_6,,Detailed field,Code,2,416010
7821,r037_7,,Detailed field,Label,2,Agricultural economics
7821,r038_6,,Detailed field,Code,2,419230
7821,r038_7,,Detailed field,Label,2,Economics
7821,r039_4,,Minor field,Code,2,42
7821,r039_5,,Minor field,Label,2,Political and related sciences
7821,r039_6,,Detailed field,Code,2,429020
7821,r039_7,,Detailed field,Label,2,Public policy studies
