table_id,row_id,core_based_statistical_area_cbsa_full_path,core_based_statistical_area_cbsa_level_1,core_based_statistical_area_cbsa_level_2,core_based_statistical_area_cbsa_hierarchy_depth,field_cbsa_code,field_total,field_paid_for_by_the_company,field_paid_for_by_others
9653,r001,All locations,All locations,,1,"['&nbsp;', '&nbsp;']","['    602,499 ', '&nbsp;']","['    527,804 ', '&nbsp;']","['    74,695 ', '&nbsp;']"
9653,r002,"All locations -> San Jose-Sunnyvale-Santa Clara, CA",All locations,"San Jose-Sunnyvale-Santa Clara, CA",2,"['41940', '&nbsp;']","['    90,418 ', '&nbsp;']","['    86,522 ', '&nbsp;']","['    3,896 ', '&nbsp;']"
9653,r003,"All locations -> San Francisco-Oakland-Hayward, CA",All locations,"San Francisco-Oakland-Hayward, CA",2,"['41860', '&nbsp;']","['    71,969 ', '&nbsp;']","['    70,114 ', '&nbsp;']","['    1,855 ', '&nbsp;']"
9653,r004,"All locations -> Seattle-Tacoma-Bellevue, WA",All locations,"Seattle-Tacoma-Bellevue, WA",2,"['42660', '&nbsp;']","['    47,360 ', '&nbsp;']","['    46,029 ', '&nbsp;']","['    1,331 ', '&nbsp;']"
9653,r005,"All locations -> New York-Newark-Jersey City, NY-NJ-PA",All locations,"New York-Newark-Jersey City, NY-NJ-PA",2,"['35620', '&nbsp;']","['    40,089 ', '&nbsp;']","['    35,657 ', '&nbsp;']","['    4,432 ', '&nbsp;']"
9653,r006,"All locations -> Boston-Cambridge-Newton, MA-NH",All locations,"Boston-Cambridge-Newton, MA-NH",2,"['14460', '&nbsp;']","['    36,881 ', '&nbsp;']","['    31,435 ', '&nbsp;']","['    5,446 ', '&nbsp;']"
9653,r007,"All locations -> San Diego-Carlsbad, CA",All locations,"San Diego-Carlsbad, CA",2,"['41740', '&nbsp;']","['    19,403 ', 'i']","['    16,898 ', 'i']","['    2,505 ', 'i']"
9653,r008,"All locations -> Los Angeles-Long Beach-Anaheim, CA",All locations,"Los Angeles-Long Beach-Anaheim, CA",2,"['31080', '&nbsp;']","['    18,844 ', '&nbsp;']","['    15,646 ', '&nbsp;']","['    3,198 ', '&nbsp;']"
9653,r009,"All locations -> Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",All locations,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2,"['37980', '&nbsp;']","['    17,302 ', '&nbsp;']","['    13,187 ', '&nbsp;']","['    4,115 ', 'i']"
9653,r010,"All locations -> Detroit-Warren-Dearborn, MI",All locations,"Detroit-Warren-Dearborn, MI",2,"['19820', '&nbsp;']","['    17,103 ', '&nbsp;']","['    15,133 ', '&nbsp;']","['    1,970 ', '&nbsp;']"
