table_id,row_id,type_of_institution_full_path,type_of_institution_level_1,type_of_institution_level_2,type_of_institution_level_3,type_of_institution_hierarchy_depth,field_all_sources,field_government_federal,field_government_state_and_local,field_institutional_funds_and_other_sourcesa
3042,r001,All institutions,All institutions,,,1,5483.4,73.7,971.8,4437.9
3042,r002,All institutions -> Doctorate granting,All institutions,Doctorate granting,,2,5241.4,41.0,912.0,4288.4
3042,r003,All institutions -> Doctorate granting -> Public,All institutions,Doctorate granting,Public,3,3077.5,30.1,739.0,2308.3
3042,r004,All institutions -> Doctorate granting -> Private,All institutions,Doctorate granting,Private,3,2163.9,10.8,173.0,1980.1
3042,r005,All institutions -> Nondoctorate granting,All institutions,Nondoctorate granting,,2,242.0,32.7,59.8,149.5
