table_id,row_id,state_full_path,state_level_1,state_level_2,state_hierarchy_depth,field_total,field_paid_for_by_the_company,field_paid_for_by_others_total,field_paid_for_by_others_federal,field_paid_for_by_others_nonfederal
723,r001,All states,All states,,1,"['355,821', '&nbsp;']","['296,677', '&nbsp;']","['59,144', '&nbsp;']","['26,990', '&nbsp;']","['32,154', '&nbsp;']"
723,r002,All states -> Alabama,All states,Alabama,2,"['1,561', '&nbsp;']","['875', '&nbsp;']","['686', '&nbsp;']","['551', '&nbsp;']","['135', '&nbsp;']"
723,r003,All states -> Alaska,All states,Alaska,2,"['66', 'e']","['32', 'e']","['34', '&nbsp;']","['8', 'e']","['26', '&nbsp;']"
723,r004,All states -> Arizona,All states,Arizona,2,"['5,515', '&nbsp;']","['4,450', '&nbsp;']","['1,065', '&nbsp;']","['461', '&nbsp;']","['604', '&nbsp;']"
723,r005,All states -> Arkansas,All states,Arkansas,2,"['302', '&nbsp;']","['271', '&nbsp;']","['32', 'e']","['6', 'e']","['26', 'e']"
723,r006,All states -> California,All states,California,2,"['107,982', '&nbsp;']","['95,020', '&nbsp;']","['12,962', '&nbsp;']","['6,957', 'i']","['6,004', '&nbsp;']"
723,r007,All states -> Colorado,All states,Colorado,2,"['4,362', '&nbsp;']","['3,665', '&nbsp;']","['698', '&nbsp;']","['461', '&nbsp;']","['236', '&nbsp;']"
723,r008,All states -> Connecticut,All states,Connecticut,2,"['8,533', '&nbsp;']","['6,441', '&nbsp;']","['2,092', '&nbsp;']","['1,793', '&nbsp;']","['299', 'i']"
723,r009,All states -> Delaware,All states,Delaware,2,"['2,681', '&nbsp;']","['2,049', '&nbsp;']","['632', '&nbsp;']","['11', 'e']","['621', '&nbsp;']"
723,r010,All states -> District of Columbia,All states,District of Columbia,2,"['299', '&nbsp;']","['198', '&nbsp;']","['101', '&nbsp;']","['83', '&nbsp;']","['18', '&nbsp;']"
723,r011,All states -> Florida,All states,Florida,2,"['5,816', '&nbsp;']","['3,788', '&nbsp;']","['2,028', 'i']","['1,373', 'i']","['655', '&nbsp;']"
723,r012,All states -> Georgia,All states,Georgia,2,"['4,614', '&nbsp;']","['3,821', '&nbsp;']","['793', 'i']","['183', 'i']","['610', 'i']"
723,r013,All states -> Hawaii,All states,Hawaii,2,"['186', '&nbsp;']","['123', 'i']","['63', '&nbsp;']","['17', '&nbsp;']","['47', '&nbsp;']"
723,r014,All states -> Idaho,All states,Idaho,2,"['1,554', '&nbsp;']","['1,304', '&nbsp;']","['251', '&nbsp;']","['6', 'e']","['244', '&nbsp;']"
723,r015,All states -> Illinois,All states,Illinois,2,"['12,710', '&nbsp;']","['11,467', '&nbsp;']","['1,242', '&nbsp;']","['187', '&nbsp;']","['1,056', '&nbsp;']"
723,r016,All states -> Indiana,All states,Indiana,2,"['6,252', '&nbsp;']","['5,346', '&nbsp;']","['906', '&nbsp;']","['76', '&nbsp;']","['830', '&nbsp;']"
723,r017,All states -> Iowa,All states,Iowa,2,"['2,539', '&nbsp;']","['1,916', '&nbsp;']","['623', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
723,r018,All states -> Kansas,All states,Kansas,2,"['2,126', '&nbsp;']","['1,515', '&nbsp;']","['612', '&nbsp;']","['23', 'i']","['588', '&nbsp;']"
723,r019,All states -> Kentucky,All states,Kentucky,2,"['1,292', '&nbsp;']","['763', '&nbsp;']","['529', '&nbsp;']","['471', '&nbsp;']","['58', 'i']"
723,r020,All states -> Louisiana,All states,Louisiana,2,"['400', 'i']","['325', '&nbsp;']","['75', 'e']","['40', 'i']","['35', 'e']"
723,r021,All states -> Maine,All states,Maine,2,"['298', '&nbsp;']","['259', '&nbsp;']","['39', '&nbsp;']","['26', '&nbsp;']","['13', 'e']"
723,r022,All states -> Maryland,All states,Maryland,2,"['5,136', '&nbsp;']","['2,825', '&nbsp;']","['2,310', '&nbsp;']","['1,793', '&nbsp;']","['517', '&nbsp;']"
723,r023,All states -> Massachusetts,All states,Massachusetts,2,"['21,484', '&nbsp;']","['17,719', '&nbsp;']","['3,765', '&nbsp;']","['865', '&nbsp;']","['2,899', '&nbsp;']"
723,r024,All states -> Michigan,All states,Michigan,2,"['17,136', '&nbsp;']","['15,620', '&nbsp;']","['1,516', '&nbsp;']","['283', '&nbsp;']","['1,233', '&nbsp;']"
723,r025,All states -> Minnesota,All states,Minnesota,2,"['6,820', '&nbsp;']","['6,290', '&nbsp;']","['530', '&nbsp;']","['278', '&nbsp;']","['252', '&nbsp;']"
723,r026,All states -> Mississippi,All states,Mississippi,2,"['216', '&nbsp;']","['186', '&nbsp;']","['30', 'e']","['14', '&nbsp;']","['17', 'e']"
723,r027,All states -> Missouri,All states,Missouri,2,"['6,078', 'i']","['3,737', '&nbsp;']","['2,341', 'i']","['D', ' ']","['D', ' ']"
