table_id,row_id,time_period,all_scientists_and_engineers_level_1,all_scientists_and_engineers_level_2,all_scientists_and_engineers_level_3,all_scientists_and_engineers_hierarchy_depth,value
6338,r001,Total,All scientists and engineers,Number,,2,856050
6338,r002,Total,All scientists and engineers,SE,,2,1500
6338,r003,Total,Unemployment spells (number),0,Total,3,825650
6338,r004,Total,Unemployment spells (number),0,SE,3,1800
6338,r005,Total,Unemployment spells (number),1,Total,3,24450
6338,r006,Total,Unemployment spells (number),1,SE,3,925
6338,r007,Total,Unemployment spells (number),2,Total,3,4600
6338,r008,Total,Unemployment spells (number),2,SE,3,425
6338,r009,Total,Unemployment spells (number),3,Total,3,1350
6338,r010,Total,Unemployment spells (number),3,SE,3,200
6338,r011,Total,Unemployment spells (%),0,Percent,3,96.45
6338,r012,Total,Unemployment spells (%),0,SE,3,0.15
6338,r013,Total,Unemployment spells (%),1,Percent,3,2.86
6338,r014,Total,Unemployment spells (%),1,SE,3,0.15
6338,r015,Total,Unemployment spells (%),2,Percent,3,0.54
6338,r016,Total,Unemployment spells (%),2,SE,3,0.05
6338,r017,Total,Unemployment spells (%),3,Percent,3,0.16
6338,r018,Total,Unemployment spells (%),3,SE,3,0.05
6338,r019,Total -> Gender -> Male,All scientists and engineers,Number,,2,556750
6338,r020,Total -> Gender -> Male,All scientists and engineers,SE,,2,1475
6338,r021,Total -> Gender -> Male,Unemployment spells (number),0,Total,3,538550
6338,r022,Total -> Gender -> Male,Unemployment spells (number),0,SE,3,1625
6338,r023,Total -> Gender -> Male,Unemployment spells (number),1,Total,3,14300
6338,r024,Total -> Gender -> Male,Unemployment spells (number),1,SE,3,700
6338,r025,Total -> Gender -> Male,Unemployment spells (number),2,Total,3,2850
6338,r026,Total -> Gender -> Male,Unemployment spells (number),2,SE,3,350
6338,r027,Total -> Gender -> Male,Unemployment spells (number),3,Total,3,1050
6338,r028,Total -> Gender -> Male,Unemployment spells (number),3,SE,3,200
6338,r029,Total -> Gender -> Male,Unemployment spells (%),0,Percent,3,96.73
6338,r030,Total -> Gender -> Male,Unemployment spells (%),0,SE,3,0.15
6338,r031,Total -> Gender -> Male,Unemployment spells (%),1,Percent,3,2.57
6338,r032,Total -> Gender -> Male,Unemployment spells (%),1,SE,3,0.15
6338,r033,Total -> Gender -> Male,Unemployment spells (%),2,Percent,3,0.51
6338,r034,Total -> Gender -> Male,Unemployment spells (%),2,SE,3,0.1
6338,r035,Total -> Gender -> Male,Unemployment spells (%),3,Percent,3,0.19
6338,r036,Total -> Gender -> Male,Unemployment spells (%),3,SE,3,0.05
6338,r037,Total -> Gender -> Female,All scientists and engineers,Number,,2,299300
6338,r038,Total -> Gender -> Female,All scientists and engineers,SE,,2,950
6338,r039,Total -> Gender -> Female,Unemployment spells (number),0,Total,3,287100
6338,r040,Total -> Gender -> Female,Unemployment spells (number),0,SE,3,1075
6338,r041,Total -> Gender -> Female,Unemployment spells (number),1,Total,3,10150
6338,r042,Total -> Gender -> Female,Unemployment spells (number),1,SE,3,525
6338,r043,Total -> Gender -> Female,Unemployment spells (number),2,Total,3,1750
6338,r044,Total -> Gender -> Female,Unemployment spells (number),2,SE,3,225
6338,r045,Total -> Gender -> Female,Unemployment spells (number),3,Total,3,300
6338,r046,Total -> Gender -> Female,Unemployment spells (number),3,SE,3,75
6338,r047,Total -> Gender -> Female,Unemployment spells (%),0,Percent,3,95.92
6338,r048,Total -> Gender -> Female,Unemployment spells (%),0,SE,3,0.2
6338,r049,Total -> Gender -> Female,Unemployment spells (%),1,Percent,3,3.39
6338,r050,Total -> Gender -> Female,Unemployment spells (%),1,SE,3,0.2
6338,r051,Total -> Gender -> Female,Unemployment spells (%),2,Percent,3,0.59
6338,r052,Total -> Gender -> Female,Unemployment spells (%),2,SE,3,0.1
6338,r053,Total -> Gender -> Female,Unemployment spells (%),3,Percent,3,0.09
6338,r054,Total -> Gender -> Female,Unemployment spells (%),3,SE,3,0.05
6338,r055,Total -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>,All scientists and engineers,Number,,2,43100
6338,r056,Total -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>,All scientists and engineers,SE,,2,475
6338,r057,Total -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>,Unemployment spells (number),0,Total,3,41100
6338,r058,Total -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>,Unemployment spells (number),0,SE,3,500
6338,r059,Total -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>,Unemployment spells (number),1,Total,3,1600
6338,r060,Total -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>,Unemployment spells (number),1,SE,3,175
6338,r061,Total -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>,Unemployment spells (number),2,Total,3,250
6338,r062,Total -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>,Unemployment spells (number),2,SE,3,75
6338,r063,Total -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>,Unemployment spells (number),3,Total,3,150
6338,r064,Total -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>,Unemployment spells (number),3,SE,3,75
6338,r065,Total -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>,Unemployment spells (%),0,Percent,3,95.36
6338,r066,Total -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>,Unemployment spells (%),0,SE,3,0.4
6338,r067,Total -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>,Unemployment spells (%),1,Percent,3,3.67
6338,r068,Total -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>,Unemployment spells (%),1,SE,3,0.4
6338,r069,Total -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>,Unemployment spells (%),2,Percent,3,0.61
6338,r070,Total -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>,Unemployment spells (%),2,SE,3,0.2
6338,r071,Total -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>,Unemployment spells (%),3,Percent,3,0.36
6338,r072,Total -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>,Unemployment spells (%),3,SE,3,0.2
6338,r073,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,All scientists and engineers,Number,,2,2450
6338,r074,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,All scientists and engineers,SE,,2,200
6338,r075,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,Unemployment spells (number),0,Total,3,2300
6338,r076,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,Unemployment spells (number),0,SE,3,200
6338,r077,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,Unemployment spells (number),1,Total,3,100
6338,r078,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,Unemployment spells (number),1,SE,3,50
6338,r079,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,Unemployment spells (%),0,Percent,3,95.2
6338,r080,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,Unemployment spells (%),0,SE,3,1.45
6338,r081,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,Unemployment spells (%),1,Percent,3,3.81
6338,r082,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,Unemployment spells (%),1,SE,3,1.3
6338,r083,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian,All scientists and engineers,Number,,2,237150
6338,r084,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian,All scientists and engineers,SE,,2,1000
