table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_level_4,_b_field_b_hierarchy_depth,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_local_government,field_source_of_funds_institution_funds,field_source_of_funds_business,field_source_of_funds_nonprofit_organizations,field_source_of_funds_all_other_sources
10105,r001,All R&D fields,All R&D fields,,,,1,97680528,53971468,4907199,24492663,5701656,5974155,2633387
10105,r002,All R&D fields -> Science,All R&D fields,Science,,,2,76226286,42786338,3660829,18362439,4376552,4979772,2060356
10105,r003,All R&D fields -> Science -> Computer and information sciences,All R&D fields,Science,Computer and information sciences,,3,3224949,2184767,76545,652629,164698,87070,59240
10105,r004,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",,3,3690235,2478702,218642,680423,90513,148997,72958
10105,r005,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,4,668918,528068,17169,93954,8144,14213,7370
10105,r006,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,4,1370650,875493,66599,288039,48475,58672,33372
10105,r007,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean sciences and marine sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Ocean sciences and marine sciences,4,1211130,785545,107877,223759,22019,50512,21418
10105,r008,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences nec",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences nec",4,439537,289596,26997,74671,11875,25600,10798
10105,r009,All R&D fields -> Science -> Life sciences,All R&D fields,Science,Life sciences,,3,56498207,30958717,2929174,13333506,3840001,3799516,1637293
10105,r010,All R&D fields -> Science -> Life sciences -> Agricultural sciences,All R&D fields,Science,Life sciences,Agricultural sciences,4,3935731,1265977,990784,1253587,140477,146190,138716
10105,r011,All R&D fields -> Science -> Life sciences -> Biological and biomedical sciences,All R&D fields,Science,Life sciences,Biological and biomedical sciences,4,18161442,10949628,576765,4130030,883131,1180359,441529
10105,r012,All R&D fields -> Science -> Life sciences -> Health sciences,All R&D fields,Science,Life sciences,Health sciences,4,31869957,17494324,1131259,7192949,2737909,2335052,978464
10105,r013,All R&D fields -> Science -> Life sciences -> Natural resources and conservation,All R&D fields,Science,Life sciences,Natural resources and conservation,4,1012919,480042,146231,295046,23054,44624,23922
10105,r014,All R&D fields -> Science -> Life sciences -> Life sciences nec,All R&D fields,Science,Life sciences,Life sciences nec,4,1518158,768746,84135,461894,55430,93291,54662
10105,r015,All R&D fields -> Science -> Mathematics and statistics,All R&D fields,Science,Mathematics and statistics,,3,879526,537322,26951,248527,12774,45963,7989
10105,r016,All R&D fields -> Science -> Physical sciences,All R&D fields,Science,Physical sciences,,3,6167583,4212405,109478,1313681,176315,263520,92184
10105,r017,All R&D fields -> Science -> Physical sciences -> Astronomy and astrophysics,All R&D fields,Science,Physical sciences,Astronomy and astrophysics,4,813900,581652,5647,145274,4856,51438,25033
10105,r018,All R&D fields -> Science -> Physical sciences -> Chemistry,All R&D fields,Science,Physical sciences,Chemistry,4,2126741,1322328,47140,556117,81665,88605,30886
10105,r019,All R&D fields -> Science -> Physical sciences -> Materials science,All R&D fields,Science,Physical sciences,Materials science,4,286461,195404,2900,48941,26914,7150,5152
10105,r020,All R&D fields -> Science -> Physical sciences -> Physics,All R&D fields,Science,Physical sciences,Physics,4,2669076,1941833,39810,503922,50312,107383,25816
10105,r021,All R&D fields -> Science -> Physical sciences -> Physical sciences nec,All R&D fields,Science,Physical sciences,Physical sciences nec,4,271405,171188,13981,59427,12568,8944,5297
10105,r022,All R&D fields -> Science -> Psychology,All R&D fields,Science,Psychology,,3,1443894,875330,47240,397720,16385,88936,18283
10105,r023,All R&D fields -> Science -> Social sciences,All R&D fields,Science,Social sciences,,3,3165440,1075470,167433,1253436,43081,482180,143840
10105,r024,All R&D fields -> Science -> Social sciences -> Anthropology,All R&D fields,Science,Social sciences,Anthropology,4,132764,40119,4079,73935,1961,7221,5449
10105,r025,All R&D fields -> Science -> Social sciences -> Economics,All R&D fields,Science,Social sciences,Economics,4,667707,194381,46611,253363,13403,118085,41864
