table_id,row_id,employment_size_full_path,employment_size_level_1,employment_size_level_2,employment_size_level_3,employment_size_hierarchy_depth,field_companies_number_,field_manufacturing_activity_number_yes,field_manufacturing_activity_number_no,field_manufacturing_activity_percent_yes,field_manufacturing_activity_percent_no
7480,r001,All companies,All companies,,,1,"['4,857,473', '&nbsp;']","['542,554', '&nbsp;']","['4,314,918', '&nbsp;']","['11.2', '&nbsp;']","['88.8', '&nbsp;']"
7480,r002,All companies -> Micro companies,All companies,Micro companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
7480,r003,All companies -> Micro companies -> 1&#8211;4,All companies,Micro companies,1&#8211;4,3,"['2,701,088', '&nbsp;']","['222,200', '&nbsp;']","['2,478,889', '&nbsp;']","['8.2', '&nbsp;']","['91.8', '&nbsp;']"
7480,r004,All companies -> Micro companies -> 5&#8211;9,All companies,Micro companies,5&#8211;9,3,"['946,725', '&nbsp;']","['117,037', '&nbsp;']","['829,687', '&nbsp;']","['12.4', '&nbsp;']","['87.6', '&nbsp;']"
7480,r005,All companies -> Small companies,All companies,Small companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
7480,r006,All companies -> Small companies -> 10&#8211;19,All companies,Small companies,10&#8211;19,3,"['590,193', '&nbsp;']","['88,795', '&nbsp;']","['501,397', '&nbsp;']","['15.0', '&nbsp;']","['85.0', '&nbsp;']"
7480,r007,All companies -> Small companies -> 20&#8211;49,All companies,Small companies,20&#8211;49,3,"['401,365', '&nbsp;']","['68,444', '&nbsp;']","['332,920', '&nbsp;']","['17.1', '&nbsp;']","['82.9', '&nbsp;']"
7480,r008,All companies -> Medium companies,All companies,Medium companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
7480,r009,All companies -> Medium companies -> 50&#8211;99,All companies,Medium companies,50&#8211;99,3,"['118,677', '&nbsp;']","['24,108', '&nbsp;']","['94,569', '&nbsp;']","['20.3', '&nbsp;']","['79.7', '&nbsp;']"
7480,r010,All companies -> Medium companies -> 100&#8211;249,All companies,Medium companies,100&#8211;249,3,"['64,454', '&nbsp;']","['13,224', '&nbsp;']","['51,229', '&nbsp;']","['20.5', '&nbsp;']","['79.5', '&nbsp;']"
7480,r011,All companies -> Large companies,All companies,Large companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
7480,r012,All companies -> Large companies -> 250&#8211;499,All companies,Large companies,250&#8211;499,3,"['19,208', '&nbsp;']","['4,551', '&nbsp;']","['14,656', '&nbsp;']","['23.7', '&nbsp;']","['76.3', '&nbsp;']"
7480,r013,All companies -> Large companies -> 500&#8211;999,All companies,Large companies,500&#8211;999,3,"['8,130', '&nbsp;']","['2,044', '&nbsp;']","['6,087', '&nbsp;']","['25.1', '&nbsp;']","['74.9', '&nbsp;']"
7480,r014,"All companies -> Large companies -> 1,000&#8211;4,999",All companies,Large companies,"1,000&#8211;4,999",3,"['6,023', '&nbsp;']","['1,583', '&nbsp;']","['4,439', '&nbsp;']","['26.3', '&nbsp;']","['73.7', '&nbsp;']"
7480,r015,"All companies -> Large companies -> 5,000&#8211;9,999",All companies,Large companies,"5,000&#8211;9,999",3,"['775', '&nbsp;']","['270', '&nbsp;']","['506', '&nbsp;']","['34.8', '&nbsp;']","['65.3', '&nbsp;']"
7480,r016,"All companies -> Large companies -> 10,000&#8211;24,999",All companies,Large companies,"10,000&#8211;24,999",3,"['496', '&nbsp;']","['179', '&nbsp;']","['316', '&nbsp;']","['36.1', '&nbsp;']","['63.7', '&nbsp;']"
7480,r017,"All companies -> Large companies -> 25,000 or more",All companies,Large companies,"25,000 or more",3,"['335', '&nbsp;']","['112', '&nbsp;']","['222', '&nbsp;']","['33.4', '&nbsp;']","['66.3', '&nbsp;']"
