table_id,row_id,sex_occupation_and_job_satisfaction_full_path,sex_occupation_and_job_satisfaction_level_1,sex_occupation_and_job_satisfaction_level_2,sex_occupation_and_job_satisfaction_level_3,sex_occupation_and_job_satisfaction_level_4,sex_occupation_and_job_satisfaction_level_5,sex_occupation_and_job_satisfaction_hierarchy_depth,field_total,field_primary_work_activity_computer_applications,field_primary_work_activity_design,field_primary_work_activity_management_and_administrationa,field_primary_work_activity_research_and_developmentb,field_primary_work_activity_teaching,field_primary_work_activity_otherc
7774,r001,All sexes,All sexes,,,,,1,51764000,2911000,1468000,22217000,3893000,6634000,14640000
7774,r002,All sexes -> Very satisfied,All sexes,Very satisfied,,,,2,22804000,1317000,615000,9861000,1745000,2829000,6436000
7774,r003,All sexes -> Somewhat satisfied,All sexes,Somewhat satisfied,,,,2,23329000,1375000,699000,9808000,1766000,3184000,6497000
7774,r004,All sexes -> Somewhat dissatisfied,All sexes,Somewhat dissatisfied,,,,2,4394000,181000,127000,2020000,316000,486000,1265000
7774,r005,All sexes -> Very dissatisfied,All sexes,Very dissatisfied,,,,2,1236000,38000,26000,528000,66000,135000,442000
7774,r006,All sexes -> S&E occupations,All sexes,S&E occupations,,,,2,7894000,2224000,769000,1629000,1834000,428000,1009000
7774,r007,All sexes -> S&E occupations -> Very satisfied,All sexes,S&E occupations,Very satisfied,,,3,3493000,996000,330000,723000,819000,170000,455000
7774,r008,All sexes -> S&E occupations -> Somewhat satisfied,All sexes,S&E occupations,Somewhat satisfied,,,3,3651000,1053000,370000,727000,839000,203000,459000
7774,r009,All sexes -> S&E occupations -> Somewhat dissatisfied,All sexes,S&E occupations,Somewhat dissatisfied,,,3,617000,144000,55000,143000,154000,44000,76000
7774,r010,All sexes -> S&E occupations -> Very dissatisfied,All sexes,S&E occupations,Very dissatisfied,,,3,133000,31000,14000,36000,22000,12000,19000
7774,r011,"All sexes -> S&E occupations -> Biological, agricultural, and other life scientists",All sexes,S&E occupations,"Biological, agricultural, and other life scientists",,,3,794000,10000,7000,125000,490000,67000,94000
7774,r012,"All sexes -> S&E occupations -> Biological, agricultural, and other life scientists -> Very satisfied",All sexes,S&E occupations,"Biological, agricultural, and other life scientists",Very satisfied,,4,346000,5000,2000,60000,220000,27000,32000
7774,r013,"All sexes -> S&E occupations -> Biological, agricultural, and other life scientists -> Somewhat satisfied",All sexes,S&E occupations,"Biological, agricultural, and other life scientists",Somewhat satisfied,,4,371000,4000,4000,58000,227000,29000,49000
7774,r014,"All sexes -> S&E occupations -> Biological, agricultural, and other life scientists -> Somewhat dissatisfied",All sexes,S&E occupations,"Biological, agricultural, and other life scientists",Somewhat dissatisfied,,4,65000,S,1000,6000,37000,8000,12000
7774,r015,"All sexes -> S&E occupations -> Biological, agricultural, and other life scientists -> Very dissatisfied",All sexes,S&E occupations,"Biological, agricultural, and other life scientists",Very dissatisfied,,4,12000,,,2000,5000,4000,1000
7774,r016,All sexes -> S&E occupations -> Computer and mathematical scientists,All sexes,S&E occupations,Computer and mathematical scientists,,,3,4031000,2077000,244000,722000,507000,125000,357000
