table_id,row_id,_b_r_d_field_b_full_path,_b_r_d_field_b_level_1,_b_r_d_field_b_level_2,_b_r_d_field_b_level_3,_b_r_d_field_b_level_4,_b_r_d_field_b_hierarchy_depth,field_total_all_r_d_expenditures,field_total_imputed_amount,field_total_imputed_amount_as_of_total,field_federally_financed_all_r_d_expenditures,field_federally_financed_imputed_amount,field_federally_financed_imputed_amount_as_of_total
10190,r001,All R&D fields,All R&D fields,,,,1,2700652,9844,0.4,1336692,6231,0.5
10190,r002,All R&D fields -> All science and engineering,All R&D fields,All science and engineering,,,2,2646967,101573,3.8,1326448,33595,2.5
10190,r003,All R&D fields -> All science and engineering -> Computer and information sciences,All R&D fields,All science and engineering,Computer and information sciences,,3,136868,10917,8.0,78813,2246,2.8
10190,r004,"All R&D fields -> All science and engineering -> Geosciences, atmospheric sciences, and ocean sciences",All R&D fields,All science and engineering,"Geosciences, atmospheric sciences, and ocean sciences",,3,136651,5001,3.7,85617,1174,1.4
10190,r005,"All R&D fields -> All science and engineering -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology",All R&D fields,All science and engineering,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,4,23944,705,2.9,18413,108,0.6
10190,r006,"All R&D fields -> All science and engineering -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All R&D fields,All science and engineering,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,4,47613,1929,4.1,22360,351,1.6
10190,r007,"All R&D fields -> All science and engineering -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean sciences and marine sciences",All R&D fields,All science and engineering,"Geosciences, atmospheric sciences, and ocean sciences",Ocean sciences and marine sciences,4,52689,1788,3.4,36435,329,0.9
10190,r008,"All R&D fields -> All science and engineering -> Geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences nec",All R&D fields,All science and engineering,"Geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences nec",4,12405,579,4.7,8409,386,4.6
10190,r009,All R&D fields -> All science and engineering -> Life sciences,All R&D fields,All science and engineering,Life sciences,,3,1056808,19185,1.8,429317,11346,2.6
10190,r010,All R&D fields -> All science and engineering -> Life sciences -> Agricultural sciences,All R&D fields,All science and engineering,Life sciences,Agricultural sciences,4,120530,475,0.4,33636,318,0.9
10190,r011,All R&D fields -> All science and engineering -> Life sciences -> Biological and biomedical sciences,All R&D fields,All science and engineering,Life sciences,Biological and biomedical sciences,4,485746,10508,2.2,231374,6261,2.7
10190,r012,All R&D fields -> All science and engineering -> Life sciences -> Health sciences,All R&D fields,All science and engineering,Life sciences,Health sciences,4,408455,7950,1.9,149025,4646,3.1
10190,r013,All R&D fields -> All science and engineering -> Life sciences -> Natural resources and conservation,All R&D fields,All science and engineering,Life sciences,Natural resources and conservation,4,13797,235,1.7,5278,116,2.2
10190,r014,All R&D fields -> All science and engineering -> Life sciences -> Life sciences nec,All R&D fields,All science and engineering,Life sciences,Life sciences nec,4,28280,17,0.1,10004,5,0.0
10190,r015,All R&D fields -> All science and engineering -> Mathematics and statistics,All R&D fields,All science and engineering,Mathematics and statistics,,3,10648,4212,39.6,5277,1189,22.5
10190,r016,All R&D fields -> All science and engineering -> Physical sciences,All R&D fields,All science and engineering,Physical sciences,,3,408769,14028,3.4,262166,4307,1.6
10190,r017,All R&D fields -> All science and engineering -> Physical sciences -> Astronomy and astrophysics,All R&D fields,All science and engineering,Physical sciences,Astronomy and astrophysics,4,27500,1564,5.7,17656,623,3.5
10190,r018,All R&D fields -> All science and engineering -> Physical sciences -> Chemistry,All R&D fields,All science and engineering,Physical sciences,Chemistry,4,139819,3039,2.2,78071,1456,1.9
10190,r019,All R&D fields -> All science and engineering -> Physical sciences -> Materials science,All R&D fields,All science and engineering,Physical sciences,Materials science,4,22064,24,0.1,16928,24,0.1
10190,r020,All R&D fields -> All science and engineering -> Physical sciences -> Physics,All R&D fields,All science and engineering,Physical sciences,Physics,4,198354,7804,3.9,136324,2032,1.5
10190,r021,All R&D fields -> All science and engineering -> Physical sciences -> Physical sciences nec,All R&D fields,All science and engineering,Physical sciences,Physical sciences nec,4,21032,1597,7.6,13187,172,1.3
10190,r022,All R&D fields -> All science and engineering -> Psychology,All R&D fields,All science and engineering,Psychology,,3,14616,333,2.3,6886,218,3.2
10190,r023,All R&D fields -> All science and engineering -> Social sciences,All R&D fields,All science and engineering,Social sciences,,3,21001,1082,5.2,6247,582,9.3
10190,r024,All R&D fields -> All science and engineering -> Social sciences -> Anthropology,All R&D fields,All science and engineering,Social sciences,Anthropology,4,2944,17,0.6,308,7,2.3
10190,r025,All R&D fields -> All science and engineering -> Social sciences -> Economics,All R&D fields,All science and engineering,Social sciences,Economics,4,2346,441,18.8,1191,214,18.0
