table_id,row_id,level_and_field_of_highest_degree_full_path,level_and_field_of_highest_degree_level_1,level_and_field_of_highest_degree_level_2,level_and_field_of_highest_degree_level_3,level_and_field_of_highest_degree_level_4,level_and_field_of_highest_degree_level_5,level_and_field_of_highest_degree_hierarchy_depth,field_total,field_employed_total,field_employed_s_e_occupations,field_employed_s_e_related_occupations,field_employed_non_s_e_occupations,field_unemployeda,field_not_in_labor_forceb
7761,r001,All degrees,All degrees,,,,,1,68593000,51764000,7894000,9522000,34349000,3160000,13669000
7761,r002,All degrees -> S&E fields,All degrees,S&E fields,,,,2,21357000,16408000,6059000,2405000,7944000,939000,4011000
7761,r003,"All degrees -> S&E fields -> Biological, agricultural, and environmental life sciences",All degrees,S&E fields,"Biological, agricultural, and environmental life sciences",,,3,3433000,2570000,768000,667000,1136000,150000,714000
7761,r004,"All degrees -> S&E fields -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences",All degrees,S&E fields,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,,4,406000,308000,73000,40000,195000,12000,86000
7761,r005,"All degrees -> S&E fields -> Biological, agricultural, and environmental life sciences -> Biological sciences",All degrees,S&E fields,"Biological, agricultural, and environmental life sciences",Biological sciences,,4,2612000,1937000,610000,591000,737000,120000,555000
7761,r006,"All degrees -> S&E fields -> Biological, agricultural, and environmental life sciences -> Environmental life sciences",All degrees,S&E fields,"Biological, agricultural, and environmental life sciences",Environmental life sciences,,4,416000,325000,85000,36000,204000,18000,74000
7761,r007,All degrees -> S&E fields -> Computer and mathematical sciences,All degrees,S&E fields,Computer and mathematical sciences,,,3,3897000,3147000,1795000,463000,889000,166000,584000
7761,r008,All degrees -> S&E fields -> Computer and mathematical sciences -> Computer and information sciences,All degrees,S&E fields,Computer and mathematical sciences,Computer and information sciences,,4,2991000,2493000,1556000,324000,614000,136000,362000
7761,r009,All degrees -> S&E fields -> Computer and mathematical sciences -> Mathematics and statistics,All degrees,S&E fields,Computer and mathematical sciences,Mathematics and statistics,,4,906000,654000,239000,140000,276000,30000,222000
7761,r010,All degrees -> S&E fields -> Physical and related sciences,All degrees,S&E fields,Physical and related sciences,,,3,1172000,906000,461000,148000,297000,41000,225000
7761,r011,"All degrees -> S&E fields -> Physical and related sciences -> Chemistry, except biochemistry",All degrees,S&E fields,Physical and related sciences,"Chemistry, except biochemistry",,4,493000,376000,189000,75000,113000,16000,101000
7761,r012,"All degrees -> S&E fields -> Physical and related sciences -> Earth, atmospheric, and ocean sciences",All degrees,S&E fields,Physical and related sciences,"Earth, atmospheric, and ocean sciences",,4,328000,263000,120000,31000,112000,9000,56000
7761,r013,All degrees -> S&E fields -> Physical and related sciences -> Physics and astronomy,All degrees,S&E fields,Physical and related sciences,Physics and astronomy,,4,315000,240000,146000,34000,61000,15000,60000
7761,r014,All degrees -> S&E fields -> Physical and related sciences -> Other physical sciences,All degrees,S&E fields,Physical and related sciences,Other physical sciences,,4,35000,26000,6000,8000,11000,S,8000
7761,r015,All degrees -> S&E fields -> Social and related sciences,All degrees,S&E fields,Social and related sciences,,,3,7913000,5774000,758000,486000,4529000,410000,1730000
7761,r016,All degrees -> S&E fields -> Social and related sciences -> Economics,All degrees,S&E fields,Social and related sciences,Economics,,4,1143000,869000,123000,37000,708000,38000,236000
7761,r017,All degrees -> S&E fields -> Social and related sciences -> Political and related sciences,All degrees,S&E fields,Social and related sciences,Political and related sciences,,4,1415000,1039000,115000,67000,858000,83000,293000
7761,r018,All degrees -> S&E fields -> Social and related sciences -> Psychology,All degrees,S&E fields,Social and related sciences,Psychology,,4,3232000,2336000,337000,238000,1761000,165000,731000
7761,r019,All degrees -> S&E fields -> Social and related sciences -> Sociology and anthropology,All degrees,S&E fields,Social and related sciences,Sociology and anthropology,,4,1315000,929000,112000,73000,744000,74000,312000
7761,r020,All degrees -> S&E fields -> Social and related sciences -> Other social sciences,All degrees,S&E fields,Social and related sciences,Other social sciences,,4,807000,600000,71000,71000,458000,49000,158000
7761,r021,All degrees -> S&E fields -> Engineering,All degrees,S&E fields,Engineering,,,3,4942000,4011000,2277000,641000,1093000,173000,759000
7761,r022,"All degrees -> S&E fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All degrees,S&E fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",,4,189000,145000,84000,18000,43000,5000,39000
7761,r023,All degrees -> S&E fields -> Engineering -> Chemical engineering,All degrees,S&E fields,Engineering,Chemical engineering,,4,331000,269000,148000,37000,84000,10000,52000
7761,r024,All degrees -> S&E fields -> Engineering -> Civil and architectural engineering,All degrees,S&E fields,Engineering,Civil and architectural engineering,,4,663000,543000,296000,96000,151000,11000,110000
7761,r025,All degrees -> S&E fields -> Engineering -> Electrical and computer engineering,All degrees,S&E fields,Engineering,Electrical and computer engineering,,4,1723000,1409000,885000,245000,278000,63000,251000
7761,r026,All degrees -> S&E fields -> Engineering -> Industrial engineering,All degrees,S&E fields,Engineering,Industrial engineering,,4,305000,230000,82000,41000,107000,12000,62000
7761,r027,All degrees -> S&E fields -> Engineering -> Mechanical engineering,All degrees,S&E fields,Engineering,Mechanical engineering,,4,1014000,848000,500000,110000,238000,36000,130000
7761,r028,All degrees -> S&E fields -> Engineering -> Other engineering,All degrees,S&E fields,Engineering,Other engineering,,4,717000,567000,283000,93000,191000,35000,115000
7761,r029,All degrees -> S&E-related fields,All degrees,S&E-related fields,,,,2,9841000,7822000,439000,5519000,1863000,265000,1754000
7761,r030,All degrees -> S&E-related fields -> Health,All degrees,S&E-related fields,Health,,,3,7912000,6364000,190000,4983000,1191000,212000,1335000
7761,r031,All degrees -> S&E-related fields -> Science and mathematics teacher education,All degrees,S&E-related fields,Science and mathematics teacher education,,,3,637000,429000,30000,223000,175000,11000,197000
7761,r032,All degrees -> S&E-related fields -> Technology and technical fields,All degrees,S&E-related fields,Technology and technical fields,,,3,638000,488000,170000,92000,226000,22000,128000
7761,r033,All degrees -> S&E-related fields -> Other S&E-related fields,All degrees,S&E-related fields,Other S&E-related fields,,,3,654000,541000,48000,221000,271000,19000,94000
7761,r034,All degrees -> Non-S&E fields,All degrees,Non-S&E fields,,,,2,37395000,27535000,1396000,1597000,24541000,1956000,7904000
7761,r035,All degrees -> Non-S&E fields -> Management and administration fields,All degrees,Non-S&E fields,Management and administration fields,,,3,12410000,9480000,647000,527000,8305000,663000,2268000
7761,r036,"All degrees -> Non-S&E fields -> Education, except science and math teacher education",All degrees,Non-S&E fields,"Education, except science and math teacher education",,,3,7473000,5019000,94000,441000,4484000,179000,2275000
7761,r037,All degrees -> Non-S&E fields -> Social service and related fields,All degrees,Non-S&E fields,Social service and related fields,,,3,1996000,1466000,77000,65000,1324000,113000,418000
