table_id,row_id,state_full_path,state_level_1,state_level_2,state_hierarchy_depth,field_companies_number_,field_product_or_business_process_innovation_number_yes,field_product_or_business_process_innovation_number_no,field_product_or_business_process_innovation_percent_yes,field_product_or_business_process_innovation_percent_no
5661,r001,All states,All states,,1,"['    4,805,151 ', '&nbsp;']","['    1,428,609 ', '&nbsp;']","['    3,376,542 ', '&nbsp;']","['    29.7 ', '&nbsp;']","['    70.3 ', '&nbsp;']"
5661,r002,All states -> Alabama,All states,Alabama,2,"['    55,146 ', '&nbsp;']","['    13,244 ', '&nbsp;']","['    41,902 ', '&nbsp;']","['    24.0 ', '&nbsp;']","['    76.0 ', '&nbsp;']"
5661,r003,All states -> Alaska,All states,Alaska,2,"['    12,297 ', '&nbsp;']","['    3,997 ', '&nbsp;']","['    8,300 ', '&nbsp;']","['    32.5 ', '&nbsp;']","['    67.5 ', '&nbsp;']"
5661,r004,All states -> Arizona,All states,Arizona,2,"['    82,414 ', '&nbsp;']","['    25,476 ', '&nbsp;']","['    56,938 ', '&nbsp;']","['    30.9 ', '&nbsp;']","['    69.1 ', '&nbsp;']"
5661,r005,All states -> Arkansas,All states,Arkansas,2,"['    39,656 ', '&nbsp;']","['    9,427 ', '&nbsp;']","['    30,229 ', '&nbsp;']","['    23.8 ', '&nbsp;']","['    76.2 ', '&nbsp;']"
5661,r006,All states -> California,All states,California,2,"['    594,609 ', '&nbsp;']","['    198,609 ', '&nbsp;']","['    396,000 ', '&nbsp;']","['    33.4 ', '&nbsp;']","['    66.6 ', '&nbsp;']"
5661,r007,All states -> Colorado,All states,Colorado,2,"['    116,495 ', '&nbsp;']","['    37,228 ', '&nbsp;']","['    79,267 ', '&nbsp;']","['    32.0 ', '&nbsp;']","['    68.0 ', '&nbsp;']"
5661,r008,All states -> Connecticut,All states,Connecticut,2,"['    53,726 ', '&nbsp;']","['    15,475 ', '&nbsp;']","['    38,251 ', '&nbsp;']","['    28.8 ', '&nbsp;']","['    71.2 ', '&nbsp;']"
5661,r009,All states -> Delaware,All states,Delaware,2,"['    14,472 ', '&nbsp;']","['    4,421 ', '&nbsp;']","['    10,051 ', '&nbsp;']","['    30.5 ', '&nbsp;']","['    69.5 ', '&nbsp;']"
5661,r010,All states -> District of Columbia,All states,District of Columbia,2,"['    7,748 ', '&nbsp;']","['    2,578 ', '&nbsp;']","['    5,170 ', '&nbsp;']","['    33.3 ', '&nbsp;']","['    66.7 ', '&nbsp;']"
5661,r011,All states -> Florida,All states,Florida,2,"['    353,892 ', '&nbsp;']","['    111,063 ', '&nbsp;']","['    242,829 ', '&nbsp;']","['    31.4 ', '&nbsp;']","['    68.6 ', '&nbsp;']"
5661,r012,All states -> Georgia,All states,Georgia,2,"['    135,369 ', '&nbsp;']","['    40,976 ', '&nbsp;']","['    94,393 ', '&nbsp;']","['    30.3 ', '&nbsp;']","['    69.7 ', '&nbsp;']"
5661,r013,All states -> Hawaii,All states,Hawaii,2,"['    18,391 ', '&nbsp;']","['    5,191 ', '&nbsp;']","['    13,200 ', '&nbsp;']","['    28.2 ', '&nbsp;']","['    71.8 ', '&nbsp;']"
5661,r014,All states -> Idaho,All states,Idaho,2,"['    33,993 ', '&nbsp;']","['    9,350 ', '&nbsp;']","['    24,643 ', '&nbsp;']","['    27.5 ', '&nbsp;']","['    72.5 ', '&nbsp;']"
5661,r015,All states -> Illinois,All states,Illinois,2,"['    201,013 ', '&nbsp;']","['    59,952 ', '&nbsp;']","['    141,061 ', '&nbsp;']","['    29.8 ', '&nbsp;']","['    70.2 ', '&nbsp;']"
5661,r016,All states -> Indiana,All states,Indiana,2,"['    89,129 ', '&nbsp;']","['    25,891 ', '&nbsp;']","['    63,238 ', '&nbsp;']","['    29.0 ', '&nbsp;']","['    71.0 ', '&nbsp;']"
5661,r017,All states -> Iowa,All states,Iowa,2,"['    52,742 ', '&nbsp;']","['    11,975 ', '&nbsp;']","['    40,767 ', '&nbsp;']","['    22.7 ', '&nbsp;']","['    77.3 ', '&nbsp;']"
5661,r018,All states -> Kansas,All states,Kansas,2,"['    46,476 ', '&nbsp;']","['    11,806 ', '&nbsp;']","['    34,670 ', '&nbsp;']","['    25.4 ', '&nbsp;']","['    74.6 ', '&nbsp;']"
5661,r019,All states -> Kentucky,All states,Kentucky,2,"['    53,421 ', '&nbsp;']","['    14,601 ', '&nbsp;']","['    38,820 ', '&nbsp;']","['    27.3 ', '&nbsp;']","['    72.7 ', '&nbsp;']"
5661,r020,All states -> Louisiana,All states,Louisiana,2,"['    58,237 ', '&nbsp;']","['    15,017 ', '&nbsp;']","['    43,220 ', '&nbsp;']","['    25.8 ', '&nbsp;']","['    74.2 ', '&nbsp;']"
5661,r021,All states -> Maine,All states,Maine,2,"['    24,943 ', '&nbsp;']","['    6,882 ', '&nbsp;']","['    18,061 ', '&nbsp;']","['    27.6 ', '&nbsp;']","['    72.4 ', '&nbsp;']"
5661,r022,All states -> Maryland,All states,Maryland,2,"['    83,878 ', '&nbsp;']","['    25,340 ', '&nbsp;']","['    58,538 ', '&nbsp;']","['    30.2 ', '&nbsp;']","['    69.8 ', '&nbsp;']"
5661,r023,All states -> Massachusetts,All states,Massachusetts,2,"['    102,125 ', '&nbsp;']","['    29,230 ', '&nbsp;']","['    72,895 ', '&nbsp;']","['    28.6 ', '&nbsp;']","['    71.4 ', '&nbsp;']"
5661,r024,All states -> Michigan,All states,Michigan,2,"['    140,485 ', '&nbsp;']","['    38,549 ', '&nbsp;']","['    101,936 ', '&nbsp;']","['    27.4 ', '&nbsp;']","['    72.6 ', '&nbsp;']"
5661,r025,All states -> Minnesota,All states,Minnesota,2,"['    98,880 ', '&nbsp;']","['    29,458 ', '&nbsp;']","['    69,422 ', '&nbsp;']","['    29.8 ', '&nbsp;']","['    70.2 ', '&nbsp;']"
5661,r026,All states -> Mississippi,All states,Mississippi,2,"['    31,804 ', '&nbsp;']","['    8,389 ', '&nbsp;']","['    23,415 ', '&nbsp;']","['    26.4 ', '&nbsp;']","['    73.6 ', '&nbsp;']"
5661,r027,All states -> Missouri,All states,Missouri,2,"['    86,368 ', '&nbsp;']","['    24,534 ', '&nbsp;']","['    61,834 ', '&nbsp;']","['    28.4 ', '&nbsp;']","['    71.6 ', '&nbsp;']"
5661,r028,All states -> Montana,All states,Montana,2,"['    27,636 ', '&nbsp;']","['    6,938 ', '&nbsp;']","['    20,698 ', '&nbsp;']","['    25.1 ', '&nbsp;']","['    74.9 ', '&nbsp;']"
5661,r029,All states -> Nebraska,All states,Nebraska,2,"['    37,855 ', '&nbsp;']","['    10,277 ', '&nbsp;']","['    27,578 ', '&nbsp;']","['    27.1 ', '&nbsp;']","['    72.9 ', '&nbsp;']"
5661,r030,All states -> Nevada,All states,Nevada,2,"['    37,738 ', '&nbsp;']","['    11,475 ', '&nbsp;']","['    26,263 ', '&nbsp;']","['    30.4 ', '&nbsp;']","['    69.6 ', '&nbsp;']"
5661,r031,All states -> New Hampshire,All states,New Hampshire,2,"['    23,942 ', '&nbsp;']","['    5,990 ', '&nbsp;']","['    17,952 ', '&nbsp;']","['    25.0 ', '&nbsp;']","['    75.0 ', '&nbsp;']"
5661,r032,All states -> New Jersey,All states,New Jersey,2,"['    143,259 ', '&nbsp;']","['    43,554 ', '&nbsp;']","['    99,705 ', '&nbsp;']","['    30.4 ', '&nbsp;']","['    69.6 ', '&nbsp;']"
5661,r033,All states -> New Mexico,All states,New Mexico,2,"['    24,530 ', '&nbsp;']","['    7,225 ', '&nbsp;']","['    17,305 ', '&nbsp;']","['    29.5 ', '&nbsp;']","['    70.5 ', '&nbsp;']"
5661,r034,All states -> New York,All states,New York,2,"['    318,382 ', '&nbsp;']","['    97,907 ', '&nbsp;']","['    220,475 ', '&nbsp;']","['    30.8 ', '&nbsp;']","['    69.2 ', '&nbsp;']"
5661,r035,All states -> North Carolina,All states,North Carolina,2,"['    146,412 ', '&nbsp;']","['    39,183 ', '&nbsp;']","['    107,229 ', '&nbsp;']","['    26.8 ', '&nbsp;']","['    73.2 ', '&nbsp;']"
5661,r036,All states -> North Dakota,All states,North Dakota,2,"['    15,827 ', '&nbsp;']","['    3,606 ', '&nbsp;']","['    12,221 ', '&nbsp;']","['    22.8 ', '&nbsp;']","['    77.2 ', '&nbsp;']"
5661,r037,All states -> Ohio,All states,Ohio,2,"['    148,853 ', '&nbsp;']","['    44,940 ', '&nbsp;']","['    103,913 ', '&nbsp;']","['    30.2 ', '&nbsp;']","['    69.8 ', '&nbsp;']"
5661,r038,All states -> Oklahoma,All states,Oklahoma,2,"['    55,458 ', '&nbsp;']","['    13,960 ', '&nbsp;']","['    41,498 ', '&nbsp;']","['    25.2 ', '&nbsp;']","['    74.8 ', '&nbsp;']"
5661,r039,All states -> Oregon,All states,Oregon,2,"['    78,566 ', '&nbsp;']","['    24,474 ', '&nbsp;']","['    54,092 ', '&nbsp;']","['    31.2 ', '&nbsp;']","['    68.8 ', '&nbsp;']"
5661,r040,All states -> Pennsylvania,All states,Pennsylvania,2,"['    183,297 ', '&nbsp;']","['    52,392 ', '&nbsp;']","['    130,905 ', '&nbsp;']","['    28.6 ', '&nbsp;']","['    71.4 ', '&nbsp;']"
5661,r041,All states -> Rhode Island,All states,Rhode Island,2,"['    16,775 ', '&nbsp;']","['    4,782 ', '&nbsp;']","['    11,993 ', '&nbsp;']","['    28.5 ', '&nbsp;']","['    71.5 ', '&nbsp;']"
