table_id,row_id,business_activity_sup_a_sup_full_path,business_activity_sup_a_sup_level_1,business_activity_sup_a_sup_level_2,business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_amount
2040,r001,All business activities,All business activities,,1,21100–81000,"['471,321', '  ']"
2040,r002,All business activities -> Oil and gas extraction,All business activities,Oil and gas extraction,2,21100,"['986', '  ']"
2040,r003,All business activities -> Mining,All business activities,Mining,2,21200,"['164', '  ']"
2040,r004,"All business activities -> Support activities for mining, including oil and gas",All business activities,"Support activities for mining, including oil and gas",2,21300,"['1,474', '  ']"
2040,r005,All business activities -> Utilities,All business activities,Utilities,2,22100,"['487', '  ']"
2040,r006,All business activities -> Construction,All business activities,Construction,2,23000,"['580', '  ']"
2040,r007,All business activities -> Food manufacturing,All business activities,Food manufacturing,2,31100,"['5,941', '  ']"
2040,r008,All business activities -> Beverage manufacturing,All business activities,Beverage manufacturing,2,31210,"['839', '  ']"
2040,r009,All business activities -> Tobacco manufacturing,All business activities,Tobacco manufacturing,2,31220,"['847', '  ']"
2040,r010,"All business activities -> Textile, apparel, and leather products manufacturing",All business activities,"Textile, apparel, and leather products manufacturing",2,31990,"['1,046', '  ']"
2040,r011,All business activities -> Wood products manufacturing,All business activities,Wood products manufacturing,2,32100,"['265', '  ']"
2040,r012,All business activities -> Paper manufacturing,All business activities,Paper manufacturing,2,32200,"['1,705', '  ']"
2040,r013,All business activities -> Printing and related support activities,All business activities,Printing and related support activities,2,32300,"['283', '  ']"
2040,r014,All business activities -> Petroleum refineries,All business activities,Petroleum refineries,2,32401,"['567', '  ']"
2040,r015,"All business activities -> Asphalt paving, roofing, and saturated materials manufacturing",All business activities,"Asphalt paving, roofing, and saturated materials manufacturing",2,32402,"['139', '  ']"
2040,r016,"All business activities -> Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",All business activities,"Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",2,32403,"['378', '  ']"
2040,r017,All business activities -> Basic chemicals manufacturing,All business activities,Basic chemicals manufacturing,2,32510,"['3,726', '  ']"
2040,r018,"All business activities -> Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",All business activities,"Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",2,32520,"['1,257', '  ']"
2040,r019,"All business activities -> Pesticide, fertilizer, and other agricultural chemicals manufacturing",All business activities,"Pesticide, fertilizer, and other agricultural chemicals manufacturing",2,32530,"['2,469', 'i ']"
2040,r020,"All business activities -> Pharmaceutical, medicinal, botanical, and biological products (except diagnostic substances) manufacturing",All business activities,"Pharmaceutical, medicinal, botanical, and biological products (except diagnostic substances) manufacturing",2,32541,"['71,788', '  ']"
2040,r021,All business activities -> In vitro diagnostic substances manufacturing,All business activities,In vitro diagnostic substances manufacturing,2,32542,"['1,587', '  ']"
