table_id,row_id,business_activity_sup_a_sup_full_path,business_activity_sup_a_sup_level_1,business_activity_sup_a_sup_level_2,business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021
9701,r001,All business activities,All business activities,,1,21100–81000,"['290,240', '&nbsp;']","['302,759', '&nbsp;']","['323,107', '&nbsp;']","['340,539', '&nbsp;']","['355,671', '  ']","['378,590', '  ']","['396,979', '  ']","['443,633', '&nbsp;']","['491,434', '&nbsp;']","['538,870', '  ']","['602,499', '  ']"
9701,r002,All business activities -> Oil and gas extraction,All business activities,Oil and gas extraction,2,21100,"['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['1,108', '&nbsp;']","['D', '  ']","['867', '  ']","['0 - 11,355', 'i ']","['0 - 16,964', '&nbsp;']","['712', '&nbsp;']","['681', '  ']","['813', '  ']"
9701,r003,All business activities -> Mining,All business activities,Mining,2,21200,"['83', '&nbsp;']","['88', '&nbsp;']","['80', '&nbsp;']","['54', '&nbsp;']","['68', '  ']","['58', '  ']","['121', '  ']","['92', '&nbsp;']","['121', '&nbsp;']","['104', '  ']","['89', 'i ']"
9701,r004,"All business activities -> Support activities for mining, including oil and gas",All business activities,"Support activities for mining, including oil and gas",2,21300,"['D', '&nbsp;']","['1,860', '&nbsp;']","['1,871', '&nbsp;']","['2,349', '&nbsp;']","['2,076', '  ']","['1,544', '  ']","['1,599', 'i ']","['836', 'i']","['1,364', '&nbsp;']","['722', '  ']","['651', 'i ']"
9701,r005,All business activities -> Utilities,All business activities,Utilities,2,22100,"['298', '&nbsp;']","['434', '&nbsp;']","['343', '&nbsp;']","['343', '&nbsp;']","['485', '  ']","['349', '  ']","['323', 'i ']","['272', '&nbsp;']","['274', '&nbsp;']","['275', '  ']","['34 - 1,538', '  ']"
9701,r006,All business activities -> Construction,All business activities,Construction,2,23000,"['752', '&nbsp;']","['756', '&nbsp;']","['244', 'i']","['204', 'i']","['521', '  ']","['258', 'i ']","['507', '  ']","['686', '&nbsp;']","['868', '&nbsp;']","['1,071', '  ']","['783', '  ']"
9701,r007,All business activities -> Food manufacturing,All business activities,Food manufacturing,2,31100,"['3,769', '&nbsp;']","['3,565', '&nbsp;']","['5,156', '&nbsp;']","['4,934', 'i']","['4,388', 'i ']","['4,966', '  ']","['4,809', '  ']","['4,678', '&nbsp;']","['4,756', '&nbsp;']","['5,098', '  ']","['5,235', '  ']"
9701,r008,All business activities -> Beverage manufacturing,All business activities,Beverage manufacturing,2,31210,"['D', '&nbsp;']","['D', '&nbsp;']","['628', '&nbsp;']","['D', '&nbsp;']","['664', '  ']","['0 - 28,354', 'i ']","['734', '  ']","['702', '&nbsp;']","['654', '&nbsp;']","['663', '  ']","['740', '  ']"
9701,r009,All business activities -> Tobacco manufacturing,All business activities,Tobacco manufacturing,2,31220,"['D', '&nbsp;']","['140', '&nbsp;']","['163', '&nbsp;']","['D', '&nbsp;']","['153', '  ']","['153', '  ']","['175', '  ']","['196', '&nbsp;']","['189', '&nbsp;']","['217', '  ']","['233', '  ']"
9701,r010,"All business activities -> Textile, apparel, and leather products manufacturing",All business activities,"Textile, apparel, and leather products manufacturing",2,31990,"['623', '&nbsp;']","['688', '&nbsp;']","['687', '&nbsp;']","['662', 'i']","['794', '  ']","['1,244', 'i ']","['904', '  ']","['934', '&nbsp;']","['831', '&nbsp;']","['768', '  ']","['775', '  ']"
9701,r011,All business activities -> Wood products manufacturing,All business activities,Wood products manufacturing,2,32100,"['202', '&nbsp;']","['278', '&nbsp;']","['234', '&nbsp;']","['322', 'i']","['227', '  ']","['238', '  ']","['236', '  ']","['261', '&nbsp;']","['232', '&nbsp;']","['234', '  ']","['476', '  ']"
9701,r012,All business activities -> Paper manufacturing,All business activities,Paper manufacturing,2,32200,"['755', '&nbsp;']","['982', '&nbsp;']","['1,166', '&nbsp;']","['1,028', '&nbsp;']","['D', '  ']","['1,165', '  ']","['1,411', '  ']","['1,302', '&nbsp;']","['1,472', '&nbsp;']","['1,244', '  ']","['1,534', '  ']"
9701,r013,All business activities -> Printing and related support activities,All business activities,Printing and related support activities,2,32300,"['244', '&nbsp;']","['305', 'i']","['389', '&nbsp;']","['363', '&nbsp;']","['287', '  ']","['304', '  ']","['265', '  ']","['321', '&nbsp;']","['439', '&nbsp;']","['352', '  ']","['307 - 1,044', '  ']"
9701,r014,All business activities -> Petroleum refineries,All business activities,Petroleum refineries,2,32401,"['D', '&nbsp;']","['596', '&nbsp;']","['438', '&nbsp;']","['D', '&nbsp;']","['443', '  ']","['441', '  ']","['396', '  ']","['491', '&nbsp;']","['0 - 17,119', '&nbsp;']","['0 - 25,158', '  ']","['392', '  ']"
9701,r015,"All business activities -> Asphalt paving, roofing, and saturated materials manufacturing",All business activities,"Asphalt paving, roofing, and saturated materials manufacturing",2,32402,"['38', '&nbsp;']","['41', '&nbsp;']","['117', 'i']","['66', '&nbsp;']","['52', 'i ']","['75', '  ']","['124', '  ']","['107', '&nbsp;']","['110', '&nbsp;']","['197', '  ']","['138', '  ']"
9701,r016,"All business activities -> Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",All business activities,"Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",2,32403,"['285', '&nbsp;']","['218', '&nbsp;']","['312', 'i']","['279', 'i']","['268', '  ']","['202', '  ']","['223', '  ']","['133', '&nbsp;']","['106 - 2,076', '&nbsp;']","['120', '  ']","['91', '  ']"
9701,r017,All business activities -> Basic chemicals manufacturing,All business activities,Basic chemicals manufacturing,2,32510,"['3,099', '&nbsp;']","['3,228', '&nbsp;']","['2,925', '&nbsp;']","['3,144', '&nbsp;']","['3,071', '  ']","['2,946', '  ']","['2,897', '  ']","['2,897', '&nbsp;']","['2,638', '&nbsp;']","['3,039', '  ']","['3,048', '  ']"
