table_id,row_id,region_country_or_economy,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
1848,r001,World,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1848,r002,China,0.47,0.63,0.41,0.39,0.74,0.85,0.52,0.96,0.97,0.98,0.53,0.88,0.85,0.82,1.04,1.43,1.53,1.07,1.37,1.28,1.59
1848,r003,United States,1.51,1.46,1.47,1.4,1.45,1.5,1.55,1.58,1.51,1.44,1.42,1.54,1.52,1.56,1.58,1.64,1.67,1.68,1.66,1.6,1.46
1848,r004,India,0.0,1.13,0.0,0.0,0.0,0.18,0.0,0.0,0.67,0.67,0.19,0.14,0.19,0.25,0.22,0.07,0.05,0.23,0.11,0.25,0.23
1848,r005,Germany,0.47,0.08,0.66,0.41,0.66,0.62,0.65,0.78,0.69,0.43,1.05,0.82,0.99,0.99,1.14,0.91,1.01,1.34,1.33,1.3,1.13
1848,r006,Japan,0.22,0.0,0.0,0.0,0.16,0.32,0.13,0.0,0.4,0.19,0.36,0.5,0.33,0.38,0.45,0.46,0.39,0.63,0.58,0.62,0.35
1848,r007,United Kingdom,0.86,0.87,0.97,0.84,0.94,0.84,0.82,1.06,1.16,1.14,1.31,1.22,1.32,1.35,1.23,1.38,1.44,1.45,1.53,1.6,1.99
1848,r008,Russia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.26,0.18,0.15,0.12,0.57,0.18,0.34
1848,r009,Italy,0.55,0.28,0.81,0.49,0.4,0.16,0.74,0.63,0.91,1.3,0.75,0.49,1.01,1.1,0.69,0.73,0.9,0.91,1.0,1.36,0.98
1848,r010,South Korea,1.86,0.0,0.78,0.65,0.04,1.4,0.39,0.87,1.0,0.88,0.91,0.44,0.57,1.59,1.12,0.84,0.85,1.77,0.82,0.91,1.12
1848,r011,France,0.17,0.61,0.11,0.62,0.47,0.28,0.23,0.47,0.35,0.36,0.43,0.26,0.52,0.34,0.72,0.39,0.62,0.69,0.97,0.82,0.64
1848,r012,Brazil,2.0,0.0,0.91,0.0,0.61,0.44,0.0,0.0,0.71,0.89,0.33,0.0,0.28,0.09,0.07,0.06,0.23,0.21,0.43,0.3,0.23
1848,r013,Canada,0.89,1.0,1.43,1.05,0.81,1.08,0.77,0.86,0.97,0.9,1.19,0.95,1.08,1.07,1.35,1.31,1.6,0.96,1.31,1.19,1.21
1848,r014,Spain,0.59,1.5,0.46,1.02,0.48,0.78,0.49,0.22,0.4,1.01,0.67,0.48,0.48,0.5,0.6,0.85,0.58,0.9,0.82,0.93,0.98
1848,r015,Australia,0.72,0.67,0.54,0.72,0.54,0.45,0.79,0.47,0.69,0.47,0.73,0.96,0.98,0.79,1.02,0.81,1.11,0.79,1.2,1.24,1.0
1848,r016,Iran,ne,ne,ne,ne,ne,ne,ne,ne,ne,0.0,0.0,3.41,0.0,0.0,0.2,0.1,0.4,0.62,0.58,1.52,2.68
1848,r017,EU (all members),0.65,0.7,0.76,0.77,0.75,0.63,0.64,0.8,0.78,0.87,1.0,0.84,0.9,0.94,0.94,0.91,0.95,0.98,1.03,1.04,1.1
