table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_total_number_,field_yes_filed_form_6765_in_2021_,field_no_did_not_file_form_6765_in_2021_,field_did_not_answer_
9869,r001,All selected industries,All selected industries,,,,1,"31–33, 42, 51, 5413, 5415, 5417","['15,855', '&nbsp;']","['21.8', '&nbsp;']","['77.6', '&nbsp;']","['0.6', '&nbsp;']"
9869,r002,All selected industries -> Manufacturing industries,All selected industries,Manufacturing industries,,,2,31–33,"['2,082', '&nbsp;']","['21.9', '&nbsp;']","['78.1', '&nbsp;']","['0.0', '&nbsp;']"
9869,r003,"All selected industries -> Manufacturing industries -> Food, beverage, and tobacco products",All selected industries,Manufacturing industries,"Food, beverage, and tobacco products",,3,311–12,"['71', 'r']","['0.0', '&nbsp;']","['100.0', '&nbsp;']","['0.0', '&nbsp;']"
9869,r004,"All selected industries -> Manufacturing industries -> Textile, apparel, and leather products",All selected industries,Manufacturing industries,"Textile, apparel, and leather products",,3,313–16,"['20', '&nbsp;']","['20.0', '&nbsp;']","['80.0', '&nbsp;']","['0.0', '&nbsp;']"
9869,r005,All selected industries -> Manufacturing industries -> Wood products,All selected industries,Manufacturing industries,Wood products,,3,321,"['0', '&nbsp;']","['0.0', '&nbsp;']","['0.0', '&nbsp;']","['0.0', '&nbsp;']"
9869,r006,All selected industries -> Manufacturing industries -> Paper,All selected industries,Manufacturing industries,Paper,,3,322,"['0', '&nbsp;']","['0.0', '&nbsp;']","['0.0', '&nbsp;']","['0.0', '&nbsp;']"
9869,r007,All selected industries -> Manufacturing industries -> Printing and related support activities,All selected industries,Manufacturing industries,Printing and related support activities,,3,323,"['0', '&nbsp;']","['0.0', '&nbsp;']","['0.0', '&nbsp;']","['0.0', '&nbsp;']"
9869,r008,All selected industries -> Manufacturing industries -> Petroleum and coal products,All selected industries,Manufacturing industries,Petroleum and coal products,,3,324,"['2', '&nbsp;']","['100.0', '&nbsp;']","['0.0', '&nbsp;']","['0.0', '&nbsp;']"
9869,r009,All selected industries -> Manufacturing industries -> Chemicals,All selected industries,Manufacturing industries,Chemicals,,3,325,"['349', '&nbsp;']","['15.8', '&nbsp;']","['84.2', '&nbsp;']","['0.0', '&nbsp;']"
9869,r010,All selected industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All selected industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,4,3254,"['151', '&nbsp;']","['22.5', '&nbsp;']","['77.5', '&nbsp;']","['0.0', '&nbsp;']"
9869,r011,"All selected industries -> Manufacturing industries -> Chemicals -> Chemicals, excluding pharmaceuticals",All selected industries,Manufacturing industries,Chemicals,"Chemicals, excluding pharmaceuticals",4,other 325,"['199', '&nbsp;']","['10.1', '&nbsp;']","['89.9', '&nbsp;']","['0.0', '&nbsp;']"
9869,r012,All selected industries -> Manufacturing industries -> Plastics and rubber products,All selected industries,Manufacturing industries,Plastics and rubber products,,3,326,"['24', '&nbsp;']","['16.7', 'r']","['83.3', '&nbsp;']","['0.0', '&nbsp;']"
9869,r013,All selected industries -> Manufacturing industries -> Nonmetallic mineral products,All selected industries,Manufacturing industries,Nonmetallic mineral products,,3,327,"['16', 'r']","['18.8', 'r']","['81.2', 'r']","['0.0', '&nbsp;']"
9869,r014,All selected industries -> Manufacturing industries -> Primary metals,All selected industries,Manufacturing industries,Primary metals,,3,331,"['19', 'r']","['0.0', '&nbsp;']","['100.0', '&nbsp;']","['0.0', '&nbsp;']"
9869,r015,All selected industries -> Manufacturing industries -> Fabricated metal products,All selected industries,Manufacturing industries,Fabricated metal products,,3,332,"['74', 'r']","['17.6', 'r']","['82.4', '&nbsp;']","['0.0', '&nbsp;']"
9869,r016,All selected industries -> Manufacturing industries -> Machinery,All selected industries,Manufacturing industries,Machinery,,3,333,"['231', '&nbsp;']","['26.0', '&nbsp;']","['74.0', '&nbsp;']","['0.0', '&nbsp;']"
9869,r017,All selected industries -> Manufacturing industries -> Computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,,3,334,"['740', '&nbsp;']","['27.0', '&nbsp;']","['73.0', '&nbsp;']","['0.0', '&nbsp;']"
9869,r018,All selected industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All selected industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,4,3344,"['182', '&nbsp;']","['20.3', 'r']","['79.7', '&nbsp;']","['0.0', '&nbsp;']"
9869,r019,"All selected industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All selected industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",4,3345,"['397', '&nbsp;']","['30.2', '&nbsp;']","['69.8', '&nbsp;']","['0.0', '&nbsp;']"
9869,r020,All selected industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,4,other 334,"['162', '&nbsp;']","['27.8', '&nbsp;']","['72.2', '&nbsp;']","['0.0', '&nbsp;']"
9869,r021,"All selected industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All selected industries,Manufacturing industries,"Electrical equipment, appliances, and components",,3,335,"['146', '&nbsp;']","['16.4', 'r']","['83.6', '&nbsp;']","['0.0', '&nbsp;']"
9869,r022,All selected industries -> Manufacturing industries -> Transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,,3,336,"['78', '&nbsp;']","['38.5', 'r']","['61.5', '&nbsp;']","['0.0', '&nbsp;']"
9869,r023,All selected industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All selected industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,4,3364,"['34', '&nbsp;']","['32.4', 'r']","['67.6', '&nbsp;']","['0.0', '&nbsp;']"
9869,r024,All selected industries -> Manufacturing industries -> Transportation equipment -> Other transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,Other transportation equipment,4,other 336,"['46', '&nbsp;']","['39.1', 'r']","['60.9', 'r']","['0.0', '&nbsp;']"
9869,r025,All selected industries -> Manufacturing industries -> Furniture and related products,All selected industries,Manufacturing industries,Furniture and related products,,3,337,"['4', '&nbsp;']","['0.0', '&nbsp;']","['100.0', 'r']","['0.0', '&nbsp;']"
9869,r026,All selected industries -> Manufacturing industries -> Miscellaneous manufacturing,All selected industries,Manufacturing industries,Miscellaneous manufacturing,,3,339,"['308', '&nbsp;']","['20.8', '&nbsp;']","['79.2', '&nbsp;']","['0.0', '&nbsp;']"
