table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_totala,field_basic_researchb,field_applied_researchb,field_developmentb
6587,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['27,117', '&nbsp;']","['1,005', '&nbsp;']","['2,861', '&nbsp;']","['23,251', '&nbsp;']"
6587,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['19,475', '&nbsp;']","['901', '&nbsp;']","['2,381', '&nbsp;']","['16,193', '&nbsp;']"
6587,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['129', 'i']","['9', 'i']","['9', 'i']","['110', 'i']"
6587,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['8', '&nbsp;']","['1', '&nbsp;']","['1', '&nbsp;']","['6', '&nbsp;']"
6587,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['8', '&nbsp;']","['0', '&nbsp;']","['7', '&nbsp;']","['1', '&nbsp;']"
6587,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
6587,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
6587,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
6587,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['74 - 170', '&nbsp;']","['20 - 39', '&nbsp;']","['54 - 75', '&nbsp;']","['0 - 78', '&nbsp;']"
6587,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['5,011', '&nbsp;']","['759', '&nbsp;']","['666', '&nbsp;']","['3,585', '&nbsp;']"
6587,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['19', '&nbsp;']","['0 - 14', '&nbsp;']","['0 - 14', '&nbsp;']","['6', '&nbsp;']"
6587,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['0 - 16', '&nbsp;']","['0 - 16', '&nbsp;']","['*', '&nbsp;']","['0 - 16', '&nbsp;']"
