table_id,row_id,company_size_full_path,company_size_level_1,company_size_level_2,company_size_level_3,company_size_hierarchy_depth,field_companies_number_,field_public_support_number_yes,field_public_support_number_no,field_public_support_percent_yes,field_public_support_percent_no
2645,r001,All companies,All companies,,,1,"['    752,895 ', '&nbsp;']","['    27,890 ', '&nbsp;']","['    725,005 ', '&nbsp;']","['    3.7 ', '&nbsp;']","['    96.3 ', '&nbsp;']"
2645,r002,All companies -> Micro companies,All companies,Micro companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2645,r003,All companies -> Micro companies -> 1&#8211;4,All companies,Micro companies,1&#8211;4,3,"['    378,321 ', '&nbsp;']","['    9,502 ', '&nbsp;']","['    368,819 ', '&nbsp;']","['    2.5 ', '&nbsp;']","['    97.5 ', '&nbsp;']"
2645,r004,All companies -> Micro companies -> 5&#8211;9,All companies,Micro companies,5&#8211;9,3,"['    148,629 ', '&nbsp;']","['    5,043 ', '&nbsp;']","['    143,586 ', '&nbsp;']","['    3.4 ', '&nbsp;']","['    96.6 ', '&nbsp;']"
2645,r005,All companies -> Small companies,All companies,Small companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2645,r006,All companies -> Small companies -> 10&#8211;19,All companies,Small companies,10&#8211;19,3,"['    105,547 ', '&nbsp;']","['    4,202 ', '&nbsp;']","['    101,344 ', '&nbsp;']","['    4.0 ', '&nbsp;']","['    96.0 ', '&nbsp;']"
2645,r007,All companies -> Small companies -> 20&#8211;49,All companies,Small companies,20&#8211;49,3,"['    72,649 ', '&nbsp;']","['    4,142 ', '&nbsp;']","['    68,507 ', '&nbsp;']","['    5.7 ', '&nbsp;']","['    94.3 ', '&nbsp;']"
2645,r008,All companies -> Medium companies,All companies,Medium companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2645,r009,All companies -> Medium companies -> 50&#8211;99,All companies,Medium companies,50&#8211;99,3,"['    24,934 ', '&nbsp;']","['    2,180 ', '&nbsp;']","['    22,753 ', '&nbsp;']","['    8.7 ', '&nbsp;']","['    91.3 ', '&nbsp;']"
2645,r010,All companies -> Medium companies -> 100&#8211;249,All companies,Medium companies,100&#8211;249,3,"['    13,953 ', '&nbsp;']","['    1,624 ', '&nbsp;']","['    12,329 ', '&nbsp;']","['    11.6 ', '&nbsp;']","['    88.4 ', '&nbsp;']"
2645,r011,All companies -> Large companies,All companies,Large companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2645,r012,All companies -> Large companies -> 250&#8211;499,All companies,Large companies,250&#8211;499,3,"['    4,638 ', '&nbsp;']","['    596 ', '&nbsp;']","['    4,042 ', '&nbsp;']","['    12.9 ', '&nbsp;']","['    87.1 ', '&nbsp;']"
2645,r013,All companies -> Large companies -> 500&#8211;999,All companies,Large companies,500&#8211;999,3,"['    1,878 ', '&nbsp;']","['    205 ', '&nbsp;']","['    1,673 ', '&nbsp;']","['    10.9 ', '&nbsp;']","['    89.1 ', '&nbsp;']"
2645,r014,"All companies -> Large companies -> 1,000&#8211;4,999",All companies,Large companies,"1,000&#8211;4,999",3,"['    1,773 ', '&nbsp;']","['    271 ', '&nbsp;']","['    1,502 ', '&nbsp;']","['    15.3 ', '&nbsp;']","['    84.7 ', '&nbsp;']"
2645,r015,"All companies -> Large companies -> 5,000&#8211;9,999",All companies,Large companies,"5,000&#8211;9,999",3,"['    289 ', '&nbsp;']","['    46 ', '&nbsp;']","['    243 ', '&nbsp;']","['    15.9 ', '&nbsp;']","['    84.1 ', '&nbsp;']"
2645,r016,"All companies -> Large companies -> 10,000&#8211;24,999",All companies,Large companies,"10,000&#8211;24,999",3,"['    173 ', '&nbsp;']","['    49 ', '&nbsp;']","['    124 ', '&nbsp;']","['    28.1 ', '&nbsp;']","['    71.9 ', '&nbsp;']"
2645,r017,"All companies -> Large companies -> 25,000 or more",All companies,Large companies,"25,000 or more",3,"['    112 ', '&nbsp;']","['    29 ', '&nbsp;']","['    83 ', '&nbsp;']","['    26.0 ', '&nbsp;']","['    74.0 ', '&nbsp;']"
