table_id,row_id,type_of_institution_full_path,type_of_institution_level_1,type_of_institution_level_2,type_of_institution_level_3,type_of_institution_hierarchy_depth,field_started_in_fy_2006_or_fy_2007,field_started_in_fy_2008_or_fy_2009,field_started_in_fy_2010_or_fy_2011,field_started_in_fy_2012_or_fy_2013,field_started_in_fy_2014_or_fy_2015,field_started_in_fy_2016_or_fy_2017,field_started_in_fy_2018_or_fy_2019
3030,r001,All institutions,All institutions,,,1,757.4,725.1,513.0,992.9,421.0,400.4,335.7
3030,r002,All institutions -> Doctorate granting,All institutions,Doctorate granting,,2,738.0,659.0,491.8,984.6,417.3,393.7,313.4
3030,r003,All institutions -> Doctorate granting -> Public,All institutions,Doctorate granting,Public,3,508.1,417.1,459.5,292.1,337.4,271.3,284.9
3030,r004,All institutions -> Doctorate granting -> Private,All institutions,Doctorate granting,Private,3,229.9,241.9,32.3,692.5,79.9,122.4,28.5
3030,r005,All institutions -> Nondoctorate granting,All institutions,Nondoctorate granting,,2,19.4,66.1,21.2,8.3,3.7,6.8,22.3
