table_id,row_id,_b_stem_group_b_full_path,_b_stem_group_b_level_1,_b_stem_group_b_level_2,_b_stem_group_b_hierarchy_depth,field_all,field_bachelor_s_degree_or_higher,field_without_a_bachelor_s_degree
11008,r001,STEM workers,STEM workers,,1,68976,89931,51925
11008,r002,STEM workers -> S&E workers,STEM workers,S&E workers,2,90635,99523,71802
11008,r003,STEM workers -> S&E-related workers,STEM workers,S&E-related workers,2,72949,88898,54536
11008,r004,STEM workers -> STEM middle-skill workers,STEM workers,STEM middle-skill workers,2,49999,64882,49997
11008,r005,Non-STEM workers,Non-STEM workers,,1,49903,69968,39957
